Gene,Score
TLK1,0.999970281078891
BCL7A,0.999785262417065
DACH1,0.99965744460161
NAMPT,0.999263882738013
ZNF148,0.999191929505792
ARID4B,0.999105792467131
SOX2,0.998527187346955
CALM2,0.998347883406938
PHF2,0.998309650984184
CITED2,0.998273793052946
KSR2,0.997393336652036
PHIP,0.997158171900316
IER5,0.99700965155116
LPPR1,0.996895764785875
TAOK1,0.996865719890589
PCDH7,0.996398252901158
SEC63,0.996050853019931
HIVEP2,0.995752745798647
ELAVL2,0.995618987589743
PUM1,0.99529180326477
LRP6,0.99505153953565
MED13,0.994747844255673
GPHN,0.99473015330229
ATP1B1,0.994359740083747
NPAS2,0.994132164829321
ADAMTSL1,0.993663644744683
SLC25A12,0.993630915897732
UNC5D,0.993466667757423
PCCB,0.992468423380204
TRRAP,0.991749477243015
PRRC2C,0.991303260414436
SOX1,0.991169781328918
KCNMA1,0.991090623980951
POU2F2,0.990939653119528
BNC2,0.990604758469929
ADNP,0.989958100433723
ZEB2,0.989757539631768
KLF9,0.989605093215289
SOX11,0.988677982839518
JMJD1C,0.988459394566982
FIGN,0.987779516793104
ARHGEF7,0.987359486369621
USP2,0.98699190589758
SETBP1,0.9868675600641
EGFR,0.986360933102992
BCL11A,0.985955990535703
TTBK2,0.9855497013476
NCOA6,0.985410096459884
PPM1G,0.984578050000041
RARB,0.984435042871488
GTPBP10,0.983869695615498
BTG1,0.983116422085729
MEGF11,0.982116993333395
PUM2,0.982083794231575
MEF2C,0.981904508792265
HOOK3,0.981675041642905
PPP2R5C,0.981645185379363
STXBP5L,0.981049642911803
MIER3,0.981021757069179
CLK2,0.980681536438324
MAX,0.980566793397249
MAP4K3,0.980282551925651
COL13A1,0.98023595037557
PPP6R3,0.980085375492965
RBMS1,0.979510804743232
CXXC4,0.978804470983405
FOXO1,0.978500331173899
RAPGEF2,0.977384840947111
XKR4,0.976869744725852
RBBP5,0.976863334398007
ATAD5,0.976662175427859
NAA16,0.976618583451025
RAP1B,0.976345269804743
CDYL,0.976338153085025
ATP13A3,0.976272414785429
SORBS2,0.976255112917894
LPHN3,0.976148444839365
MYT1L,0.975903544839036
INHBA,0.974477239922481
SUV420H1,0.974217146085973
SPRY2,0.974085889488041
NEO1,0.973946383763486
KIAA0247,0.973463362092812
ANKRD12,0.973450300238167
UBE2G1,0.973116622723093
RRP1B,0.972866070953304
WDFY3,0.972286690748078
SYPL1,0.972237187039182
LEPREL1,0.972229008302826
ZMYND8,0.972174975344586
SERTAD2,0.971371285517973
LRP5,0.971131248132404
GRB10,0.971067973767695
FAM49B,0.970802073681654
TCF7L2,0.970767525394955
ZFHX4,0.970618584685849
CASD1,0.970428016255309
MRPL49,0.970183941587783
FOXP1,0.970112059681902
FBXL3,0.969970277984519
PTPRC,0.969138239113722
CSMD2,0.968987579789675
RC3H2,0.968754358602034
GRID2,0.967967001204979
RRM2B,0.96790888178212
ZIC5,0.967747628825524
SERTAD4,0.966702516536024
AMOTL1,0.966123901568961
PPP1R12A,0.965636264110504
GPM6A,0.965388302092702
NHLRC2,0.964808455076435
EBF2,0.964524832734328
GDF6,0.964363693585561
KLF13,0.963962839762177
FLRT2,0.963589670590864
HECTD2,0.963367377193208
CLDN7,0.963057193576572
SIPA1L2,0.962882440123287
AAK1,0.962317022525295
MBD5,0.96138180210361
MARCKS,0.961221330915605
ADAM10,0.960477350819921
SNRPD1,0.960254785891404
TCF4,0.959248070463104
GABPB1,0.959069544919737
ORC4,0.958875800587879
TANC2,0.958714716103723
LRRTM3,0.958346727968822
SEPT3,0.958328687184598
INTS6,0.957769913235795
BRD4,0.957550932285848
MAML3,0.957542112579349
GINS1,0.957455497255305
ZZEF1,0.95734811411763
SLC8A1,0.957034862599579
POU2F1,0.956951939018883
CSPG5,0.956857667344615
FAM126B,0.956538624020131
GDNF,0.955961293812844
ZNF207,0.955697782367935
MECOM,0.955603543254216
ZNF638,0.955128806211063
HERC1,0.954974068447047
ZFAND5,0.954842843153025
SMURF1,0.954376040816099
DNAJA2,0.953785892529029
WDR48,0.953595511857594
EOMES,0.953537620026843
NLK,0.952788691487753
KCNJ6,0.952665343528904
CNOT6L,0.95264999588364
PPP1R8,0.952010389970707
FGF7,0.95186259547962
RDX,0.951754375643734
TSC22D1,0.951745183213247
NPAS3,0.951397092128677
ZNF704,0.951174880366395
ATRNL1,0.950830538260134
