Gene,Score
SMIM14,0.998854144239532
CTBP2,0.994485974187202
DUSP10,0.992226693804151
SRSF10,0.952552684054176
TBC1D3K,0.947044224883402
TBC1D3H,0.946891814850294
TBC1D3G,0.9463880400775
ARNTL,0.942036892034252
MAML1,0.937127069814279
SPTLC3,0.935580444053458
IQGAP2,0.904855164693131
LRRCC1,0.886844378434982
MAEA,0.885967029513118
SRSF7,0.881521508190405
POTEC,0.875846747124706
PCDH10,0.870596972904189
EDEM1,0.865288950062146
MRPS6,0.860698804558817
FGFR2,0.855424588837659
SRGAP3,0.851225182356455
KDM6A,0.848979309075917
ZNF773,0.839516986842925
NCAM2,0.811657760294843
CDK8,0.809776326653305
RYR1,0.809002602091836
