Gene,Score
PCDH9,0.997555953078571
ZNF148,0.995395271104984
SMAD2,0.995324698612188
ERVV-2,0.993049268462751
TP53TG3E,0.992177854065062
LAMP2,0.987520610437163
ZNF430,0.986081543447797
ZMYM2,0.985854930312282
MECP2,0.982027673311987
NUP58,0.981286542327499
TP53TG3,0.980977989018502
TP53TG3D,0.980678731695038
PCDH10,0.978242544622258
DPH6,0.977304531466554
KCNJ6,0.975167841350874
ATRX,0.974152052089371
SMARCAD1,0.974069726947763
RAD51AP1,0.973565238388895
PDE11A,0.972220710802127
TBL1XR1,0.971760706666151
DAZ2,0.971751092374023
DAZ4,0.971671677136147
DDX5,0.969875065123637
DAZ3,0.969639565296117
SUGT1,0.969320753707237
DAZ1,0.969182165520575
ERVV-1,0.969072119278003
INO80C,0.968982713122446
FIGN,0.968605791151976
LSM11,0.966790388869158
CD24,0.966685906436391
RORB,0.965497655964608
PIK3CA,0.964824454107383
ZEB2,0.964266937505845
KPNA3,0.962232550801232
ALG10B,0.960171404648006
STC1,0.959193880309297
RFX3,0.958151853017843
TNFRSF19,0.958003317143269
BTG3,0.95786109890279
CAGE1,0.957799895201372
AC098850.3,0.956584443681157
FBN2,0.956004626197923
ZBTB44,0.955996957169767
TWIST1,0.954376741832011
SALL1,0.953675649174745
ENST00000222753,0.953264742516584
MGAT4C,0.953213828819714
ZNF124,0.95282538870876
RPS6KA5,0.952204246823084
WDR41,0.950380558712109
HMBOX1,0.948867305354126
HIBADH,0.948836381003263
CEP70,0.948745157278182
HLTF,0.947261300559057
FITM2,0.945829185616366
METTL14,0.945593860591782
ACTR3,0.945027799934331
DESI2,0.944831829391287
ENST00000392717,0.944348696017617
ZBTB4,0.942760322992819
NFIB,0.941940924284642
NHSL1,0.940911969737381
PTBP2,0.939854805683618
ZKSCAN8,0.939747010549604
ARHGEF35,0.939628108943774
RBM7,0.938523608506201
ITFG1,0.938297401072352
RBFOX1,0.937666016256704
ATF2,0.937401626727068
ZBTB18,0.936822061112869
FAM106A,0.936418477676887
FBXO22,0.936003796382692
STXBP4,0.935756107501012
RAB3GAP2,0.935022570531263
FGF13,0.934466886242864
FLRT2,0.933789287114998
APPL1,0.933190942670549
ZMAT3,0.931898797869586
PDS5A,0.931519440540334
PCDHA9,0.931319413026308
LTN1,0.93101840330236
TCF7L2,0.931000725174686
SAR1B,0.930429618010035
MOSPD2,0.929460129571822
LYPD6,0.928197251881163
MRPL42,0.9274141482924
BBX,0.927306482174071
SFT2D2,0.927016769935575
PLAG1,0.926422679068164
UBE2B,0.925906492565819
STX7,0.925317664319771
CAMK4,0.924782939170101
TMBIM6,0.923263090187266
SERAC1,0.922490372528495
ENST00000426016,0.922311131493763
TMEM209,0.922267864769554
CEP78,0.921953120793259
PPM1A,0.921735979307179
GPRIN3,0.919512878254983
FAM8A1,0.919342290719519
NAA30,0.918070645778251
MAP3K7,0.917610459959396
TLX3,0.917609951333437
ZBTB37,0.916941256698912
CHSY3,0.916693533444574
TRIM33,0.916307683847841
TMEM170B,0.915437252050817
DDX3X,0.911907812253788
HMGB1,0.910768102645048
ENST00000558084,0.910430560126671
PPP1R2,0.910264523777258
RALGPS2,0.910236760126975
XRN1,0.910059548050591
ASXL2,0.909528930293203
PDE2A,0.909116693335164
NAA16,0.90891028628763
ENAH,0.908379722229307
TBC1D31,0.908351957712412
PPP3R1,0.907940295981503
SAMD12,0.907298774790291
WNK3,0.907208189432612
ZNF492,0.90649980466203
TNRC6B,0.904337629434723
RORA,0.904198668623034
PYGO1,0.903849589223387
LHFPL1,0.90245912751206
PRDM5,0.902180560244125
TRIM24,0.900693970404328
