Gene,Score
GLT6D1,0.994267126096259
ABCA6,0.991618228202248
MED26,0.927068995056349
MYO6,0.924647855887122
ZNF384,0.912966933408368
CCL8,0.908513988010449
EML3,0.896034012238313
UGT2A1,0.893920027205219
TRIO,0.875117446515844
PRKX,0.873549194309224
ST6GALNAC4,0.866105783270983
FBRS,0.86485100722276
RAB40C,0.857492496090706
FAM153CP,0.852319905711542
ARSG,0.846410406978267
SLC30A10,0.843754023428461
MYT1L,0.839776300338894
AVIL,0.839242785944963
GNPTG,0.829841800562724
APCDD1,0.828511912976709
H2BU1,0.828427222641425
IGSF22,0.827344420341046
SNX17,0.818949900087275
CFAP77,0.817703620404262
C1QTNF4,0.815163570573994
IL2RA,0.810032760562494
