Gene,Score
CSDE1,0.991321965157135
RPS25,0.989779149199364
RELN,0.982088939347642
FEM1C,0.978996363742768
ZNF256,0.977552410444787
SLC35F1,0.977414566755493
AL589666.1,0.977365031731055
RMND5A,0.977319456947251
TRIO,0.973086859209878
MTUS2,0.970113647130712
CNOT9,0.969579103017473
DNAJC16,0.967785702126295
UPF2,0.967527914854825
CYCS,0.965268327459043
YBX2,0.963532718387338
SOGA1,0.962992955335241
FBXO39,0.959676807266494
TBC1D3K,0.959653319807152
SMG1,0.95904488697871
TBC1D3H,0.958730374899697
TBC1D3G,0.958438974107251
MUC17,0.955833903472019
ENST00000302823,0.954445382537274
KMT2E,0.954366171412709
PMS1,0.954362881439044
BAZ2B,0.951872017880819
ZNF419,0.951137627089364
LHFPL3,0.951113084906223
HACD1,0.948486975114977
PIP4K2C,0.9484483262569
PWWP2A,0.948436511405518
MTF2,0.948180537317901
RGPD1,0.948004693526782
HMGXB4,0.945361332015707
SEC24C,0.944331502565869
JOSD1,0.9438924427012
ZNF589,0.942227242689022
FMNL2,0.938674270400205
NBEA,0.937738482714004
PDE3A,0.937246101833522
RDX,0.936948391818652
USP47,0.935406424776559
EFNA5,0.935308356650985
RRM1,0.933092960192365
NTF3,0.931699568436791
PRSS46P,0.927194719881638
AHCYL2,0.92554483228123
MINK1,0.925538986324674
PHF21A,0.92501200627607
SNX27,0.92431288366453
GPD1,0.923994672212943
CNOT6L,0.923557485538041
NPPC,0.923169763112309
MRPL19,0.921706377866868
ANKRD28,0.921255734870391
OAS3,0.920888905134289
MCU,0.920232440788605
ZNF773,0.918147083495741
ZNF215,0.917049999812831
ZNF704,0.915290484591994
LYPLA1,0.914851155705629
SIK3,0.914067419685826
HADH,0.913928660817357
PRPSAP2,0.912507194573085
MAP4,0.907774517583269
CNTROB,0.906735475418894
OPRM1,0.906167575567179
KIAA0930,0.905855156509313
SEPTIN8,0.904840505269616
NFYB,0.904563993892834
GTPBP1,0.903443508100904
RHOC,0.902725769455739
PDPN,0.902549193474646
TRPS1,0.901611084485527
ZNF394,0.900733283394727
TMEM59,0.900364758920275
PAPPA,0.899542549294924
ARHGAP19,0.898789906513968
WASL,0.897059553862851
SPATA3,0.896466295578742
ZFAND5,0.892507871397799
SOBP,0.891716915129484
SLC9C1,0.891705418282176
ENST00000348428,0.891623525916899
FCER1G,0.891403943003369
CAMK2N1,0.89018221424144
EYA1,0.888552759116565
KCNA2,0.88623486738667
MED1,0.884437810011496
ENST00000558084,0.883383629109691
DACH1,0.882751785916198
ATP11C,0.879385181419456
EIF4EBP1,0.878461971687658
C5orf52,0.877814319293913
DEPDC1B,0.874462240326103
ADGRL1,0.873488665570772
AHI1,0.872340235697589
MZF1,0.872164006506065
TAB2,0.872007452310424
ENST00000622074,0.870522959128814
DIS3L2,0.869384494945639
SNAP91,0.869348811622856
KLHL7,0.868759375059576
CILP,0.868372927858219
JAKMIP2,0.868104745745218
FGGY,0.865539989775179
AGFG1,0.865151019927065
DOCK9,0.864986225186163
FMO2,0.864410864816456
ESPL1,0.863912939016529
CHKB-CPT1B,0.862617848357417
RELA,0.861636369208344
XYLB,0.860298977407849
PARP8,0.859856176842878
ARHGEF40,0.859409445215715
DHX57,0.859376898945235
GHR,0.858801883142511
ZNF207,0.857113785820401
DMKN,0.856493909873924
CA3,0.856467063603917
BTG1,0.855308581858589
BMP1,0.854096557969444
ABLIM3,0.853263420954161
UBAP2,0.852394639360213
TSR1,0.851417159192379
CREB3L2,0.851317128238589
MIF4GD,0.850366729356124
RBM6,0.850044225440339
PKP4,0.849631561672666
DCP1A,0.847904269560957
CLIP1,0.847025721693274
PRMT7,0.846975668586462
NLGN2,0.846369784586974
MMP3,0.844966492655084
MYO18B,0.844037390654664
CCDC186,0.843965515145802
CACNA1E,0.843564041560009
PPIP5K1,0.84299966486861
TRNT1,0.841840916715366
OTULIN,0.841088952130475
ENST00000380874,0.840920852380668
CCND3,0.840316465362884
HS6ST3,0.839842819182935
KIF5C,0.839329622039457
SLAIN2,0.839285316116396
KCNMA1,0.839208826060425
ADCYAP1R1,0.837334755027294
BMPER,0.837204107122678
UGP2,0.836644600597331
GGCX,0.836173300810081
RDH8,0.835815574758622
ENST00000617938,0.835560165056643
ZNF318,0.835003849066492
VNN3,0.834883862596474
GPATCH2L,0.834585015089465
TMEM165,0.83333691813421
ADAMTS10,0.832596348856859
SORT1,0.832273875154293
GNAI3,0.831502435250123
SEC24D,0.831146502914913
EPHB6,0.830978025391608
ELAVL4,0.83046039667734
ZNF140,0.830298123356508
ADCY1,0.830297315412349
CATSPERG,0.829992461040454
CR1,0.82902467618321
LARP7,0.828923844912124
RAD23B,0.828631613891822
CD274,0.828122477442151
DYNLT3,0.827511793083374
MDM1,0.827278340930981
PCDHB13,0.826836013614205
LRRC36,0.826237384239219
MRM3,0.825796106224197
MED29,0.825783853714426
RPL36A-HNRNPH2,0.824485515030434
THRB,0.823815938382317
SLC25A40,0.823478257366667
CELF5,0.82323236394396
KDM6A,0.823220820534919
AASS,0.822820647644195
RMC1,0.822626353479162
DCP1B,0.822592648067981
PLEKHM1,0.820661566649626
GAK,0.820549035240015
NSUN3,0.818616979068075
ZNF286B,0.815779942875669
SEMA6D,0.81553047044991
RICTOR,0.814561138219986
ZNF827,0.814527748865741
HHIPL1,0.813941600506831
EFCAB14,0.813704298025682
AKT3,0.813625368903884
SMAD2,0.812879173891357
PRMT5,0.812148346884514
UNC5D,0.81196875011558
CFLAR,0.811558244669292
KLC1,0.811328522770449
THAP11,0.811053590462077
LMAN1,0.810706697341601
PBLD,0.810611516516565
KSR2,0.81032424981266
ENST00000356093,0.810163769924524
MTPN,0.810151850225045
WWC1,0.809527778026445
CCNE1,0.808405894568246
ZNF35,0.806927028131942
MBOAT2,0.806760671232657
SHISA5,0.806652058270161
ZEB1,0.806449616426296
REV3L,0.806357675312395
SYNE3,0.805757867469563
TMEM266,0.805542401181794
EBPL,0.805121573107639
ACSS2,0.805029819884418
MANEAL,0.804038167509879
ZNF26,0.803715328479015
ITIH3,0.803350821685852
KCNC4,0.80272957020527
MED13L,0.802670197116707
FNDC3A,0.802180758193095
ING1,0.802047382276076
ATF7IP2,0.80187445247754
TUBB3,0.801245167703357
DGKK,0.800946903025055
DAPK1,0.800828617634119
