Gene,Score
NDRG2,0.988332614842336
WWC2,0.987491331155376
BCL6,0.977391693092631
SKA2,0.976960092656336
SLC12A5,0.976448412316094
FOS,0.960638387264599
PATE3,0.946493007221307
TNRC6C,0.92759923250735
INSYN2A,0.925263087949522
EN1,0.922965601490531
DGKA,0.914104403632864
DELE1,0.909744749734303
NFIC,0.898638611853098
KIFC3,0.884192124998909
PPARG,0.881867850778773
CPSF7,0.864007963351015
TRABD2B,0.861959788676839
ARHGAP8,0.860388108218199
ABHD16A,0.859420900103954
SERINC4,0.854729201611286
WDR54,0.851295716945887
FDFT1,0.842319719309109
SLC32A1,0.837450949127103
ZNF256,0.825157408739139
LARP7,0.823254752834343
NIBAN3,0.820688651489287
ANGPT1,0.818686294653697
MRAS,0.8178203337617
TMPRSS7,0.809813486902365
TCF7,0.809400693607413
SNRNP70,0.806266322111417
TSN,0.801118982858068
