Gene,Score
ZNF738,0.999980538321459
BAI3,0.999490402352657
ZFHX4,0.999263740314483
BMPR2,0.998819637754294
FUBP1,0.998438614204016
ACER3,0.99803178253299
CSMD3,0.998026326342302
TOX3,0.997908719018711
ZC3H6,0.99790446231725
PAIP1,0.997633096426477
UBE2K,0.997388137249196
NCOA1,0.997269972525585
TPD52,0.997044333134544
SMAD4,0.996662475036566
SAR1B,0.996054843007708
PPP2R2A,0.995854666020229
POU6F2,0.995669462004719
GUCY1A2,0.995362404906816
C5orf63,0.995028133555726
ABI2,0.994983371113609
PLEKHA3,0.994701748853561
API5,0.99447557265425
UBE2D3,0.994372570821803
MYCN,0.994133183150555
KATNAL1,0.994034032656221
ZNF740,0.99384718449252
SIRT1,0.993772784049
VPS29,0.993654856264743
RFX3,0.993397512845436
YTHDC1,0.993127379999209
RXFP1,0.992970491117663
RBMX,0.992739991592399
SYNCRIP,0.992622103525853
YES1,0.99257849432304
RBBP6,0.992534975112394
PRKAR2B,0.992321600343532
SERTAD2,0.992050140166447
LCOR,0.991530134065319
BRWD3,0.991416840324482
CNKSR3,0.991316655614581
SLITRK3,0.991279730430296
USP21,0.991231049692898
NABP1,0.991138443951349
POU2F1,0.990845184940042
ATXN7,0.99079888871849
GPC4,0.990358788913303
MED13L,0.990195822273865
SMARCA5,0.989644267702345
ERBB4,0.989435035032848
LEPROTL1,0.989154919702278
TRPS1,0.989045679422558
ZC3H12C,0.988699670357268
UBR5,0.988302961162604
MFAP3L,0.988255774646021
UBE3A,0.98809584849738
ADK,0.987947886060061
PKN2,0.987266742398498
GPR111,0.987081239502257
RUNX1,0.986927759470252
HDAC9,0.98641442627733
BNC2,0.986173983077318
FOXP1,0.986051252167913
NRIP1,0.985357564161826
SMG1,0.985204374847329
ZNF430,0.985134490411362
CTDSPL2,0.984554484738936
WDR26,0.984322610517395
PPIG,0.984297132704404
MLTK,0.984178411377819
CACNA2D1,0.984151705994501
MTF1,0.984133157021198
FAR2,0.98408350834057
KIF26B,0.98407454933224
PRKG1,0.983975352893835
ELAVL2,0.983653655282039
ATG16L1,0.98342181402722
MAML2,0.983173115377396
STARD4,0.982904997162401
SSBP3-AS1,0.982741281619709
ABAT,0.982693762790428
C20orf194,0.982620438708043
STX7,0.982602480472058
GOLGA6L4,0.982348665285468
ITGB1,0.982045293305523
OCLN,0.9820186608069
ZNF207,0.981603326831535
GIPC2,0.981594745443986
LPP,0.981548618145816
USP31,0.981407631819236
USP46,0.98115169357073
ZNF704,0.981105167793831
PROX1,0.981057668817592
C11orf87,0.981034354530759
MTMR9,0.980460926941302
SOX4,0.98010770585808
SH3KBP1,0.979871044458019
HNRNPL,0.979333519877084
RAB22A,0.979327721974873
AMPH,0.979223859761399
RYBP,0.979035337419903
ITSN2,0.978966574541962
NUTM2D,0.978644306766993
ADO,0.978373752960821
SHC4,0.978032574739826
LRRN1,0.97796576902345
FAM199X,0.977960814929022
ZNF318,0.977827720550204
FADS1,0.977804237217296
ANP32E,0.977731592506272
SLC4A7,0.976797903028181
GLRA3,0.976533776290498
SHPRH,0.976382206034454
ZMAT3,0.976249449383817
CDH6,0.976151696317906
NFIB,0.976096781108104
DOCK4,0.97608506226514
SRSF12,0.975874306247697
CPEB4,0.97582335119259
PHTF2,0.975596325693173
CCNT2,0.975495031225412
AGFG1,0.975075949568878
LHX9,0.975017338259712
TMEM170A,0.975008913327457
N4BP2,0.974942591238886
SKIL,0.974920684145919
ZNF850,0.974799971560931
PPP1R15B,0.974597541238862
TMEM243,0.974256910730664
C20orf112,0.974214810683605
PHIP,0.974038436126272
SOS1,0.97337499937641
BCL11B,0.973368445106577
TCF4,0.973341551292097
SP1,0.973205228620533
UBE2W,0.973161105939458
ANO5,0.973043502921411
EIF4E,0.972899254846859
DGAT2,0.972384198374455
CDK6,0.972315524340018
NHLRC2,0.97226413938818
RLIM,0.972250615930249
TIMP3,0.97205900936744
NR3C1,0.971764237960657
LDLRAD4,0.971619743208557
LRP1B,0.971307773649815
TUSC3,0.971269097140493
RBMS2,0.970752605467225
SCAI,0.970598229961381
ANKRD66,0.970394161682808
FAM135A,0.970373625848205
GRIK4,0.970205577695645
SUCO,0.970163453233016
SMOC1,0.969820174566305
TMEM106B,0.969661043774592
FAM120A,0.969638884402198
GRIA1,0.969496396317408
COL8A1,0.969273283166823
SGMS2,0.969199860052095
MAPRE3,0.969174681516067
SPRED1,0.969051491703157
VRK1,0.968831289602827
ESRRG,0.968731050849145
BRWD1,0.96870510320771
SERPINE1,0.968700959818619
NAA30,0.968187382761854
AQP4,0.96814504747215
RBMXL1,0.968123037543746
DCP2,0.968018018542258
KLF10,0.967555843411555
PDPK1,0.967224224348944
MARCH5,0.967119352674279
TMCC1,0.967098725286025
TAOK1,0.966779286354739
TENM4,0.966602702013371
ZDHHC21,0.966130843569276
SSX2IP,0.965774422658364
SLC30A1,0.965593366760131
