Gene,Score
PURA,0.997275589010956
MYF5,0.993701562193549
TRIO,0.991371331852838
HDAC2,0.98177561906079
CADM4,0.97693814177649
TNRC6A,0.975124376489981
RBBP6,0.972876032992465
ERVFRD-1,0.970971364949973
CLDN18,0.970182809722383
SLC22A9,0.968089503422356
SCGB1D1,0.967391538300669
ARF6,0.96653816245164
ZC3H14,0.962446521077448
AKIP1,0.959704848400782
SAMD4B,0.956802198977247
ANTXR2,0.955415333396134
MTDH,0.952358898141854
CEBPA,0.952020445977374
ADAMTS6,0.951797067706458
AFF2,0.94811624775569
DNPEP,0.945857822039184
UBE2K,0.944785102734787
HECTD1,0.942251545225614
RBMY1A1,0.941428347903244
RBMY1B,0.940925043209811
RBMY1E,0.940030796566764
SIK2,0.939193886025742
SLC22A25,0.936740929506368
ENST00000558084,0.93643156656643
RTF1,0.936117797723206
KCNJ6,0.933433261121135
APBB2,0.931625763848151
GABRR1,0.930650254402035
SRGAP1,0.930066819466477
RBMY1D,0.929196330431767
CPNE6,0.928359066136881
PGM3,0.928102267886473
RAB4A,0.927592531817397
RAPGEF5,0.926685806148631
SHISA7,0.923291335587147
TUBB4B,0.92175520468873
REEP3,0.92014784954083
COP1,0.919842901530624
MRPL42,0.919117746826993
NUP88,0.919007479818043
DUOX1,0.918600561679929
ZNF609,0.917946227885195
GRIK5,0.917611202897214
POLE,0.914156018373228
TMEM65,0.909086334042423
BHLHB9,0.908300612709132
UBE2I,0.904355192386165
TRIM44,0.903664933088283
CCDC80,0.903641559937282
FDFT1,0.903610791367079
MARCKS,0.903184266620956
MBTPS1,0.902422115600105
GJC3,0.901928976784383
AL512506.3,0.901844797199809
ZNF836,0.901500303575953
ALG12,0.900414408198202
MIS18BP1,0.899973478607577
DNAJC15,0.896795868424605
TARDBP,0.896160956072117
PPP2R2B,0.895696332655881
GNAI3,0.895239765406817
STK3,0.895163843401741
USP8,0.895016775672318
ENST00000614096,0.894216296753959
EPSTI1,0.893271684034888
ENST00000259806,0.893131399196684
C9orf135,0.893032337231703
XKR4,0.89272391357212
EIF4E,0.892641661728015
LARGE1,0.892537862680516
ARIH1,0.892482595846049
RDX,0.891519285562858
RPP14,0.89118438613065
PTPRD,0.890698603904582
FBP1,0.890514373299199
NBPF20,0.890466988303979
CASP14,0.888614488609746
LSM12,0.88731970450613
UBE2J2,0.885445162733795
BBC3,0.885436130715659
SCAI,0.885000637126554
MXRA7,0.882212970541942
FNDC3A,0.881518438487492
OGN,0.881302499677183
GNG13,0.88059890068514
TROAP,0.880364230068997
CANX,0.879642888451697
GRIN2B,0.879243462515902
BTBD9,0.879178722124889
ZNF175,0.879013284446303
EPS8,0.878248764729108
XPR1,0.877797558073252
TMEM63B,0.876730316750574
RNF125,0.875641892142188
ATRX,0.875121187468346
TBX19,0.874660690873139
TNR,0.874092590556749
NLN,0.873757860283195
PDK1,0.873411433975003
SIGLEC8,0.873354205383516
RBM41,0.872882185446247
MYB,0.872437113250092
ZNF576,0.87201794178894
ACTG2,0.871602529168065
CNTFR,0.869861658056544
MAT2A,0.869124191110403
KRTAP19-1,0.868847646201536
BCLAF1,0.867509935217203
GLRB,0.866051028175759
TGFBI,0.865164310237578
ABO,0.864444224136838
PRKG2,0.86372754905004
WBP11,0.863190690846314
ZRANB3,0.862766626598746
EHD1,0.862756042957666
ZNF547,0.861445030671295
PUS7L,0.861285111476442
PRPF40A,0.861143127671457
