Gene,Score
ZNF256,0.999999993544969
ZNF302,0.999999991542449
ZNF30,0.99999999072669
ZNF441,0.999999989658419
ZNF788P,0.999999979375985
ZNF846,0.999999971746819
ZNF189,0.999999887451114
ZNF573,0.999999877192989
ZNF487,0.999999828329243
ZNF791,0.999999637259659
ZNF286A,0.999998523363897
ZNF211,0.999997831141761
ALG11,0.99999775397118
ZNF286B,0.99999753606343
AC008758.4,0.999993798929251
ZNF763,0.999993754187784
ZNF35,0.999991701324608
ZNF552,0.999989505268028
ZNF732,0.999975241966482
ZNF667,0.999967395274189
ZKSCAN5,0.999957814320622
ZNF180,0.999956045286838
AC010422.6,0.99994925306494
ZNF568,0.999930293961005
ARRDC3,0.999930105232913
ZNF627,0.999865466091725
ZNF471,0.999846647548641
ZNF461,0.999844764018076
SAMD12,0.999813033152324
ZNF615,0.999773862890077
ZFP90,0.999712816454805
ZNF559-ZNF177,0.999582093809095
BTK,0.999566088645002
ZNF671,0.999466567343079
ZNF584,0.999205328020307
TEC,0.999145047186797
EPRS1,0.999131975870344
ZNF527,0.999064710586253
FAM90A26,0.999047218898461
FAM90A1,0.999019374980279
ZNF506,0.998888379538605
RBAK,0.998730843405463
ZNF658,0.998606326990279
ZNF781,0.998430232917718
ZNF675,0.998324229426049
ZNF232,0.997917836233449
ZNF394,0.997881099206773
ZNF23,0.997755462567315
ZNF230,0.997668373766
ZNF544,0.997532005439156
ZNF157,0.997315730285442
ZNF443,0.997313779370005
AC067968.1,0.997243473803675
ZNF514,0.996882544655401
ZNF625-ZNF20,0.996861117219861
MTX2,0.996785525127033
ZNF711,0.996752396375844
ZNF586,0.996732268602037
IKZF2,0.996239380172857
PDIA3,0.995056711797526
ZNF850,0.994907275925648
ZNF554,0.994456381696802
ZFP62,0.99430744336985
ZFP69B,0.9940880620459
SENP2,0.993825799902016
PRNP,0.993550278484996
GOLGA6L2,0.993313908399014
GCC1,0.993091286101451
METTL15,0.99273647609705
ZNF12,0.992240555900213
ZNF226,0.991508706105186
ZNF426,0.991367160113724
ZNF33B,0.991309094691226
FLT1,0.991110286584708
ZSCAN32,0.990743958938488
SURF4,0.990720026849032
SAP30L,0.990498656239804
ZNF334,0.990377698383912
ZNF705A,0.990011166652362
RNF145,0.989914510267131
ELL2,0.989882306525916
ZNF17,0.989843691796511
ZNF268,0.989158515930943
ZNF287,0.989073519449363
ZNF418,0.988854355359375
ZFP37,0.988697714005024
VXN,0.988504029561779
ZNF699,0.987824353654067
ZNF547,0.9875652435424
TMED3,0.987365171598261
DGKH,0.987200770386312
CFAP44,0.987157953488948
PSIP1,0.986861145788229
KRBOX4,0.986858558836609
ZNF563,0.986492606632923
ZNF530,0.986375771274787
GAB1,0.986330141625222
ZNF510,0.986309346811908
SUCLA2,0.985954846331858
ZNF25,0.985567187149272
ALG10,0.98532701003762
ZNF154,0.984754928888987
ZNF559,0.983513719793246
RAP1B,0.983416404768274
ZNF546,0.98329503737433
DOCK2,0.98327549706732
ZNF420,0.983115331016304
KCNH5,0.982760352252778
WBP11,0.98168796679842
ZADH2,0.981551119762823
ZNF14,0.980881339028352
ZNF439,0.980662592889589
PTK7,0.97965702749616
ZNF416,0.979417103420444
ZNF440,0.97920059211142
ZHX2,0.979194930976559
ZNF555,0.978725037628218
YTHDF3,0.978294311022821
CCR6,0.977709493680141
ZNF705D,0.977672924614595
ZNF470,0.977611303176755
ARHGAP32,0.977484922918296
SNX24,0.97742237168578
ZNF565,0.976946415598218
CACNG2,0.976885802426551
ZNF229,0.976862455972699
ENST00000622552,0.976726357470788
MERTK,0.976243008390354
GLCE,0.976138710007382
ZNF33A,0.975404203598667
ZNF181,0.975264953893635
CUL3,0.975070595925272
ZNF548,0.974648753836296
MFSD9,0.974075728862943
SEC31B,0.974064889329024
ATXN3L,0.973957255083981
ZNF705G,0.973500132972064
ZNF540,0.973045368653741
ARF3,0.972931168222724
ZNF175,0.970797848378629
DAOA,0.970360680161703
ZNF780A,0.970304971076563
FGFR2,0.96989683928176
ZNF26,0.969843240904215
MED10,0.969399310564215
GK5,0.96925902193009
ZNF283,0.969141001694689
ZNF304,0.968692269303607
CNKSR3,0.968595895169499
HSDL1,0.968111453206084
AC005324.4,0.967703830359199
PCBP2,0.967698608498425
ATRX,0.967513698440071
ZNF625,0.967152728574441
AC020915.1,0.967076819960087
TUSC2,0.967001954180869
ZNF674,0.966180970816347
TRAPPC11,0.965855595455544
ZNF624,0.96513069557502
PLEKHA3,0.964597137757079
ZNF253,0.96423825359824
ENST00000631802,0.96404318167454
TTC17,0.963974267448069
ZNF81,0.96387608117896
ZNF585A,0.963752889182346
ZNF799,0.96369742657489
ZNF700,0.963561002177562
ZNF354A,0.963448747934856
ZNF37A,0.96304459985406
KCNMB3,0.961933777361512
USP3,0.961642752860898
SRSF1,0.96149887601231
ZNF134,0.961484448225704
ZNF442,0.960931773953907
ZNF445,0.960100368195235
ABL2,0.95916954804733
ZNF484,0.958803704608758
KIF6,0.958630946838245
DOCK5,0.958092043742615
ZNF454,0.957971609736133
CLMP,0.957966142024667
