Gene,Score
SNAP29,0.999994902869408
BPTF,0.998893968521816
SMCHD1,0.998246041493139
GCC2,0.998125232022911
VPS50,0.997942847702983
TLL1,0.996239012649346
CSPP1,0.99584941014785
RRP36,0.995378215944228
ATP6V1H,0.994488186364755
GOLGB1,0.991846445543658
CCDC191,0.991837345593525
DACH1,0.991720807022206
REV3L,0.99169750548926
LRRCC1,0.990715139017365
TMEM33,0.990089432174266
SDAD1,0.989780589505796
PCDH9,0.988774170147052
PPP1R21,0.987469805953038
MEF2A,0.986606087057764
GRIN2B,0.985204996570963
PIK3CA,0.982195557940648
ATRX,0.978804064718853
ZW10,0.978656968476162
DCUN1D5,0.978586257047038
ONECUT2,0.978212968602097
TGS1,0.978208034142455
ILDR2,0.977901632001188
SMAD2,0.977692079201582
SCFD1,0.977465680490065
FLRT2,0.977268541330347
DZIP3,0.975942047367272
NASP,0.974180344165818
ENST00000309495,0.972520032073446
PTN,0.972338675930354
XKR6,0.971914676251273
RPL3,0.971114937942139
METTL3,0.971092889646385
CHRDL1,0.969885581484559
CCDC148,0.969554405777973
MGAT4C,0.968859527668778
SMC4,0.96830924581834
KMT2E,0.967859371993799
SLC8A1,0.967446426512233
MORN2,0.966935152692905
PSMD6,0.966511617507975
FRMPD4,0.966454834432771
PMPCB,0.966032296449935
CTAGE4,0.965770093812204
FBXO43,0.965699494139768
USP15,0.965696188741731
FAM153CP,0.965618699909995
KIDINS220,0.965154023377516
SLC38A2,0.963989920044575
POLI,0.963941775851484
PDCD10,0.963538138182687
KIF15,0.963466809339526
SCML1,0.963255629959877
PPFIA2,0.962699580256348
APC,0.962279075880326
DGKI,0.961459824191638
RGPD1,0.959057174692726
TRPC4,0.958957074484474
TLK1,0.958576745010201
PLEKHA1,0.958293856078854
FKBP1A,0.957951339111167
KIF23,0.957552752594086
PPIP5K2,0.956716669842224
CDH7,0.956600575179095
LYST,0.956451333140646
PLCB1,0.956110529739918
NPR3,0.956108706011796
SLFN5,0.95541777952012
ENST00000558084,0.955404892778838
BHLHE22,0.955128376929341
SCAPER,0.954900983317546
ITGA1,0.954725098059512
BRCA1,0.954413290736032
FAN1,0.954142526372026
GOLGA1,0.952924192093194
INIP,0.952870075738166
CHSY3,0.952478496035418
EPHA7,0.952111355602079
TTC29,0.951925001491011
IBTK,0.951084736254673
RORB,0.950833638063922
RNF165,0.950099013150166
MDM4,0.949313091758306
CD44,0.94926678685603
HSFY1,0.948915087809269
GORAB,0.948854149461145
ZC3H14,0.948399865160408
EIF4E3,0.948047306950853
NR2F1,0.947852669520086
DAPK1,0.947593933411742
HELQ,0.947520325982152
BUD13,0.947477066706402
PDE10A,0.947301177797238
BUB1B,0.946918429481442
MAN1A2,0.944924428177891
VEZT,0.944782258036695
GPR158,0.944570427232884
TCAF1,0.944529993258202
RPAP2,0.944235314117103
HOOK3,0.944162692989139
CDH8,0.942984339734808
IQCH,0.942799490722428
HIPK2,0.94185612606961
CEP350,0.941723255644612
PALM2AKAP2,0.941377740502643
SENP1,0.940705843282423
ANKRD36C,0.93885263383463
ZEB1,0.938556478994814
RPS6KA5,0.938351441657295
SERAC1,0.938280406831139
ZNF117,0.938028235602688
RNF217,0.937913733661388
KCNMA1,0.937380570129396
RAB4A,0.936950231720288
RPE,0.93625462933757
CCDC66,0.936202715767357
AGBL3,0.93618610149256
MTAP,0.936153548621824
SAMD8,0.936110393359599
RGS7BP,0.935915868829572
GAD1,0.935684955942384
B4GALT5,0.9349941241053
NRG1,0.934848826561657
MTPN,0.934449284602381
CCNC,0.932773430686492
ULBP1,0.932565113175957
RBBP7,0.932526662620724
MARS1,0.93228673572997
FSBP,0.931976974877733
ABCA6,0.931592093051662
CLHC1,0.930403788563112
MYL10,0.929741936071483
PLCE1,0.92961163144258
CUL2,0.929580835741367
SYT16,0.929530704180029
L2HGDH,0.929192295232224
OSBPL6,0.929149853567465
PURB,0.928940039200432
AL096711.2,0.928669216190858
PAN3,0.928142046751832
PRRG3,0.928045365585569
SLC6A15,0.927503228525783
STRN,0.927313807230439
ZNF99,0.92702372110128
PRKCH,0.926847056385491
ALDH2,0.926603859812796
CDK6,0.926381606174148
RIT1,0.926158358355939
FGF7,0.925886333053227
ATP1B1,0.925627891113183
IFT74,0.925311351304312
EGFR,0.924995076330454
KCNA4,0.924432133095098
ITGB6,0.923290506538618
ZNF367,0.922940136092848
DIO2,0.922693249582466
N4BP2,0.922366931014194
DCX,0.922063736927131
PUS7L,0.921730814197255
AASS,0.921730366178206
RCOR3,0.921722150067381
BCHE,0.921493363832305
SLC22A25,0.920635901633733
WDPCP,0.920405778886087
EID1,0.920361594780415
NFAT5,0.920298438924889
FAM117B,0.920161713004564
RASSF6,0.919598847742817
HIPK3,0.919143433210898
PSMA2,0.919036018655645
FLOT2,0.91847079976103
OTULINL,0.917748564017314
SLC16A7,0.916717421283565
TGFBR3,0.916440909901311
APOL6,0.916268007003399
APPL2,0.916117455793601
CCDC150,0.915810887742981
SMAD9,0.915537989303162
SLC40A1,0.915430143484513
USP9X,0.915341292554668
VPS37A,0.915337506130186
TOP2B,0.914796596866853
RBMS3,0.914743931011836
PDZD2,0.914645251713142
MYLK,0.914226806172948
PCGF5,0.914161406865838
PELI1,0.913909215473495
MYCBP2,0.913785848265207
MSL2,0.913419008523372
NLGN1,0.913323447296326
MPHOSPH9,0.912867087003819
ELP3,0.91203794284887
PAPPA,0.911441990652454
PWWP2A,0.911006312092413
TBCK,0.910885852942152
MLLT3,0.910803292251942
C12orf29,0.910549450433717
CPEB4,0.910398446735028
TBC1D7,0.909837211287321
FAM168A,0.909380127029866
AKAP8L,0.909103435855629
TTC6,0.908920176719764
CEP104,0.908762578230039
RSPH10B2,0.908636373558842
PDK1,0.907791698830907
DDI2,0.907192290212597
SMLR1,0.905469500847653
WWC2,0.905374546177997
NPEPPS,0.905329838404471
MPZL2,0.905110481774018
SMURF2,0.905089743397517
PAXBP1,0.904599468362574
TMEM260,0.904321351111303
TSHZ2,0.904238241678586
ENST00000378062,0.90416692209254
RTKN2,0.903697543572514
CEP57,0.903689759640338
WDR19,0.903672126515446
NIN,0.903650476811266
CCDC88A,0.903335243371751
DNAJC28,0.903078643283807
GTF2F2,0.902300053036973
LYPLA1,0.902287053312872
JAZF1,0.902136172305095
DBF4,0.901850760907936
NR6A1,0.901808566868744
ERBB4,0.901771415753658
