Gene,Score
LHX2,0.996005515498658
ZNF800,0.977644091917467
ZFHX3,0.971973893832255
NR1D2,0.967289184985678
DNAJA2,0.961789087649605
PLP1,0.960304558203285
EML6,0.959115116748841
UBE2H,0.957332538239974
EPB41L4B,0.955753963424158
SP3,0.954589045553168
ZNF429,0.953738444939695
AP3B1,0.952458890308335
NCKAP1,0.947763856726186
AKIRIN1,0.945820458627495
GUCY1A2,0.944507034272188
ENST00000617179,0.942631174504486
LPAR1,0.938591311378948
NFAT5,0.938177998514698
SHROOM3,0.929234897690375
TTYH3,0.926599231563708
TLN2,0.921845025509176
SNX27,0.920873326598456
SPX,0.919781374604079
RPAP2,0.917855191705416
CADM4,0.915601790708601
RALA,0.908488188955886
ENST00000426016,0.900093652542687
BOLL,0.898364587220973
MRAS,0.898247330700149
TSC22D2,0.896660661520397
ADGRL3,0.894542158262377
DNM3,0.891513024141089
NDC80,0.891226666431351
ARHGAP5,0.886880436674928
STK17A,0.885980931248707
FRMD3,0.885785933438483
TRIP4,0.8840050099609
QKI,0.879628111968921
CYP2C8,0.879064481495721
CDC42EP3,0.878785017101964
DCC,0.877331298846367
EIF4G2,0.876785772802364
FSTL1,0.875314836667183
OLFM3,0.874873598001884
SPARCL1,0.87262671567253
FLRT2,0.870909977854794
MGAT1,0.870091026166608
PFN2,0.869846069516281
ASCL1,0.869547088560328
TMOD2,0.869493842932039
MAGT1,0.869335824078236
WLS,0.869103285525276
ITM2A,0.868191721547627
UBA3,0.866705104796031
CBLIF,0.866610091662334
AC106886.6,0.865374225211971
MBD2,0.864253579588093
ZEB1,0.862481782936868
HDGFL3,0.861532147404679
MECP2,0.858549801403131
KCNIP1,0.858413016419603
ENST00000615798,0.857674891220785
PDE4B,0.855439937981836
POU6F2,0.854909297464314
GLI3,0.854519786741371
GPRIN3,0.853537258724164
PHLPP1,0.853501540714414
MKRN3,0.853255011498248
ZNF614,0.85303594372943
CYP2U1,0.852006372060853
TOR1AIP1,0.851854717445791
OSBPL6,0.851283611999527
ERVFRD-1,0.851228559236396
PCDH9,0.850701718120919
ZNF716,0.842941976137171
DACH1,0.842237685712804
KCND3,0.842101252013363
SEPTIN2,0.841352675789844
TAT,0.841150893052377
KCNMA1,0.839457518627233
PRR20E,0.838334273522794
PRR20C,0.837857961547766
FRYL,0.837597735772426
SLC25A23,0.837173064012708
PRR20D,0.837148032962914
NCMAP,0.836751022627623
ZC3H6,0.836064760318338
PRR20B,0.835716552508749
GJC3,0.832797364576108
RSBN1,0.832289352687423
SMAD2,0.830086896933232
WBP1L,0.829549967685339
FEM1C,0.827451227045087
ZFHX2,0.827027352023656
ZNF571,0.826821821024351
MBP,0.825860122616494
LUZP1,0.825825334083095
HAL,0.825125686794868
PDP2,0.82452359019369
ACACA,0.823930396240353
ZDHHC11B,0.823266871623902
AC099811.2,0.822865950812973
ATP2A2,0.822454686280983
BRAF,0.822380469819148
SYBU,0.82226852128197
LRRTM3,0.821810186190978
TTC39C,0.821183239884264
MPC1,0.820761770639899
PPP1R8,0.820651706745662
KPNB1,0.820638364031188
YOD1,0.820581800452936
RAB9A,0.82026256307813
NPY5R,0.82000776590523
RUBCN,0.819590866639393
PDGFRA,0.81587967723441
CTSC,0.815474626255316
MAP3K2,0.813086094491947
CDCP1,0.812283621248035
GANC,0.812271042316544
SPRY3,0.811324216581595
RILPL1,0.809344067101164
SCN8A,0.808717221696166
UBQLNL,0.808536524736932
C18orf25,0.808042834132081
SLC9A1,0.807217732458994
MANSC1,0.80637255355139
CNOT10,0.805537229631942
GIT2,0.803136921780754
RBM5,0.802483620239249
TTF2,0.802234235412359
CFHR5,0.802054441119755
ATP2B1,0.800465100270782
