Gene,Score
PPP3R1,0.999967427637974
SLC1A2,0.999850066153795
ZBTB37,0.999593402416565
SLC4A4,0.999449608329584
RC3H1,0.999182551866379
MEF2C,0.999105142997539
BBX,0.99881861276015
RAP2C,0.998645015681081
CELF2,0.998426425605065
ZNF704,0.997865081317681
NFAT5,0.997038010860118
GRIN2B,0.996082926505293
FLRT2,0.995659236862472
MRRF,0.995655739444239
GRID2,0.995360079380986
NTRK3,0.995258167931659
ZNF585B,0.995145461400075
ENST00000615031,0.994589208232812
STXBP4,0.994214264377565
SRF,0.993960746750978
HS2ST1,0.992494738596558
MTAP,0.992423597887038
SIAH3,0.992017176536444
HSPH1,0.991566865715793
CSNK1G3,0.991483129884483
ARIH1,0.991439470454894
LIX1L,0.991267040107669
ERV3-1,0.990993338981885
CASK,0.990793399848112
RLIM,0.990321305084054
SMAD2,0.99020145855821
NOVA1,0.990070962687753
SYT14,0.990066042000692
FAM76A,0.989859595678169
SAR1B,0.989843799900735
CD93,0.989412253146452
ENST00000268035,0.989366280935156
XIAP,0.989245236034715
SFT2D2,0.988786312612165
DGKH,0.988325739417237
BRPF3,0.988251487907387
AGO2,0.988211132521648
DNAJC13,0.987970595361913
PGPEP1,0.987726810819344
DYRK1B,0.987384420929563
ADAMTS6,0.987364724135206
SPRY3,0.987308283800328
KLF7,0.986929780106305
BRS3,0.986459758035454
MYLK4,0.986231173587442
INO80D,0.985922169030024
MSI2,0.985636498959197
ENAH,0.985415862668903
BEND7,0.985373043432354
ATL3,0.984690876303168
PIAS2,0.984353163470867
LYRM4,0.984270381155845
FAM107B,0.984129065210944
FOXJ2,0.983662685593714
GSPT1,0.983486804603605
FAT4,0.983199629344683
SLC10A2,0.982321200217512
IGSF3,0.982210227342415
TSHZ2,0.98210951188585
RFX3,0.981996461219361
SRGAP1,0.981910502725233
FAM126B,0.981662525201898
CSRNP3,0.981311891862283
ERBB4,0.98107864709276
DCP2,0.980870065703481
ENST00000378688,0.980611092992095
ONECUT2,0.980455278682499
UBE2E2,0.979675894376838
ZFP36L1,0.979430472898602
KSR2,0.978417520270168
FAM155B,0.978245174971615
TMEM33,0.977863232463376
MTPN,0.977789385426115
ARL5A,0.977678204545492
PIK3R1,0.977522477708924
APLNR,0.977172836509722
SEC22B,0.977059788770139
EPS8,0.976575392926437
PLEKHA3,0.976285276845179
TNFRSF11A,0.975323078724922
ZNF280B,0.975292298750328
BMI1,0.975268424086939
MYO6,0.975134057983412
APOLD1,0.974880655124494
PCDH9,0.974598751179428
AR,0.974485938598276
DPH6,0.973876380107109
IPCEF1,0.973582339007049
SLC4A8,0.973516892216932
TSPYL4,0.973304754373595
FGF13,0.973097466063608
ELAVL1,0.972835632084749
CLK4,0.972811024215332
LCOR,0.972681794450618
KDM5B,0.971999998365563
SIX3,0.971850819499498
KCNC4,0.971502525422027
C1orf21,0.971221400697581
GNG12,0.970694891388246
VGLL3,0.970424042550951
RARB,0.970117540683035
ZBTB44,0.970068870863722
SHANK2,0.96967680171105
SIM1,0.969608345809966
RIC8B,0.969603414664921
ATP11C,0.969553871492626
EIF4A2,0.969545706680166
XPO4,0.969398358255455
PAIP1,0.969335924441315
EPB41L4B,0.968956991120166
RTL5,0.968828976833972
FZD3,0.968426099807133
ZNF19,0.968041142871515
XKR6,0.967620987455109
MYSM1,0.967486713768131
MAP3K9,0.967416353492545
PKD2,0.967134810567849
CPPED1,0.966742144052552
TAFA1,0.966654636420082
ILF3,0.96646000483332
PCDH11X,0.966201021190472
RHOQ,0.965803621446874
PARP8,0.96571130952519
PPARGC1A,0.965397941017986
SLC4A7,0.964917807907019
CXCL9,0.964587660054104
SLC8A1,0.964492568373736
CBX5,0.964247082253587
P2RY1,0.964083746886178
MAP3K2,0.964008275363336
NCDN,0.963332684235471
FTO,0.96303205211724
ZKSCAN8,0.963007063858752
TMEM117,0.962510296491191
PTAR1,0.962466676509934
POU2F1,0.961883719077536
BMPR1B,0.961844486043806
ENST00000558084,0.961839494352707
DOCK9,0.961801811847452
UBE2W,0.961751570744937
ESRRG,0.961730007148465
ACVR1C,0.961686802481545
CLCN5,0.961167300208432
WIPF2,0.961138204991241
GSPT2,0.961129389040304
KYNU,0.961067255861043
RND3,0.960628188518648
SNAP91,0.960571920100906
GNB3,0.960559150285693
SH3BP4,0.960416479095816
MACROD2,0.960261582083543
SLITRK5,0.960201889430717
COL24A1,0.960186749542226
RBM17,0.959751084571451
ACTR3,0.95961601865058
SMARCA1,0.959537900929667
ARHGAP28,0.959450091650176
QSER1,0.959163663944013
UBE2D2,0.95896742211683
ENST00000328528,0.958880204896545
TARDBP,0.958834673974598
ATP2B1,0.958807460219432
ATXN1,0.958206860736802
EP300,0.957948381179863
BCL7A,0.95736308937736
PEX26,0.957176350647916
ZNF148,0.957012848874853
MAPK1,0.956985298933397
PALM2AKAP2,0.956904411577036
TIMP3,0.95663735920339
SENP1,0.956565998041278
PPP4R3B,0.956225486838389
NRXN1,0.956169317963785
SASH1,0.956070398677564
SPATS2L,0.955858333259804
G6PC2,0.954980164330889
FAM155A,0.954891477992125
CDK6,0.954852758095785
RPS6KA3,0.954802209701611
PPP1R12B,0.954162314559519
RIMS2,0.954156705610348
SOBP,0.954015413965772
TUBA1B,0.953973978556488
JPH4,0.953231436153411
WIZ,0.953069060114168
PCDH11Y,0.952723049007471
MPHOSPH10,0.95267219035889
NEBL,0.952663357107904
SRGAP2C,0.951847208311472
XKR4,0.951589686509864
MARF1,0.95156834700325
DIP2C,0.951375800620864
REV3L,0.951309844832886
DCX,0.951055747743888
TSHZ1,0.950945597983784
GPATCH2L,0.950299345082828
