Gene,Score
PCDH9,0.998224631747896
ZNF746,0.997098630430246
SAR1B,0.995958394026399
DESI2,0.995729912633605
ZHX1,0.995569694277655
ADRB2,0.994208378520834
EIF1AY,0.993673838918255
NRG1,0.992768166470926
RAB7A,0.991794840006928
ELAVL2,0.991353937034965
CKAP4,0.991138905056602
FNDC3A,0.990865173999582
SEL1L3,0.990385930663777
PBX1,0.989957793130912
ENST00000286067,0.989360765602261
MTAP,0.988403670251478
TNIK,0.98772859035386
ANKIB1,0.987575588082896
YWHAG,0.98754840755382
ENST00000303531,0.987102040618095
CPEB3,0.985889463766597
TAFA5,0.984228612652013
CUL3,0.983862239384683
PURB,0.983728213658293
ZFR,0.983173423908928
INO80D,0.982506650187907
TRUB1,0.982412171317396
KLF3,0.981839938718358
KCND3,0.981673097291346
EIF4E,0.981620441302566
STIM2,0.98134297911964
STYX,0.980895741225575
LHX9,0.979784760306416
RASA2,0.979527992510779
E2F4,0.978912742519487
TRA2B,0.978662951874273
NBR1,0.977897513679819
ENST00000521891,0.976558056994567
CDH2,0.976290921037499
CAMSAP2,0.975182729126856
DHX15,0.974892650373396
TOB1,0.973931490836888
ENST00000331837,0.973849460916515
DR1,0.973559628501244
PPP2R5E,0.973252813997958
BRWD3,0.973251095530134
FZD3,0.97296400845189
CSNK1G3,0.972362923617213
FAM118B,0.972028683320927
IRF2BP2,0.971489883596483
COPB1,0.971276955994427
HECTD2,0.970419837121145
NOG,0.970221447846359
EPHA5,0.969975511477602
MRE11,0.969822826385425
HMGB1,0.968938528756163
MAP2K4,0.968041614616767
KCTD6,0.96762246254054
DSTYK,0.967302651857895
PTPRZ1,0.966865329136293
STXBP6,0.965897664121158
ARID2,0.965635182162321
BMI1,0.96385801137396
RARB,0.963173983767712
PAFAH1B1,0.962939958820706
CECR2,0.961358469053435
STAG2,0.960325372496529
RLIM,0.959991756086651
SIRT1,0.958772806425583
MAGOHB,0.958240729443976
TEAD1,0.957529443100191
FBXW7,0.957113061937064
ENST00000546136,0.956874285654447
GAB1,0.956400847183939
SLC6A11,0.956365869574499
HEXIM1,0.955940149718399
GCC2,0.955884263216653
BNC2,0.954566479016138
HMBOX1,0.951978926687353
UTP11,0.951713145298911
SLC4A4,0.951403538088106
