Gene,Score
LHX2,0.995918695048679
SPX,0.98150916300358
LPAR1,0.979693744851315
GUCY1A2,0.978634403670844
DNAJA2,0.978024491671424
NR1D2,0.971396199854551
ENST00000247182,0.966806017816994
ZFHX3,0.96518225709796
OLFM3,0.960976168716469
NFAT5,0.959257736221557
WLS,0.958381974712693
PLP1,0.957989503585214
TSC22D2,0.957821604058561
MPC1,0.957397976879156
RILPL1,0.955221511298765
AP3B1,0.954271770201103
ZNF800,0.95389840561539
EPB41L4B,0.952885165434349
SP3,0.950051866648007
NCKAP1,0.948253984414176
ZNF773,0.944814301073519
LMLN,0.941545244138813
MECP2,0.938629423849856
EIF5,0.935008906533206
CNOT10,0.934469633742651
SNX27,0.933899228112201
SLC25A23,0.933541316540165
CD58,0.932314888205953
MBD2,0.92914623941691
SLC1A3,0.929069428058203
C4orf19,0.926506280088313
SLFN12L,0.926031498565884
CTSC,0.924585598657134
SHROOM3,0.923988728193193
TTYH3,0.923030142974235
C3orf49,0.92233712703143
AKIRIN1,0.921451754019152
RALA,0.920297062450046
CADM4,0.920202237339138
SCN8A,0.916166149057179
BOLL,0.915534585498801
MGAT1,0.913558856344885
GLT8D1,0.912040554538608
RPAP2,0.912025943703275
CELSR2,0.911166294639534
ENST00000615798,0.908975177216323
ZC3H6,0.907226521788087
YOD1,0.902585502869478
ADGRL3,0.900528545738885
FBXO28,0.897235355251919
STK17A,0.896892405016622
WASF2,0.896096520103093
CDC42EP3,0.89600305635589
ENST00000556084,0.891913670242548
NAPB,0.891221896501425
SLC8A1,0.890174285827806
ZNF594,0.890052803953678
ITM2A,0.889397771928294
TLN2,0.888317052815906
BRAF,0.886764783877289
DNM3,0.883998448103952
HDGFL3,0.881550106218744
USP54,0.880691787850249
NDC80,0.878386070391309
NCMAP,0.878107906271082
FBXL3,0.876860342446049
ACACA,0.876820672945677
GANC,0.876308927503269
GPC3,0.876210354648856
ENST00000617179,0.875908385885232
ZDHHC11B,0.875458830320251
FRMD3,0.87370277516003
OSBPL6,0.87201453563987
CBLIF,0.871950129689115
KCNMA1,0.870503878526362
FLRT2,0.870454815916348
PDE4DIP,0.870016093453097
ERVFRD-1,0.869457315307986
MAGT1,0.869089685104224
EML6,0.86898713392951
PFN2,0.867638500335655
DCC,0.867125946360547
ZNF614,0.866403485255025
FRYL,0.864771158672151
CCNG1,0.863157685651397
MRAS,0.862502940687503
TFPI,0.862163886144216
ZNF716,0.862113710862456
EIF4G2,0.861848106031749
UBA3,0.861589922176934
THEMIS2,0.859635232742275
ARHGAP20,0.857439231764981
ENTPD3,0.855780297751397
RTKN,0.855403884377762
NTRK2,0.854696762009986
GLIPR1,0.854657144737723
CTNNB1,0.853255871278299
SEPTIN2,0.853122874975039
KPNB1,0.852698552567754
SMAD2,0.851483441748802
NEK7,0.851273501711652
MKRN3,0.850881910869591
DACH1,0.85081399154602
TRIP4,0.850505361422652
QKI,0.848176736795641
UBQLNL,0.847824128121001
MBP,0.844438562392519
CCDC85C,0.843916116469047
CCNYL1,0.840770548170259
ELAVL1,0.840299373909205
MTA3,0.838105144819478
TMOD2,0.837413559801344
YBX3,0.836187240810886
ENST00000392845,0.835712616249772
KCNAB1,0.833292628653274
ARID1A,0.832928580941374
FAM199X,0.83288448724968
GJC3,0.832359122246498
ATP2A2,0.830409681168266
GLI3,0.829899247555492
ZFHX2,0.829679710597542
TJP1,0.829640856606134
CTNNA3,0.829367079252033
CCDC6,0.828618588118231
TTC39C,0.828199361683875
WBP1L,0.825907716292515
ENST00000426016,0.825901260069016
CYP2C8,0.825165454537774
PDK1,0.825062576367691
SMIM18,0.824551986435159
PDE4B,0.823888864609382
PHLPP1,0.823119789329481
WT1,0.822924314048912
PUS7L,0.820997034921182
RIMKLA,0.820574340293666
SPARCL1,0.816084236204976
AC106886.6,0.815901506651282
SNX1,0.815461350467072
PDGFC,0.813728429931454
KCND3,0.812044512482309
TOR1AIP1,0.81132770851856
ANKRD29,0.810614821731174
HS2ST1,0.81007584744406
SLC9A1,0.810073323114112
AC099811.2,0.809609871702282
RAB9A,0.809346723769468
POU2F2,0.807897324176186
UBE2H,0.807256198442927
PDP2,0.805643611700366
DMWD,0.805302403706232
PLEKHA1,0.803887683617886
LRP8,0.803542467206608
GRIN2B,0.802902012265552
MRS2,0.802418516166353
