Gene,Score
PCDH9,0.999990057354499
CREB1,0.999973378340286
FLRT2,0.999954892010549
HDGFL3,0.999936883651066
MGAT4C,0.999893254311047
KAT6A,0.999860641662795
EBF3,0.999746441388677
SRSF1,0.999734141107147
INO80D,0.999726652618869
CAMK4,0.999685455253426
CADM2,0.99968260976329
SMAD2,0.999662544646597
TRHDE,0.99961109747377
ARIH1,0.99958670775106
TP53TG3E,0.999582611094488
TP53TG3,0.999568183851312
PHC3,0.99956676293318
ZDHHC20,0.999561431662897
TP53TG3D,0.999541939030501
RPGRIP1L,0.999533125856161
ZNF462,0.999526740495216
BRWD3,0.999415992179257
UBE2D3,0.999415173626946
KLF3,0.999375349925357
AGO2,0.999330885674653
RIF1,0.99932389449083
CD47,0.999183591104299
ARHGEF12,0.999115839113046
TMEM168,0.999065170845208
CPEB4,0.999055702814457
PPP4R2,0.999038531591075
TP53TG3B,0.998988282320166
RC3H2,0.998958769160243
GOPC,0.998942467294013
LHX9,0.9989347881604
SLITRK5,0.998879343254471
CNKSR3,0.998808455848841
PDK1,0.998791219139101
EXOC5,0.998754927153417
MTX3,0.9987540762165
KAT6B,0.998723375214894
ENST00000309495,0.998668029247918
PLEKHA3,0.998660556238185
CPEB2,0.998627281883651
KBTBD8,0.99854019318339
FAM229A,0.998538450660039
KLHL15,0.998534370164097
NRG2,0.998518073637645
HOOK3,0.998491628511957
GNAI3,0.998463342581657
RPS6KA5,0.998462358945329
C1orf21,0.99843552128352
ATRNL1,0.998424031520784
KMT5B,0.99840578827554
AMER2,0.998373002498415
UBE2W,0.998368488869201
DMAC2L,0.998348087331708
AKIRIN1,0.998329455123035
CUX1,0.998259287812102
ATP8A1,0.998192570468588
TNR,0.998118570208801
THOC2,0.998112667868307
DGKH,0.998108980092619
KTN1,0.998100601723382
OBI1,0.998029601077355
LBR,0.997965224004213
SLC30A1,0.997874579858317
PTEN,0.997846848692139
ATRX,0.997831609429042
ARHGAP5,0.997799927192415
PJA2,0.99778651941537
PLXNC1,0.997726990517689
TNRC6B,0.997632886893676
TAOK3,0.997582345323101
QSER1,0.997563435431613
ACVR1C,0.997557000771424
SLC16A7,0.99752759141448
HEATR5A,0.997510687638681
SYT16,0.997483205190745
RASGEF1B,0.997461967712742
EIF4E3,0.997436348868491
FRK,0.997424855697847
MRPL42,0.997363463572946
ENST00000378565,0.997312311840515
ZEB2,0.997219962382069
PAQR3,0.997210121479753
AFF2,0.997179678627315
SLC7A14,0.99709986446375
HOXB3,0.997088286824466
VWC2,0.997019985976986
RORA,0.997015563041519
RDX,0.996975579003294
RUNDC3B,0.996963943264249
PRPF40A,0.996955463464415
RAP2C,0.996920186605972
RAB21,0.996859273933336
DACH1,0.99683130442377
PEAK1,0.996827378706504
ELAVL1,0.996798982753725
AAK1,0.996786689120258
MGAT4A,0.996707258706402
NPAS3,0.996704848961723
STT3B,0.996670830283066
CNKSR2,0.996661827610201
BNIP3L,0.996523574353941
CPSF2,0.996497622121964
ADAT2,0.996490969079974
NIPBL,0.996447796453773
XKR4,0.996408531823034
DPP8,0.996389370417599
CACNB4,0.99638241719795
RGS17,0.996377593647059
USF3,0.996373313086783
MEF2C,0.996350451053499
TTC39B,0.996338418467225
MAP3K2,0.996309324739505
SAV1,0.996257975880918
KLRD1,0.99619064520511
LIN7C,0.996188518777519
ZNF92,0.99616903574387
ENST00000558190,0.996094776598094
LPP,0.995989210307531
USP31,0.995822373087876
GRM5,0.995793193656457
TOP2B,0.995735749551779
HIPK2,0.995732507770002
FGF5,0.995718362999597
ZMAT3,0.995685305643673
SCAI,0.995656189857416
NAV3,0.995644509412835
ZNF681,0.995629404294121
MACO1,0.995616718792703
C21orf91,0.995615230611538
TMED7,0.995578483674333
MXD1,0.995573027585244
PEX13,0.995497254174903
NPR3,0.99546518369035
TTC14,0.995365902422578
PABPC4L,0.995346446629551
ANKRD17,0.99532775235156
RASEF,0.995307217981292
AQR,0.995184265857877
ARL13B,0.995123407709626
NFIB,0.99512019205671
CCNG2,0.995118186985225
KLHDC2,0.995027053505987
FGF13,0.994995623618587
HMGB3,0.994954500600491
RBFOX1,0.994931862716768
RBPJ,0.994858994689675
SPPL2A,0.994832386367876
HNRNPA0,0.994815717776624
SLC30A7,0.994814731635419
STYX,0.99478573377568
ZNHIT6,0.994719410918431
INTS6,0.994691424734066
STC1,0.994670734593333
CNOT6L,0.994667151449735
RAB22A,0.994600865738714
ZMYND11,0.994562461822552
PDS5B,0.994495274267326
TRERF1,0.994490391904139
PPP1R15B,0.994411857537204
RPS27L,0.994401991586845
LIMA1,0.99438887656716
ABI2,0.994302117762088
SMIM13,0.994212766920334
SLC8A1,0.994064741193864
HMGB1,0.993970167946254
SYT14,0.993967977067448
ELF2,0.993823628961323
MAPK1IP1L,0.993753495180863
ZNF148,0.993750424256597
RBM48,0.99371514625739
ACTR3C,0.993708903126921
PGR,0.993693901937333
STX7,0.993657704033478
C12orf75,0.993653135948595
PTPDC1,0.993629155528062
TAT,0.993612897516282
TET1,0.993612093630579
TMX1,0.993593799490501
LNPEP,0.993484117359132
ASTN2,0.99345184579792
ANP32B,0.993446690807428
NSA2,0.993443662316048
BEND2,0.993282204241704
SEC62,0.993212315033481
CNTN3,0.99311918848905
PPP2R5C,0.993088792206493
NBPF20,0.993051476036654
ZNF678,0.992988289024328
