Gene,Score
UBE2H,0.989767437914398
SLC8A1,0.977890840836059
EBF2,0.961771249855543
PSMC2,0.959108577178251
ENST00000612396,0.958282267500419
ZNF571,0.953489330309462
ZNF451,0.949648052026748
AC073612.1,0.932038349784422
RYBP,0.930330281192067
SEC23B,0.929117229077001
KRTAP1-1,0.92506556975799
ZMYM1,0.924923563630739
SYT10,0.919800512619052
CASP7,0.918656037825348
OSBPL8,0.918480666956376
ATF7,0.9170803903113
MAP3K2,0.913626163139004
GCM2,0.911852077247856
S1PR3,0.902849925284508
SPEN,0.899142747828357
OOSP2,0.897684448789756
TMBIM1,0.890573786510917
CSF2RA,0.889243396313978
SH3BGRL3,0.881858455015543
NCR3LG1,0.880025250951681
ASCL1,0.876805032595264
CYP2U1,0.875360276782399
CHCHD1,0.875077590175676
FOXO3,0.870549676903379
EMSY,0.858864179155002
RAET1L,0.851016586091505
SLC7A11,0.84354956727721
CCDC66,0.842959517805042
LILRB2,0.841133960253155
ANKRD34B,0.839394242939657
NR4A2,0.838972533388934
BNIP3L,0.838906304526961
PDP2,0.838596572391843
CARNMT1,0.83531028440989
ENST00000521891,0.833853805027528
PSD3,0.831862072004693
HOMER1,0.830956347758359
RELCH,0.829848772263145
PDYN,0.829591281761676
HSD17B4,0.827897618681671
PEX12,0.826925934641908
NECTIN4,0.822130798686736
NCKAP1,0.821487507969372
RNASEH2B,0.82032483399982
HNRNPDL,0.820323862478859
DCAF8L1,0.819060868161277
TCF7L2,0.818994857586323
AK4,0.81884320722099
LAMC1,0.818773395255154
ARHGAP5,0.817767748316479
ZCCHC4,0.815515399638925
FRMPD4,0.813474404384991
ADAMTS6,0.807946013106121
LRATD1,0.805660376110321
PTBP3,0.805085706490832
MOCS2,0.803716810096868
IL3RA,0.803554284561262
AKAP6,0.802519721003856
SEC14L1,0.800743741570282
