Gene,Score
MTAP,0.999998138520801
FLRT2,0.999975089644383
RPS6KA5,0.999972336369908
CSRNP3,0.999957383948727
SMAD2,0.999947001959342
BCL11A,0.99994515577509
ENST00000558190,0.999893737381016
RFX3,0.999848009884177
ARIH1,0.999793138982583
AGO3,0.999792335388201
LPP,0.999789014959415
PSMD11,0.999760074881136
MGAT4C,0.999694656551803
RSBN1,0.99965017240186
PTPRG,0.999641738293847
TNRC6B,0.999624585368158
PLEKHA3,0.99962285910003
FGF13,0.999620109805689
TMEM65,0.999600470590281
CREB1,0.999582100242406
RSF1,0.999573382059443
PCDH9,0.999420278659784
FOXP1,0.999415050239489
LHX9,0.999408578602092
FBXO28,0.999407155292552
ZNF891,0.999380957173209
ELAVL2,0.999324929266683
UNK,0.999230112313867
ERBB4,0.999207493886002
NUCKS1,0.999204634513934
NECTIN3,0.999186056154764
CPEB2,0.999127295695676
ZNF431,0.999122095115793
DDX3X,0.999096251483419
EPHA7,0.999070921748111
STX7,0.999043195056026
FBXO32,0.999010236461931
ZNF462,0.99899447206373
CSNK1E,0.998993266951844
MRPL42,0.998940667019721
KCNN2,0.998918424682504
NHSL2,0.998880133845632
JADE3,0.998850766629903
SOX6,0.99883225827248
ZC3H12C,0.998782068750319
ENST00000521891,0.998720179349221
PPM1D,0.998708467321745
DPH6,0.998699344438226
PPP6C,0.998660170720418
ACVR2B,0.99865553523991
NOL4,0.998467753570531
STX16,0.998399313653406
SESN3,0.998374325350966
RC3H1,0.998357854468032
YTHDF2,0.998340238876527
CELF2,0.998330700943865
SOX4,0.998276598050323
BCL11B,0.998264665610919
MAP3K2,0.998219169181283
ADGRL3,0.998213522712276
FRK,0.998198187927881
INO80D,0.998185998814647
NEDD4L,0.998102753504902
NRXN1,0.997996731238713
TBL1XR1,0.997956292677324
XPO1,0.997946262509212
ZNF207,0.997793732418348
PCNX1,0.997770494495046
WASL,0.997660803247092
MED13,0.997646707526517
RORA,0.997624194165087
ZNF704,0.997425422308211
YTHDF3,0.997423501645247
FAM221A,0.997413926745745
SIRT1,0.997282332864819
SATB2,0.997239590108674
LRP1B,0.997189845640835
NFIA,0.997141115560616
BACH2,0.997130739502072
POU2F1,0.997043326225951
CTBP2,0.997016724040195
XPR1,0.996993753766647
DGKI,0.996985476814877
GUCY1A2,0.99685534159849
DNAJC10,0.996703634269849
CASC4,0.996697627626396
EBF1,0.996681602684216
NHLRC2,0.996675386790255
TMEM170A,0.996630136438611
SLC35D1,0.996498316759118
SOX9,0.996483347926293
FAM106A,0.996380672905335
PAG1,0.99626361961865
HIPK2,0.996255095499578
RNF2,0.996222068045432
SUGT1,0.996213194496691
MMS22L,0.996193330329678
ITGB1,0.996141363815067
SORCS1,0.996134758761968
PPP2R2A,0.996084301121631
CNKSR3,0.996046762316021
CNOT6L,0.995991406141568
INO80C,0.995984808625236
NRCAM,0.995968293462798
TMEM87A,0.995962696600506
CARNMT1,0.99590143402439
TNPO1,0.995749894253855
CCDC80,0.995667889276729
ZDHHC20,0.995599425940825
RBFOX2,0.995429964696774
SSR1,0.995426926703289
ENST00000268035,0.995362169773762
INTS6,0.995254910156542
KCNJ6,0.995114688926641
CHST9,0.995081525775158
ACVR1C,0.995046188967448
ENST00000546136,0.995042082244142
SLC16A10,0.995041990563448
FGF14,0.995039421925337
ZBTB25,0.995033964804876
SLC19A2,0.995024758485433
ZNF148,0.995010181599222
CPEB3,0.994975512103907
RC3H2,0.99496060782844
KHSRP,0.994870778219228
RBMS2,0.994822223891197
ENST00000370580,0.994817975448831
TSPAN4,0.994682456246386
SYT16,0.994652131247807
DSC3,0.994622473123369
ENAH,0.994615656845848
TBCEL,0.994608482175339
VCAN,0.99455871432079
ZFP36L1,0.994497355186635
REV3L,0.994479420725081
HOOK3,0.994443985959816
ENST00000568107,0.994440614307165
CREBRF,0.994410620192475
SCAI,0.994409329159781
CUX1,0.994319659671283
TM9SF4,0.994316663227086
SPPL2A,0.994232934645367
ACTR3,0.994178841355754
LSAMP,0.994173808697764
ZC3H6,0.994130925375742
ARID4A,0.994089125025585
CBX5,0.994084092634407
VASH2,0.994073319982926
CASK,0.994060369729908
PTBP3,0.99405208653474
HNRNPA2B1,0.993977489876697
ELAVL4,0.993971094697869
TMED8,0.993900274602848
FZD3,0.993844777825213
PRKAA2,0.993836444688406
RAG1,0.993813440229585
RYBP,0.993811085603373
ID2,0.993739077777092
ZEB2,0.993687634975598
N4BP2L2,0.993672308171018
ABI2,0.993600892502028
PPIP5K2,0.993568366496896
PAK2,0.993562020174244
SYT14,0.993510554917108
NEGR1,0.993439978549845
MEF2A,0.99343284408434
MDM4,0.993425977249007
CCDC88A,0.993271623238788
FAM155A,0.993140550994453
IRF2BP2,0.993004584960136
PURA,0.992742202080412
ZNF430,0.992718163515332
ENST00000426016,0.992698592016207
STXBP4,0.992627505530516
CEP97,0.992597211089843
BCLAF3,0.992560238747571
ABCG2,0.992491202055135
ENST00000419748,0.992489789998543
PHIP,0.992476749560844
PAN3,0.992465510417562
BNC2,0.992461568457456
