Gene,Score
ZNF99,0.99776741563621
ATP6V1H,0.994863460812602
ZNF117,0.993747968093132
VPS50,0.992836900739631
SMCHD1,0.990203182387559
PCDH9,0.989306559768861
DACH1,0.988370020452887
CSPP1,0.987531066322352
ZNF138,0.98660922741995
NR2F1,0.984814273191048
MAP3K13,0.984637594187353
ZNF708,0.984491678668543
CDC27,0.983682839961573
DGKI,0.983497458757486
DZIP3,0.98224999903618
ENST00000617676,0.981229453588941
SMAD2,0.980929708368102
USP8,0.980589002832964
SDAD1,0.979383057707584
N4BP2,0.97922791524677
INIP,0.97869523307164
TMEM33,0.976282436303608
MTAP,0.973774539700827
GRM7,0.971630571387292
FGF14,0.971241586046908
MGAT4C,0.970884917680965
GOLGB1,0.970473556755974
PLEKHA1,0.970183512476329
ANKRD36B,0.96955251513719
RPS6KA5,0.969123930297136
RORB,0.968158111119662
CLOCK,0.967672375131061
SLC6A15,0.967210733559057
FRYL,0.966550112822498
EIF5B,0.966398555839004
CDK6,0.966140076182865
BUD13,0.965795126217437
FLRT2,0.962774988428368
ZNF493,0.961061329938355
SMC4,0.960347320550299
ZNF107,0.960074955690369
REV3L,0.959942205084565
PPP1R3C,0.959941897764124
MAN1A2,0.959428792892198
SYNM,0.959305386696086
OTUD6B,0.958181321973833
OSBPL6,0.957758897079496
ZNF773,0.95769772412178
SYNPO2L,0.957064814496972
RCOR3,0.955031547659871
TP53BP2,0.955016530528876
PAN3,0.953417167694062
KLHL14,0.952937003431914
PLCB1,0.952013442266757
GALK2,0.951695692821688
PCNX4,0.950766555402102
PURB,0.950200971372025
HIPK2,0.949685232918976
CUL2,0.949444998109588
MYCT1,0.949098280232705
MGA,0.948544126769741
SOCS2,0.947513142639036
FGD4,0.94745537670828
LNPK,0.947015269904775
SYT16,0.946506589195849
BPTF,0.946437905913531
DNAJC10,0.946275295573195
HOOK3,0.945921176606498
FKBP1A,0.945768351147921
GPBP1,0.945084880053841
CTTNBP2,0.944968191362149
PUS7L,0.944956957274458
UBE3D,0.944728309499559
MORN2,0.944226380769309
TEK,0.942821834676319
NR2F2,0.942658785498751
PDCD10,0.942108576632587
ACOT11,0.942038314630967
WNT5A,0.941728848616582
JDP2,0.941118239854679
MEIS2,0.940570790243442
USF1,0.94047299852733
SPACA9,0.940134219009007
CA10,0.940103756167818
CCDC117,0.938961357655231
KIF23,0.938388553019999
KCNA4,0.938375183613532
TNRC6A,0.938099024444496
SLC40A1,0.936251061987881
FOLH1,0.936008342216136
PRDM6,0.935900344390608
MYT1L,0.935139801239384
MYH10,0.934743900275692
PEX19,0.934578155350395
BRCA1,0.934533140219145
NRG1,0.933998466747854
RHOT1,0.933433612208783
HSFY1,0.93297786089274
ACTR6,0.932828155474853
RAB3IP,0.932432477199521
SLC8A1,0.932245592580041
PMPCB,0.932039320423266
ILDR2,0.932013548851713
YWHAH,0.931291017432763
MAGEB2,0.93007191472057
RGS7BP,0.929114328967075
RSF1,0.928937728397361
EPHA7,0.928519409167137
GPR158,0.928385597133157
PICALM,0.928292695303397
PRKCH,0.928109915391842
ZNF676,0.928042841016932
INTS7,0.92530367168792
CCNC,0.925280456557624
GMFB,0.925212850617366
DFFA,0.924796883581549
ITGB6,0.924656322351058
KMT5B,0.92320071958206
FRMPD3,0.922791676022796
ZBTB21,0.922015771719842
HACD1,0.921901622797146
RAP1GDS1,0.921822734817864
CDH17,0.921549490337501
GPR85,0.92105316624455
PDE5A,0.920699500304999
TMCO4,0.919972678740832
ERICH1,0.919967319435722
PGM2L1,0.919434487083329
KLF3,0.919375816529354
DCX,0.918990551544063
RBBP7,0.918952630649706
KCNQ5,0.91847400750737
DIS3L,0.917562243512307
ATP1B1,0.916856849374778
ONECUT2,0.916638806178499
AC090360.1,0.916407644148159
FKBP4,0.916280398663452
GUCY1A2,0.916154493974608
MRPL42,0.915761839805069
FBXO43,0.915378387681933
NCAPG,0.915268534386263
CD44,0.914766680612655
MARCHF1,0.914299999551982
TBC1D32,0.913269190783307
WDR64,0.913193414497156
PTPRD,0.911379873522091
WWC2,0.911165776510359
SLC26A2,0.910833591447491
FBXL4,0.910759035721006
RBM18,0.910631041921472
TMEM178B,0.910426190957638
