Gene,Score
TSPAN7,0.98943867083543
SOGA1,0.980160877439235
AFF2,0.967255566720399
EMB,0.966889918389181
ACTR1A,0.961537712072513
TOM1L2,0.95983485959033
PROSER3,0.956356319360809
ZYG11B,0.955640767918036
ENST00000415258,0.948339625494132
GJC3,0.947975049536171
LHPP,0.94747334144973
CREBL2,0.94733971184452
PILRB,0.947319654601738
ENST00000610431,0.940964531600681
NPIPB5,0.940239167027301
WTIP,0.93886465611958
KALRN,0.937397229864217
CUX1,0.933293456743814
UBAP2,0.931252227990111
ATP13A4,0.930134486194275
MTAP,0.930025053557469
C12orf66,0.92454019712087
ZNF341,0.916952518586617
HID1,0.912211546987929
LYN,0.911200071263519
RPS6KA1,0.908714372466847
TMBIM6,0.908600762898108
KDM6A,0.905596176063925
PPP2R2A,0.904325390694377
SUSD3,0.89827883143432
MTF2,0.896882272008811
CXXC5,0.896312235859923
SPATA20,0.893801298379863
PHF14,0.89319179258154
DYNAP,0.890505247709071
PLBD2,0.889284941429821
KANSL3,0.88731381905763
PURA,0.882090046639484
CRNKL1,0.88151310893662
KCMF1,0.881469557274987
CCDC32,0.879929440944953
RBMY1D,0.877094939086026
NAGLU,0.876255574774196
RBMY1E,0.875710937535789
RBMY1B,0.874740289609821
DHX38,0.874261398656999
RBMY1A1,0.87371080010341
RSF1,0.873278035711164
CDK12,0.872574856041644
FBL,0.870531794312911
FAM155B,0.870444151249865
PIANP,0.868890039481617
CEP78,0.868376452264567
RGS17,0.867827028228206
CPPED1,0.865790742569529
POU6F2,0.865508928744657
DTNA,0.865172456589884
LPA,0.860613425753977
TCAF2,0.860167279069071
MOBP,0.858196996416967
GRIN1,0.858012187501165
ZNF740,0.857016489265723
KIRREL1,0.856282791970635
ARL13A,0.856045270018842
YPEL4,0.855678060320701
ADGRG6,0.853597417484044
TBC1D16,0.851948536054075
ENST00000558084,0.850774995449342
PCYT1B,0.850356971048319
CYP39A1,0.850070668127819
HDAC2,0.848622571378937
MRPL21,0.847260383003959
EAF2,0.84692053982228
MEGF8,0.846671211325196
KRTAP4-6,0.845318795111959
ZNF624,0.84355207701175
ZNF141,0.84319620842024
VMA21,0.839830983359214
SMAD2,0.838470019227035
ENST00000480462,0.837491257474295
SPATA12,0.83712099360857
NKX1-2,0.837010470846275
GPR12,0.833228558700156
VDR,0.832745726854111
PARP6,0.831202929208689
SLC5A6,0.830959430733052
SLC25A53,0.829421946777585
OSBPL6,0.828872496122999
EFCAB2,0.827391868567154
ZNF611,0.82730667101758
OGA,0.826768188174843
YTHDF3,0.826322464754219
PKM,0.826242381456255
PKNOX2,0.824907415767475
IFITM2,0.824588674993021
AGBL1,0.823655566113966
PATL1,0.822781027103732
MAT2A,0.822260911291535
TBC1D17,0.822238842252482
HP1BP3,0.821489457267673
ALG9,0.820566388411219
PRNT,0.820095073733496
SYS1-DBNDD2,0.819668232430302
TRIM37,0.818917919697748
SRF,0.817706121056156
CPM,0.816599011687785
SRGAP1,0.816261228211752
FGFR1OP,0.815942318827736
RBM33,0.815858548685391
MAP4K1,0.814815377466991
REPS1,0.814531338216162
CADM2,0.813314943715368
MAGEB6,0.81227285394682
GRK1,0.811832056947963
AP5M1,0.811206005403598
SCN8A,0.810998578211924
RTBDN,0.810982942334674
PAQR3,0.810337291393722
ZBTB34,0.810039371501196
AL049844.3,0.80751728529215
EYA1,0.8057162456981
GMNC,0.804983359622015
WDR55,0.804054458190012
AFF4,0.80352585399408
PSG1,0.803088858466462
SLC5A12,0.802370746036157
SLC24A2,0.801474202219398
DNMT3A,0.800312325079088
MMS19,0.800218437751717
