Gene,Score
ZNF99,0.997498284710356
ATP6V1H,0.994907681268989
VPS50,0.992927429173851
ZNF117,0.992341862038805
PCDH9,0.989346013307113
SMCHD1,0.989336269880868
DACH1,0.988549579175253
ZNF138,0.985415195318515
ZNF708,0.98308914631365
CDC27,0.98300672072216
DGKI,0.982480705288276
CSPP1,0.981309458692025
DZIP3,0.981211838584461
SMAD2,0.980952057239575
N4BP2,0.98025845918874
USP8,0.979765683351602
ENST00000617676,0.979424885648152
INIP,0.977608733105932
SDAD1,0.974430999706378
MTAP,0.974357999831797
GOLGB1,0.973447918939546
NR2F1,0.973366283859354
GRM7,0.97193872787198
MAP3K13,0.971304424505051
RPS6KA5,0.970867765930721
FGF14,0.970495638250537
PLEKHA1,0.970373120984544
ANKRD36B,0.969603810476557
MGAT4C,0.96934466049234
TMEM33,0.968538176144192
FRYL,0.968442360406287
RORB,0.968353787818917
EIF5B,0.965234503734413
BUD13,0.965231859027506
SLC6A15,0.965064977080595
CDK6,0.965017510255177
FLRT2,0.963610155968849
CLOCK,0.962461989828767
SMC4,0.96078207902633
ZNF773,0.960598535062821
SYNM,0.960278291694428
ZNF493,0.959149104443023
MAN1A2,0.958383407015883
REV3L,0.957836006984844
OTUD6B,0.957778787694014
RCOR3,0.957638858593822
PPP1R3C,0.957636675242081
TP53BP2,0.957481305969737
ZNF107,0.957167045973436
SYNPO2L,0.955903673561078
KLHL14,0.954902367073711
OSBPL6,0.953994031546643
PAN3,0.953301625730071
HIPK2,0.953281834106544
PLCB1,0.952006098126788
CUL2,0.951406779198671
PURB,0.950578204979137
PCNX4,0.949920958291331
MGA,0.949506331808478
DNAJC10,0.947420396369471
SYT16,0.947351169022961
ACOT11,0.947194640315009
HOOK3,0.946758977924248
UBE3D,0.946149548211045
MORN2,0.946049861984912
CTTNBP2,0.946000526732429
NR2F2,0.945974890344031
LNPK,0.945925515218788
GALK2,0.945664011080471
PUS7L,0.945324335620102
FGD4,0.944965595064514
SOCS2,0.944273027753406
BPTF,0.942787161969239
TEK,0.942237390317678
GPBP1,0.942200245722891
PDCD10,0.942097468651276
TNRC6A,0.941281319216481
SPACA9,0.940134219009007
WNT5A,0.939078351743683
MYCT1,0.938064652476876
CA10,0.937844462518535
ACTR6,0.935694619540857
MYT1L,0.935665106301928
RAB3IP,0.935662664159016
KCNA4,0.935508122554587
FOLH1,0.93536340018473
BRCA1,0.934024777732933
NRG1,0.933597290988529
SLC40A1,0.933542965556782
JDP2,0.933503294048313
SLC8A1,0.933010278214965
PMPCB,0.932323317660381
YWHAH,0.931291017432763
MYH10,0.930994981307507
CCDC117,0.930445160458218
KIF23,0.930311278328104
PEX19,0.929635952909299
RHOT1,0.929188596134842
ILDR2,0.928987948801546
GPR158,0.928600108785819
RSF1,0.928472826409886
HSFY1,0.927160970426229
EPHA7,0.925982239006936
PICALM,0.925473266699221
ZNF676,0.925151136427637
PRKCH,0.924390829464583
RAP1GDS1,0.923403265616789
RGS7BP,0.923361729741946
DIS3L,0.922189861435309
GMFB,0.922164785491594
ITGB6,0.921952542500583
INTS7,0.921633602610537
ZBTB21,0.921211799377242
PRDM6,0.92013730935863
MAGEB2,0.919933411654484
NPEPPS,0.919653572807721
DCX,0.919321581645345
CCNC,0.919289224982721
DFFA,0.919116417511516
PGM2L1,0.918621377192827
ONECUT2,0.918192956854998
PHF20L1,0.917406084415046
KLF3,0.917236744345059
FSBP,0.916938832171767
GUCY1A2,0.916418453893756
KMT5B,0.916329195946068
ERICH1,0.915990289051431
MRPL42,0.915794359373431
FBXO43,0.915390025524919
FKBP4,0.915164545456253
AC090360.1,0.914929862164889
TMCO4,0.914717020867125
MEIS2,0.914270689799592
KCNQ5,0.9141866577323
ERBB4,0.913897152040663
NCAPG,0.913623682270972
TMEM178B,0.911404446985817
PTPRD,0.911033839485963
KIAA1841,0.91099314534966
ATP1B1,0.910887145641405
FBXL4,0.910684530629794
RBBP7,0.909650865363025
ARL13B,0.909530920797024
PDE5A,0.909243919988757
ATRX,0.909237564797977
NCOA3,0.908769976868922
