Gene,Score
ZNF148,0.998774284950097
MAP4K3,0.99850316970403
RC3H2,0.998374770093221
TANC2,0.998353605012182
CNOT6L,0.998292410846317
CXXC4,0.998267169255399
DACH1,0.99799952385435
HMGB1,0.996330721204643
VLDLR,0.996312015009333
STXBP5L,0.994611015782408
POU2F1,0.994551659295376
POU2F2,0.993114855071002
CDYL,0.993036451491364
DCUN1D1,0.992598792013642
TLK1,0.992432843300438
TCF7L2,0.992367084945678
FXR2,0.992094947631924
MBTD1,0.991888551480595
TAOK1,0.991492036062726
NCOA6,0.99128545466902
REV3L,0.988597296082021
RIMS3,0.98806935129252
KLF3,0.987968271726599
GRM7,0.987163703833932
KAT6B,0.985844731548456
MYCBP2,0.985752686381419
NAMPT,0.985208633924069
RFX3,0.984173609398872
HCN1,0.984023381536156
SRRM2,0.983658769888457
RBMS1,0.982253982374307
MYT1L,0.982113217181804
CNKSR2,0.981278447769318
STAG2,0.980994876614207
COG3,0.980926727172216
KIAA0247,0.980840624668027
RFX4,0.979896527627891
HHIP,0.979760831039454
ADAMTSL1,0.97920657332081
LRIG1,0.978647282690556
HS3ST1,0.976828217946902
BCL6,0.976061230541297
KAT6A,0.975962172970176
HVCN1,0.975790414417164
HMGN2,0.975682910425037
ATP2A2,0.975648276936832
CAMTA1,0.97492943833027
ATP13A3,0.974491508625918
HMGB2,0.974403716848888
BACH2,0.974290073917581
BCL7A,0.973456590571156
PSD3,0.972272749694856
JMJD1C,0.971659099283149
ANTXR1,0.97148844547914
SLC38A2,0.971173975455568
HIVEP2,0.971117376007051
PCDH7,0.970631307395837
IRS2,0.970027113972836
HOOK3,0.969721260700596
AC068987.1,0.967895221580867
R3HDM1,0.96776419159041
SALL1,0.967434225811084
FIGN,0.966825014510836
CUL1,0.966239909657376
SYNGAP1,0.966079110341637
KIF5C,0.965758949352803
RNF38,0.965157659447336
SLC25A12,0.964788722621501
SOX11,0.964661229513343
LMX1B,0.964540167941355
STK4,0.96391410737868
BCL2,0.963734522525055
PCCB,0.962901035805486
SRSF3,0.962345716744549
MEF2A,0.962266233784993
ELMSAN1,0.961810095458366
SLC35F3,0.961130437552043
COL4A3BP,0.961076215392285
SMG1,0.960326551462945
ELAVL2,0.960299943710018
LPHN3,0.959647946708756
DAB2IP,0.959558646184743
PHF2,0.959539649464892
SSBP2,0.959532419223377
PCBP4,0.959510447267449
TNFSF11,0.959360836858199
GJC1,0.958642236253335
JADE1,0.958627386684324
PIM1,0.958376088819668
ITGA1,0.958296564641969
EIF5B,0.957319077010129
OR11A1,0.95729386394316
ARID4B,0.95665350655826
MBD2,0.956196565114869
GRID2,0.955641703533385
SLC20A1,0.955585528825079
MED13,0.95532907958472
FLRT2,0.954765418276173
MBNL2,0.954381313554107
VANGL2,0.95400615230222
ERBB2IP,0.953973279858901
TMEM130,0.953929975391664
ID4,0.953693863990767
TOB2,0.953406052141852
LRRTM3,0.952389820531548
RAB7A,0.952295062407621
PUM2,0.951850988929217
PTK2,0.950643303799453
RBPMS,0.950638181989058
PTPRT,0.950321380219232
GLCE,0.949026354793908
UBE2G1,0.948840930972481
GDAP2,0.948750651642883
PPP1CC,0.947816264079573
GPC4,0.947678681339422
GSTM2,0.947125725394748
USP2,0.947052925465353
TM9SF3,0.946301137978092
ESRRA,0.945889366985504
GMCL1,0.945215718420339
C19orf73,0.944622317763615
UNC5D,0.944581660430625
PDZD2,0.944557660749043
TSC22D2,0.943712370512381
RBMS3,0.9435600921364
TBP,0.943339049669349
BRPF1,0.943018723394816
SYNJ1,0.943016302486499
TRRAP,0.942477577798891
FSBP,0.942466526584858
SHC3,0.942364338900157
TP53INP1,0.942210130616561
NCOA1,0.942037148408877
NEO1,0.941736732779878
KCNJ6,0.94078502606823
FMR1,0.940125589535655
FOXO1,0.93945306971528
MIER3,0.939443028133868
KMT2D,0.939377508587559
KSR2,0.939033129717386
ARHGEF7,0.938466168813231
BCL11B,0.938262234618353
PUM1,0.937766841077
MED13L,0.937128807697057
EPC1,0.936856431458998
GABRB3,0.935844952234651
GABPB1,0.935408743272987
BBC3,0.935054528332916
PDS5A,0.93474002269756
B3GNT9,0.934344821958393
FLRT3,0.934294252604783
PHIP,0.933453040203495
TSPAN3,0.933269660209362
NDUFS8,0.933073920209991
NLK,0.932917847408981
PRR12,0.932818373188614
RP5-1021I20.4,0.932570024014158
SCN8A,0.93256347201704
LMX1A,0.930856423934285
BTG1,0.929971288383941
BMF,0.929685711200325
PIAS1,0.92922929067685
TTBK2,0.928861596598373
AGAP1,0.928717097746557
ZMYND8,0.928490234799475
C12orf23,0.926852123632838
PPP2R5C,0.926419154746984
SERTAD2,0.925732064377758
TMSB4Y,0.925103954613446
CADM2,0.92509592183382
CSRNP2,0.925012810272741
PHF20L1,0.924632346419953
AKT3,0.924261056023775
SOX2,0.924123230533182
EYA1,0.923312802773694
BCL11A,0.921846339673728
EPHA3,0.921817105734126
EBF1,0.920609108641762
ZEB2,0.920160273202186
SEC63,0.91988052384728
CMIP,0.919198222567215
ACTB,0.919195423120153
THAP11,0.919011826718628
XKR4,0.918461667879818
SLITRK6,0.918456057456801
SPATA5L1,0.918386259522419
MAPK6,0.918320377191865
REEP1,0.918125919286696
TSHZ3,0.917815628739763
RP11-1105G2.3,0.917452418196066
ABI2,0.917384952216227
SPOCK1,0.917354875400537
NET1,0.917089451264205
ERN1,0.916732958655318
PRPF38B,0.916563811232759
RORA,0.916536827051064
AGFG1,0.91579945447232
KLF9,0.915224141606097
SRGAP1,0.914969845981265
