Gene,Score
TNPO1,0.995560980361592
MRPS21,0.988941860707539
NPM1,0.985672261369171
KMT2D,0.974614240978388
MBD6,0.969504345089171
Z83844.1,0.968674382099163
ZNF706,0.968479781087251
CD200,0.966369033120869
CADM3,0.962435803999752
PPWD1,0.959127027718079
NLGN2,0.952219572888236
EIF2S1,0.950565758832147
CACNB2,0.947053648624452
ZNF716,0.94411557268603
IKZF2,0.942346450751018
RANBP9,0.941662868064047
RPS6KA6,0.940150353988029
ZNF229,0.935970911161933
AMER3,0.929324406947753
AP000812.5,0.927163376503067
H3C8,0.926691969320859
CD163L1,0.92605520324299
SLC1A2,0.924019697043595
FAM107A,0.923442384836364
CTRC,0.921280232878328
ENST00000546136,0.921044476098762
IGF2,0.917945672166277
TRAK1,0.913319050520343
PTPRM,0.90982110569029
OS9,0.906384112201469
EIF3J,0.904634201191359
CLSTN2,0.896695794537974
PDYN,0.89418086472185
ZCCHC9,0.893291603516591
TMEM95,0.892533883423843
CNGB3,0.890876166589813
TRIOBP,0.889016749106956
PIGB,0.888954633553976
URGCP-MRPS24,0.887814738582077
RHAG,0.884738498939552
SMIM10L1,0.884342940536366
CEACAM6,0.882537228936728
NOM1,0.878304066071746
RPL15,0.876920107331808
LRRD1,0.876048634368684
PAK3,0.875108947090143
SNX13,0.874581098760255
NUDT10,0.874363371142344
DLEC1,0.873557267191938
SPHKAP,0.869157741068615
RBM24,0.868840443321557
TLE3,0.867795932537655
NCAPG,0.8665378885422
ENST00000378004,0.86161501383372
USP15,0.859831173745808
CASQ2,0.857802059505672
ENST00000612180,0.855593457406757
RAP1GDS1,0.853791045727594
NCMAP,0.853177758592599
ZNF74,0.850149986978368
LIN7A,0.848160751350762
ADAMTS3,0.847632876013213
PHACTR1,0.844394114841002
CCR10,0.842646501405198
LRMDA,0.83940298818408
PURG,0.839047587629083
TUSC1,0.831693129151538
NPNT,0.831121475835436
C2orf91,0.830968764764947
NOS1,0.830905588793441
PIP4K2B,0.83071741206347
CD37,0.830638363886984
SLC25A23,0.830548699011785
DCTN5,0.823041246733288
RGS16,0.820714888882256
CBX2,0.820297231729999
ABCD2,0.81944100384211
GRIN2B,0.817356446372082
ENOSF1,0.816218372132859
CP,0.815890953037344
FGF14,0.814507818687225
KCNIP4,0.81140357117691
FGD1,0.811214013962842
FNDC3A,0.810635794236424
ENKUR,0.804301895791813
CACNA2D2,0.804274830865825
TRIB3,0.803981786436618
IFIT5,0.802524895985598
BTF3L4,0.801726556144073
CREB3L1,0.801710581937771
OAS1,0.801581242329929
F8A3,0.801276409821241
ZNF517,0.800896999330016
ADGRA2,0.80086663422102
