Gene,Score
IGFL3,0.998214283757336
PPP2R2D,0.997264010752885
SLC25A23,0.98484097691157
SLC39A13,0.981238668221022
MAML1,0.980813232024676
EHBP1,0.980550271285889
ZNF429,0.979086005123186
GJC3,0.971588600521732
TRIM44,0.968136601559381
NFIX,0.959924445704349
BCAM,0.957062663215558
BCL2L10,0.955912412044735
AL357673.1,0.952689820556778
MMRN2,0.945483239521618
FGF14,0.941867299641632
TLE4,0.938682266656379
C12orf71,0.935221188328172
FAM153CP,0.93029424204314
BHLHE41,0.924339500559595
FN3K,0.923540091245748
SRP19,0.92155877350245
FAM234B,0.919491258504984
LRFN1,0.918654030756987
ZNF836,0.91848747240992
PGM3,0.91651822570989
ZNF263,0.91487552972902
STMN2,0.914049052967433
EFNB1,0.907281830540462
ZNF619,0.904381617513137
TMEM95,0.900757207209502
CPPED1,0.899399294899486
ARHGEF3,0.894222456224636
ELAVL3,0.893131172735041
APPBP2,0.892269795692644
METTL14,0.889482531898721
HEXIM1,0.88863282341179
SPIB,0.888547500590519
SULT1C2,0.887416841368163
TESPA1,0.886882284692342
SMC1A,0.883941575992405
EN2,0.883822943882983
WDR89,0.881854575242793
CD37,0.881717562427355
ZNF462,0.880914878049315
ASB11,0.88086213988722
ZNF185,0.878461109879209
KCNC3,0.877348154082991
ZP4,0.872738955997647
MTHFSD,0.872385861374211
AP5M1,0.870612518148746
DMRTC2,0.86972637393777
TBR1,0.868444373697872
ATF7,0.865250539548658
SIGLEC8,0.864152145895072
SCNM1,0.863198126965011
ALDH1A2,0.86185908541135
FKBP7,0.858121878713973
PRKACA,0.850116288764917
MPP5,0.846048804989601
PXK,0.845678962029118
OSER1,0.843496939138417
LPGAT1,0.842362779655572
INSM2,0.841810778390726
MB21D2,0.840508302427996
SLC39A8,0.840216655303834
CNIH2,0.839280636770987
ZNF385D,0.837354026996402
VPS37B,0.83735181601482
CEBPG,0.836224118235059
ACVR2A,0.834654230077196
ATP6V1B2,0.834369629674299
CNTROB,0.833577513414387
C8orf37,0.83351613815224
ZNF74,0.829908181191388
SINHCAF,0.829687967132121
ENST00000408895,0.829634042244895
IGF2BP1,0.827204041212853
RPS6KA6,0.826403174798553
ARIH1,0.825334546285564
GNG7,0.825166962554189
GYPE,0.818094607419743
ABI2,0.817997690904239
STC1,0.816285492843809
HK2,0.815889375855883
DAXX,0.815403952713666
VAMP2,0.815121529177215
NHSL1,0.815103180866358
PPIE,0.811175797652343
GCSAML,0.811105570465807
HSF2BP,0.810919864591356
ANKRD52,0.809655985070025
SETD6,0.808846443854153
SLC17A2,0.806128391392893
SPTY2D1,0.805658827046642
ARL3,0.804641423822537
ZFYVE9,0.802714643558549
ZBED3,0.802226370116766
GIT1,0.80084621633015
PLCZ1,0.800035715659898
