Gene,Score
CREB1,0.999997169833881
FLRT2,0.999969505770019
SMAD2,0.99996882728486
MGAT4C,0.999964246380251
PCDH9,0.999939984852444
SRSF1,0.999935948996149
SLITRK5,0.999932869843834
GNAI3,0.999931759626144
RC3H2,0.999860030245784
KLHL15,0.999586512276091
LOX,0.999569753291612
TMEM65,0.999566729870417
HOOK3,0.999530154627415
AKAP6,0.999503802635607
SALL1,0.999473355965203
DCUN1D1,0.999433333723441
KAT6B,0.999432826159809
EBF3,0.999389633769696
INTS6,0.999227856164481
BEND2,0.999050719046507
CADM2,0.998971228190002
MYEF2,0.998930281362565
AKIRIN1,0.998913640181901
TMF1,0.998887696152725
WDR26,0.998863803696578
CEP170,0.998671489231364
ZMYND11,0.998586575708224
STOX2,0.998547325164179
SLC30A7,0.998530448864565
EIF4E3,0.99843374639484
PEX13,0.99842014693067
BRWD3,0.99840573550375
PLEKHA3,0.998343504422604
LHX9,0.998286289164754
CAMK4,0.998142118464651
KLF3,0.998135676312352
EPHA3,0.998099514034796
HIPK3,0.998082676211063
ARIH1,0.997971057766936
ARHGAP5,0.997953378828291
KAT6A,0.997836330614164
INO80D,0.99782074169615
CREBRF,0.997717719572534
SLC8A1,0.997618196306362
TMEM106B,0.99758720477078
RIF1,0.997559405786283
LPP,0.997533784058913
PURA,0.99750925032763
AGO2,0.99749667910544
FAM241A,0.997457010635812
NCKAP1,0.997234183211282
ZNF92,0.997221719422207
TRHDE,0.997196308789599
NBPF9,0.997154384990891
SLC30A1,0.997099621586974
MEF2C,0.997064204404266
ZNF148,0.997043121550176
NAA30,0.99695867627987
MAP3K2,0.99695840691111
NUFIP2,0.996870034968828
UBE2W,0.99680823779469
HEATR5A,0.996794261703004
NBPF20,0.996775678463826
USF3,0.996770016529318
CFAP44,0.996711372695589
NBPF15,0.996703297372257
CPEB2,0.996699260275933
RABGAP1L,0.996684491997865
ENST00000558190,0.996547094218617
SLC7A11,0.996492850541172
KBTBD8,0.99647269911722
HDGFL3,0.996456387413942
CD47,0.996443282205814
CCDC88A,0.99642201221673
AP5M1,0.996385648251794
SPIN1,0.99629776842617
RPS6KA6,0.996278148348877
STX7,0.996261149117146
GRIA2,0.996182106623648
ENST00000309495,0.996181227130907
CDKL5,0.996131818788514
SYT14,0.996078884111224
ELF2,0.996064392184699
ZNF367,0.996054105493316
USP15,0.996051082139738
ABI2,0.995940766805969
CNKSR3,0.995877660464531
TMPO,0.995858620002857
TRIM24,0.995742326944059
ZNF462,0.995697412748858
NEGR1,0.995518398917753
TMEM168,0.995497193498972
TRAM1,0.995484986179495
RUNDC3B,0.99547535917176
NUTM2D,0.99546946673157
PHC3,0.995457998664088
PLCL1,0.995451686896216
RPGRIP1L,0.995368562886948
TAOK1,0.995360247209345
CACNB4,0.995253489619716
NAV3,0.995214517791673
RNF170,0.995178804353109
RPS6KA5,0.995133143587289
SMIM13,0.995110868595192
RORA,0.995098841830373
RFX3,0.995035851156413
PPP3CA,0.994965192074339
TMEM132B,0.994959211316213
CAV2,0.994935259117669
ZNF207,0.994814946210654
GOPC,0.994799384375849
ACTR3C,0.994774372088495
PDK1,0.994738479325239
HNRNPUL2,0.994719408196305
ELOVL4,0.994707612218791
VWC2,0.9946938291347
ZBED6CL,0.994651672691334
AP1G1,0.994592417150125
ALG10B,0.994587069137501
RDX,0.994575508554812
ZNF292,0.994564507842949
TMED7,0.994542503187112
NPAS3,0.994492342303274
SEC63,0.994457784602589
NBPF10,0.994409986555189
EXOC5,0.994409358275198
ABHD13,0.994387662517441
MRTFB,0.994374139360206
NBPF12,0.994350830948757
GPATCH2L,0.994263858683334
SYNE1,0.994196313500159
LIN54,0.994108513328317
LYST,0.994100844661173
LSAMP,0.994073009345848
ITGA1,0.9940211235963
C1orf21,0.993873120666373
PTEN,0.993858008895629
RAB22A,0.993831387863354
KCNG4,0.993713097618082
ARHGEF12,0.993619797466824
ZFP28,0.993593464673775
ZNF800,0.993569814815846
PLEKHA1,0.993555750773264
ZDHHC20,0.993525226556935
DMRTA1,0.993497850368371
PANK3,0.993271260689085
GPD1L,0.993231766460458
TP53INP1,0.992973903527009
ZNF451,0.992896873202084
NFAT5,0.992882171497479
SOX11,0.992880627329968
PHF2,0.99284121553466
ENST00000378565,0.992800708205118
CEP97,0.992784090498281
STYX,0.992757259864175
ACVR1C,0.992743154856658
ANKIB1,0.992665315609011
RGS21,0.992583925700798
CNOT6L,0.992533401950339
DCP2,0.992414067070532
ATRNL1,0.992150206189249
CPSF2,0.992063216310291
GULP1,0.992045038509562
WDR82,0.99201445458423
NBPF14,0.992011912404818
CNKSR2,0.991983190434912
OBI1,0.991972654705115
CNTLN,0.991869017603069
CBWD5,0.991779711554253
MIB1,0.991692716154654
CITED2,0.991605265335627
SOX30,0.991595066302921
MINDY2,0.991575661775373
CBWD2,0.991575594139084
DNAJC21,0.991469676937509
PRDM6,0.991357945084299
TTC39B,0.991350103805286
SYT16,0.991279592011065
ELAVL1,0.99122441636943
GNAQ,0.991092649410935
NFIB,0.991043704508914
OGFRL1,0.991027184523229
PCDHA4,0.991007931028426
ANKRD17,0.990895239322674
CD302,0.990865863265577
GAP43,0.990756373346152
CBWD1,0.990753065744588
STEAP2,0.990737465337325
RAB21,0.990644529741608
HOOK1,0.990599565507341
MFAP5,0.99053350128702
ADAM9,0.990483822491607
PJA2,0.990479202407485
CUX1,0.990463897947065
GXYLT1,0.990434777250125
ARL13B,0.990373046610522
HNRNPA0,0.990290079165645
RGS17,0.990236341917114
CALM1,0.990208920803056
IQCH,0.990208247673266
FXR1,0.990158800153689
GUCY1A2,0.990157227944351
KIAA1324L,0.990146398903839
TAT,0.990132279421648
RAB30,0.990061252066614
LIPG,0.99005406182042
TENM1,0.990036790156081
TASOR2,0.989979988913931
DCX,0.989937645718606
PIGM,0.989886783666175
REEP1,0.98988519172575
DMAC2L,0.989849927419485
DICER1,0.989643748889212
ZC3H12C,0.989627873249083
DGKH,0.989621388968494
PEAK1,0.989514011489592
POU4F1,0.989472091052152
MON2,0.989462952645521
ZNF678,0.989394369251285
KTN1,0.98930750726755
FGF13,0.989297123875179
TNRC6B,0.989256237292401
ENST00000342944,0.98924330646672
TNFAIP6,0.989176537881586
EMSY,0.989117916716775
FRS2,0.989053067518176
ZMAT3,0.989050162358272
ZMYM2,0.989022145042747
SLC16A7,0.989003483784214
SSR1,0.9889416882605
DTWD1,0.988821547524185
NEK7,0.988740219227387
ENST00000521891,0.988653000859656
GOLGA6L4,0.98864199241131
DMD,0.988611547289428
LBR,0.988599445146353
MACO1,0.988416638542307
RPS6KA3,0.988416292336967
MAP3K20,0.988351263420361
SAV1,0.988016402296773
ENAH,0.987956790833282
FAM126B,0.987902885320205
PAQR3,0.987883109691299
RANBP3L,0.987801723245319
RNF111,0.987761207531802
ZEB1,0.987757403787933
MYT1L,0.987734958194204
WDR3,0.987698658054743
ZNF681,0.987682373497319
MGAT4A,0.987637612063615
FGD4,0.987489585510997
KLRD1,0.987435225944678
CPEB4,0.987362579782761
NPR3,0.987285246785285
SLC4A7,0.987218784067502
UBE2D3,0.987190868668277
TOP2B,0.987141675934152
GALNT7,0.987115483443358
PCNX1,0.987078673584689
TP53TG3F,0.987057123284507
