Gene,Score
ZNF99,0.997761195354738
ATP6V1H,0.994791525115646
ZNF117,0.99370148464236
VPS50,0.992821041876584
SMCHD1,0.990189440588889
PCDH9,0.989328406114263
DACH1,0.988437282625713
CSPP1,0.987123223106341
ZNF138,0.986433117070643
ZNF708,0.984473452267366
CDC27,0.983813034932869
DGKI,0.98357260484834
MAP3K13,0.982403193794604
DZIP3,0.982401169982838
NR2F1,0.982051482961474
ENST00000617676,0.981108671692919
SMAD2,0.981013463450466
USP8,0.980149255817238
N4BP2,0.979405028363353
INIP,0.978600230520012
SDAD1,0.977153244040762
TMEM33,0.97409832918282
MTAP,0.973921883074388
FGF14,0.971071273680703
GRM7,0.970996120841268
GOLGB1,0.970886860691324
MGAT4C,0.970347458901612
PLEKHA1,0.970241716230446
ANKRD36B,0.969556203332548
RPS6KA5,0.969343759080016
RORB,0.968164891074595
CLOCK,0.967954129688406
SLC6A15,0.966941143302395
FRYL,0.966600703683853
CDK6,0.966342031722327
BUD13,0.966078344355681
EIF5B,0.965859409766071
FLRT2,0.962783345540961
ZNF493,0.961072803633766
ZNF107,0.960079975901237
REV3L,0.959725471648739
SMC4,0.959598443461346
MAN1A2,0.95946817922147
OTUD6B,0.958191695493045
PPP1R3C,0.958012119231307
ZNF773,0.957415993279283
SYNPO2L,0.957064814496972
OSBPL6,0.956852039847343
RCOR3,0.955226276853742
TP53BP2,0.954917927174412
SYNM,0.954302864943075
PAN3,0.953384793539315
KLHL14,0.953284061184147
PCNX4,0.950867950568921
GALK2,0.950335549093429
PURB,0.950295148602636
HIPK2,0.950164755753474
PLCB1,0.949865230180226
CUL2,0.949568232242144
MYCT1,0.949051970750079
MGA,0.948575878232866
SOCS2,0.947360001530724
FGD4,0.947230877702438
LNPK,0.947036111888025
SYT16,0.946568453650383
BPTF,0.946352092420712
DNAJC10,0.946303306832788
HOOK3,0.945983112882759
CTTNBP2,0.94569587389781
UBE3D,0.945389873919826
PUS7L,0.945026399731146
MORN2,0.944226380769309
FKBP1A,0.943631525345174
GPBP1,0.94334398885829
TEK,0.942836209015082
NR2F2,0.942776041461103
ACOT11,0.942774464382419
PDCD10,0.941725098992259
JDP2,0.941205591534343
WNT5A,0.941034622451911
SPACA9,0.940134219009007
CA10,0.939293769425763
TNRC6A,0.939033433499563
USF1,0.939016630950339
KCNA4,0.93793984665555
CCDC117,0.937251238968883
MEIS2,0.93660898303124
FOLH1,0.936217898135898
PRDM6,0.936128349401025
KIF23,0.936022134112313
MYH10,0.934743900275692
PEX19,0.934604356623332
MYT1L,0.934481740402599
BRCA1,0.933890689303771
NRG1,0.933794991707724
RAB3IP,0.933456993966939
ACTR6,0.933160672890801
RHOT1,0.932536119373982
SLC8A1,0.932326511836555
PMPCB,0.931991024683936
SLC40A1,0.931959750991455
ILDR2,0.931852994125549
YWHAH,0.931291017432763
RGS7BP,0.929393200163247
RSF1,0.928649189473054
EPHA7,0.928467895769845
GPR158,0.928408813919008
HSFY1,0.928328074446153
PRKCH,0.92813035331349
ZNF676,0.927774907726076
PICALM,0.927365615706878
MAGEB2,0.926776494671815
INTS7,0.925228970782287
DFFA,0.924639496941063
GMFB,0.924545679662999
ITGB6,0.924359546419806
CCNC,0.923621198433629
ZBTB21,0.92209752512161
RAP1GDS1,0.921330774777379
PGM2L1,0.920588737234027
CDH17,0.919450017161514
DCX,0.919320476515339
HACD1,0.919238964261849
KLF3,0.919039464515942
DIS3L,0.918745865822265
FRMPD3,0.918683515987855
KMT5B,0.918514649898106
TMCO4,0.918495822394869
KCNQ5,0.918231348054678
NPEPPS,0.918156948225853
PDE5A,0.918004855764876
ERICH1,0.917104128321403
AC090360.1,0.91695513007411
ONECUT2,0.916746379773541
GUCY1A2,0.916730446919747
GPR85,0.916329510625803
ATP1B1,0.916206235280437
RBBP7,0.915757409447322
MRPL42,0.915504844436884
NCAPG,0.915474417704092
FBXO43,0.915202535480972
FKBP4,0.915162457815474
CD44,0.914900791540768
MARCHF1,0.913590922089602
TBC1D32,0.912905147239847
WDR64,0.912662332703964
PTPRD,0.911293941015629
