Gene,Score
CBL,0.997967050813912
SMURF2,0.995961754411447
HSPH1,0.995431863273552
RBMS3,0.994448737492004
BHLHE22,0.993729862294781
CSNK1E,0.993329983516956
HIPK3,0.991475303772258
MAP3K20,0.990766910634691
PURA,0.989617434545969
SRF,0.987139737201624
MIER1,0.986794537508911
DTL,0.986604523910804
RAP1A,0.986430286637139
RACGAP1,0.986333287793867
SNRPN,0.985324453060822
ZBTB37,0.983729672970721
MFSD14A,0.982682998831119
BBX,0.981691175546952
AHCYL1,0.981620051432576
ANAPC4,0.98111662587546
ELAVL2,0.979986559839786
CDK6,0.979355400161009
UPF2,0.979060532714774
ONECUT2,0.977952599125144
DDX3Y,0.977802755546506
FIGN,0.97764813013762
GNAI3,0.9770621239594
HIF1A,0.975915306069793
KIAA1671,0.975896667387759
PCDH9,0.975728510530713
CD93,0.975454086553264
ABHD12,0.973403348946171
TMED10,0.973393376016417
CDK13,0.972806968826448
PHF2,0.972658423252712
RPS6KA5,0.972256641841282
CREB5,0.97222287710413
ZNF141,0.972027744681074
ATP2B1,0.972002128585745
CKAP4,0.971618643671173
SMAD2,0.971532858042799
PCDHA6,0.970293383368852
FLRT2,0.969426249386532
ZNF99,0.968696808795206
ENST00000378004,0.96728698474571
SYT14,0.967113569671247
GRID2,0.965467971219322
SLC44A1,0.965244668261247
TCAF2,0.964420632172816
RC3H1,0.962080997614387
LRMP,0.96149737365166
ZFHX3,0.960568181322738
FTO,0.9604662272205
INO80D,0.959577943225689
SLC11A2,0.958993990125842
ELP1,0.956192810415881
QTRT2,0.955887559538469
SIK2,0.954865637707519
WSB1,0.954594348295826
GTF2A1,0.953784665011005
CCDC117,0.953248383327927
ZNF117,0.953004245411997
NUFIP2,0.952955583144549
DDX3X,0.952593319609042
IL6ST,0.952549554867918
RAB21,0.952190422515175
EFCAB14,0.949682507284009
TNKS2,0.949528106458552
PIK3CB,0.949454715311904
SRGAP1,0.949070673889758
BAG5,0.948796268784076
SERTAD2,0.948684489800243
SFT2D2,0.94795561689452
ENAH,0.947551694042441
BMPR1A,0.94702549299723
GSPT1,0.947010750895112
CSDE1,0.946829071715505
RBFOX2,0.94671742818265
WWTR1,0.946583459402673
SH3GLB1,0.946440136507724
DYRK1B,0.946182710185017
NFATC3,0.945818001796655
FRMD6,0.945636829525245
RC3H2,0.945360903270207
INTS10,0.945091600771224
ENST00000611208,0.944936158246666
CREB3L2,0.944606124202151
LARP1B,0.944379005284935
MBD2,0.943582791189933
BCL11B,0.942849440254235
XIAP,0.942719747131229
PODXL,0.942524053586141
MAST2,0.941905017009002
ALG11,0.941855157039503
HERPUD1,0.94159518256985
TFAP2B,0.940846430911878
CXCL14,0.940653524467901
EBF2,0.940632193613296
E2F3,0.940512928409976
GOSR2,0.940508844830004
DCP2,0.940222939437131
CTDSP2,0.939684622809733
TNFRSF11A,0.939473128510046
METAP2,0.938935284158291
MTF2,0.937321185241525
PPP3R1,0.937272347588904
MARF1,0.935713703161344
SASS6,0.934370004904306
MSI2,0.933661806394151
TNRC6A,0.933141827530026
GTPBP10,0.932608326978463
RHOQ,0.932259547601749
SLC6A6,0.932021363227576
AGFG1,0.931645824271777
CPD,0.931504518737031
CNTN5,0.930991687542551
SSBP2,0.930886551386203
ANHX,0.929158336613435
C6orf89,0.928858350838012
TSPAN2,0.928818215374514
MKLN1,0.928592533094763
RGS9BP,0.927974918294607
GPR88,0.927102844183563
SCFD1,0.92697495730566
NOVA1,0.926177601259514
DNAJC10,0.925717337697352
TMEM106B,0.925605709282434
DCLK1,0.9249108762303
TNIK,0.924829389858964
YOD1,0.92464956549448
PRTG,0.923557270460655
TNRC6B,0.923449236513134
SON,0.922809557621953
SLC4A7,0.922775452564543
TRABD2B,0.92268622311667
ABI2,0.922576935579932
UBE2E2,0.921475973279491
COA5,0.921358825134774
CGGBP1,0.921135843852921
ESCO1,0.920746096420921
PCDH19,0.920395698609911
GMPS,0.91982708237094
AP3M1,0.918850557045864
CCDC80,0.918680305374665
ARHGEF12,0.918679073937165
P2RY8,0.918542603662038
TSHZ1,0.918391288915326
RBPJ,0.918325962508024
VGLL4,0.917795186609841
ELK4,0.917684602320551
ZNF280B,0.917653167754992
PUM2,0.91657881463536
C1orf21,0.916201964200986
P2RY1,0.915772814497847
ATXN1,0.915223493006184
LMO3,0.914882202884584
MAPK1,0.914711091324683
PSD3,0.914590415988317
SLC1A2,0.91397502710018
PCBP2,0.913903618401204
BLCAP,0.913833571191919
NXT2,0.912988233753417
AGO1,0.91274235783937
TSHZ2,0.912199001046123
ERMN,0.911952193186096
MLEC,0.911901051375792
ARHGAP28,0.911308568965688
STAMBP,0.911007941662429
EEA1,0.910342440093665
SNTB2,0.910047661747171
LAMA1,0.909631860401982
SMC5,0.909600342107609
PPP1R3F,0.908999374503642
SESN3,0.908100392788094
COLEC12,0.90719255572689
ZNF704,0.90687886845744
ZFP91-CNTF,0.906828995032981
NDUFAF5,0.905564982034273
GABRA1,0.905502661196763
UBE2K,0.905395185398455
E2F7,0.905058563835853
CYBB,0.90460873304304
TMTC1,0.903330040651038
KIAA2026,0.902711082297338
PLEKHA3,0.902655426720212
TIMP3,0.902592308667984
KCNH5,0.902220977657604
TP53INP1,0.901782985193535
STC1,0.901193350242982
PBX1,0.900739516425769
C12orf73,0.900451995552867
SREK1IP1,0.900398493568092
KCTD8,0.900133790502006
CD47,0.900123536650066
SPINT2,0.899170115554835
CTSH,0.899109039043565
IFNW1,0.899102979092875
CCDC47,0.899006411752708
DGKH,0.898321996437981
CNBP,0.897841490253003
SEMA6A,0.897825490502944
GGA2,0.897759444623981
CCNC,0.897604009668507
CPEB3,0.897429179396401
MACF1,0.897411758591969
SMARCA1,0.897141133231484
RAB3GAP2,0.896520422150206
MAT2A,0.89621883855565
ACVR2B,0.896013936295922
KLHL14,0.895666196177818
PBX3,0.895324558357654
PID1,0.895100817457273
SLITRK3,0.894584995925029
HSPA4L,0.894306859621922
RND3,0.89401207468038
POU2F1,0.893638303744619
PURB,0.893250544707423
MORC3,0.892939947331576
L3MBTL3,0.892489511224675
NAA50,0.89227549580689
KLHL15,0.891459507387621
PIK3R1,0.891088463949259
PAX6,0.891021011885999
CCDC85A,0.890970724495214
SHOX2,0.890952405214032
TTBK2,0.890838297692846
ZDHHC20,0.890639746606509
INTS6,0.890211136988402
PPP1R3C,0.889695211974605
FAT1,0.888992919813833
ENST00000558190,0.888183688386152
C9orf40,0.887817389115795
DOCK2,0.887583555858627
IPO8,0.887239077982029
TANC2,0.886692600153217
DEFB118,0.886487779397112
EPS8,0.885804868410318
MRRF,0.885470734830107
SLC10A2,0.884541551660904
NFAT5,0.884438644364982
USP51,0.88442778802383
PCGF5,0.883381167071277
PAN3,0.883277290841385
CUL5,0.882962519740329
CORO1C,0.88290096999264
GFRA1,0.882587696574881
SMARCA2,0.88257058113479
ARL5A,0.882376897485034
FAM199X,0.881596175880929
TSC22D2,0.881359904760426
