Gene,Score
NDRG2,0.98926376270417
WWC2,0.987834649599123
SKA2,0.977610962062602
BCL6,0.977392849034753
SLC12A5,0.976771674488981
FOS,0.961623348777123
PATE3,0.946493007221307
TNRC6C,0.92759923250735
INSYN2A,0.927537148218564
EN1,0.925040634727213
DGKA,0.914104403632864
DELE1,0.911438941045166
NFIC,0.899774622450144
KIFC3,0.885541213079917
PPARG,0.884206403072575
CPSF7,0.876932317144117
TRABD2B,0.861959788676839
ARHGAP8,0.860388108218199
ABHD16A,0.859420900103954
SERINC4,0.857532803828199
WDR54,0.851295716945887
FDFT1,0.843371474986165
SLC32A1,0.837450949127103
ZNF256,0.828794241284381
LARP7,0.823254752834343
NIBAN3,0.820974031929575
ANGPT1,0.818686294653697
MRAS,0.8178203337617
TMPRSS7,0.809813486902365
TCF7,0.809400693607413
SLC38A2,0.804587899064343
SNRNP70,0.804446688502843
TSN,0.803297482555012
MPP1,0.802334334712805
