Gene,Score
RBM6,0.987215932087422
PELP1,0.972751535646765
DHX30,0.966315237519974
CCDC191,0.964973666911622
GOLGB1,0.963062086378278
NASP,0.940937698691574
APLP2,0.939364517679497
ACIN1,0.91950900616043
USP28,0.919204637795781
IFT140,0.911297264876555
NFAT5,0.896948241742319
TOP2B,0.894323877940705
B4GALT6,0.888511767586955
ZNF256,0.884569966464954
SERPINE1,0.881715396444943
SETD5,0.876254227773697
MSH6,0.869128287733884
PER2,0.868987602114697
ATRX,0.865699112024631
SCAPER,0.863856943093024
WTAP,0.859665757359858
DDI2,0.858966432730844
PIEZO2,0.858629314827116
AC091167.2,0.855545697963339
SLC4A5,0.854848133416395
DZIP3,0.853086015991386
SAFB,0.852289307353859
SNX14,0.84988684388518
WASHC2A,0.849252940751707
PABPC3,0.848447243828508
TXLNB,0.848049065773576
PTPRO,0.845938337882181
ZNF761,0.843026325210994
INTS3,0.842161025290933
METTL1,0.838919809436689
NRDE2,0.835539608104125
TLE3,0.834257508056601
DERA,0.833610674178558
PWWP2A,0.829718997358062
DERL1,0.827332859032544
TMEM260,0.825988736469582
GLT8D1,0.82088103735871
CAGE1,0.819664096818008
SKAP1,0.817668186507717
SLC9A2,0.815591474997389
CCNC,0.815219810411106
ENST00000402966,0.811263719678778
REV3L,0.80459494891176
DOCK5,0.803311981394274
DDX23,0.802111696566502
PTMA,0.800172803096974
