Gene,Score
GRIN2B,0.983291618419182
STMN2,0.978616273447899
ATXN1L,0.968109493189957
RFX3,0.966569424244156
XPO1,0.965299199424066
EEA1,0.964417158111566
PKIA,0.963335333526201
CEP126,0.958797628128161
NAA15,0.952935181246237
CGGBP1,0.952259531404243
RABGAP1L,0.951964520526915
SPAG9,0.949129816274213
SMAD2,0.947031452881114
FAM241A,0.944325311156605
NCOA2,0.943710171349663
SLC6A4,0.940874661280592
CDYL2,0.938418666987188
GPBP1L1,0.937438816551893
RLIM,0.936041431197498
PPP3CB,0.936021040811915
HDAC2,0.934744310959864
SPI1,0.928688415106551
HNRNPUL2,0.928509879577236
ATRX,0.927339358200773
FBN2,0.926630660868327
ZNF778,0.925850663105792
ATPAF1,0.924905667374899
PPP2CA,0.922409985550693
ZNF275,0.922070089904794
DZIP3,0.919876368416288
SYN2,0.914419232644357
SYNJ1,0.913253949892015
ZBTB41,0.912837629887374
RAD9B,0.911136468255674
SNRPN,0.911079980369409
UBE2G1,0.910886172302362
FST,0.910054304231818
CDKL5,0.905565328079669
ZNF780A,0.902325966007047
RIC8B,0.90169239087643
GRIN3A,0.901127980995785
RAET1E,0.901065312775512
PAK5,0.897344634106076
WDR37,0.894882964753943
CILP,0.893433888682856
PDE7B,0.892873260153411
RBM25,0.892602307021332
ZC3H14,0.890122874274247
TRIM44,0.887024717914065
HAUS7,0.886604665445154
XK,0.886088762792445
ADAMTS19,0.884407059308556
ZNF24,0.883952939237111
UBXN8,0.883250641525233
IL10RB,0.882580594035937
HDGFL3,0.880816327265251
ZNF485,0.880268077370866
STRN,0.879064374677347
ZNF230,0.877396119985581
RPL21,0.876909477338683
EHBP1,0.876550532911373
MAPK1,0.876205832891585
GPAM,0.875345341853883
TBR1,0.874825557462743
EPN1,0.873979048632789
INTS6,0.873370846755178
THAP1,0.865559812980996
CR1,0.865114489712935
RRP8,0.864965484274778
FLRT3,0.864266885881976
FBXO9,0.862431762256601
SLC39A6,0.861554279887682
MMGT1,0.861507803475714
NEXMIF,0.861302164242877
SGSM2,0.860829572939109
MICAL3,0.860281030733671
EMCN,0.859425217265996
SEL1L,0.858218845622389
RPIA,0.855031863707752
SLC2A5,0.853726374115681
SPDYE16,0.853248345013056
GYPB,0.852875822960052
RNF152,0.852521399750834
MAGI1,0.851504026730716
BIRC6,0.850980945471793
PFN2,0.849166610238087
AUTS2,0.848756671035829
SLC24A4,0.848071476679179
CLCN5,0.847331681037803
FBXL3,0.847176427269413
CLEC17A,0.8464310882558
PIWIL1,0.846220800045078
GOSR2,0.846110391469203
FLRT2,0.845793542160577
SAMD4A,0.845404525470613
ZNF445,0.845153085548063
RBSN,0.844959301368573
EPM2AIP1,0.844631933578209
IGSF1,0.843445450452134
HDAC7,0.843234184444276
RPS6KA5,0.842744421905446
CXCL6,0.842434603436838
UHMK1,0.842293011798287
ATP2B2,0.841976731207682
CEBPG,0.841208342756755
ZNF462,0.840085949038277
TANC2,0.838798600419905
FAM110B,0.838135860558077
PHF20,0.837958361387246
FAM53A,0.837771057275128
HDAC1,0.837711269761222
HYAL4,0.837521528506593
SIM1,0.8366244511965
GNAI3,0.83578748257024
ENST00000558084,0.83378655003225
EFNA5,0.833606092865551
DDN,0.832284511425352
SRP68,0.832124513592419
C1QL3,0.832114945322585
FZD6,0.832026148536281
LRRC57,0.832024597830176
KLF2,0.831564087030738
TMCC3,0.831102593211838
RNF165,0.830440544992485
ENST00000332797,0.830377880710239
CCNF,0.830272431781195
ADAMTS6,0.82951659082193
TBC1D30,0.829317785964343
SPDYE5,0.828693975330395
WASHC4,0.828653707766169
ATXN10,0.82850559679144
THAP9,0.828403309888993
TMEM47,0.82835276585741
KDM6B,0.82772329721013
ABI2,0.827570518768302
AC067968.1,0.827089201759517
FAM199X,0.82702048526725
NHLH2,0.827020415562978
HNRNPA3,0.826979519580505
COX6B2,0.825480963767494
SRGAP1,0.825455489185361
DLGAP4,0.825419744354385
TRPM8,0.824715104481111
SRSF3,0.82470397801289
HIP1,0.824234284180882
SEMA4G,0.82384206092496
LSAMP,0.823433289255639
CHMP1B,0.822126560539286
EDA,0.821719095331685
FAM106A,0.821356150536555
RAB15,0.820284775397381
FSBP,0.819088686950459
TCP1,0.819032188041068
GNG13,0.817574348328902
PLEKHA3,0.817317265887526
HM13,0.815906108470232
ENST00000303531,0.815837145981076
ATF7,0.814150171416109
HTRA3,0.813837599637983
PEX26,0.813369987331216
AP5M1,0.813118421776126
FOSB,0.813012768712935
RCAN2,0.812870512879464
ZPR1,0.81241666470362
GPR63,0.812157552836967
FNDC3A,0.811975730008026
GDA,0.80975936854977
CDK5RAP2,0.809757706625152
EIF4E2,0.809237258976475
PERP,0.809152097413804
MTMR6,0.808958205314268
GPR61,0.808512989068375
TMEM35A,0.808093250249373
SMIM15,0.807865425876799
HMG20A,0.807794110657606
REV3L,0.807026946327763
CDK8,0.806966342756053
GTF2H1,0.806961946921716
SETD7,0.806570541704403
FAF2,0.806108443017152
RMND5A,0.805870424690072
ZYG11A,0.805392222392243
AP002990.1,0.804338033300138
TCIM,0.803028180497152
MARCKS,0.802754928077108
CELF2,0.802477536479807
RAB21,0.802274881986849
HOXA1,0.802249784527091
AC093155.3,0.801826299750716
ENST00000389562,0.801618746036761
PGR,0.801010636389352
