Gene,Score
PPP3R1,0.999957858532048
SLC1A2,0.999816383923657
RC3H1,0.99917512721666
ZBTB37,0.999039445450016
MEF2C,0.998838273515982
BBX,0.998265853589062
CELF2,0.998178617005954
SLC4A4,0.997497712469631
RAP2C,0.996510151078799
GRIN2B,0.996141975156657
FLRT2,0.995978746985863
MRRF,0.995921771361444
ZNF585B,0.995159834058087
NTRK3,0.995154313534115
NFAT5,0.994853003628078
ZNF704,0.994425017047231
HS2ST1,0.99336357809704
LIX1L,0.991650021569667
ERV3-1,0.990993338981885
CASK,0.9907931692135
SIAH3,0.990748036907983
ARIH1,0.990713765134141
STXBP4,0.990662091255791
MTAP,0.990450836037437
SMAD2,0.990446329714844
HSPH1,0.990320159438285
ENST00000268035,0.989187532598506
PGPEP1,0.988951744886798
SYT14,0.98869239904405
DGKH,0.988621670407839
DNAJC13,0.988427220201796
XIAP,0.988239029807105
AGO2,0.988135190136692
CSNK1G3,0.987790276468184
GRID2,0.987675505228401
NOVA1,0.987183765466023
SFT2D2,0.986735058890553
BRS3,0.986727659652087
INO80D,0.986239527576994
SAR1B,0.986128930570874
SPRY3,0.986126417813318
ENAH,0.985896089742771
BRPF3,0.98568055969859
ADAMTS6,0.985663077295311
FAM76A,0.985228054965988
LYRM4,0.984509175953135
CD93,0.9840832069284
GSPT1,0.983625639158299
BEND7,0.98350617055135
ERBB4,0.982948437078545
TSHZ2,0.982688927423019
FAM126B,0.982391891872283
FAT4,0.982145252223564
MSI2,0.982117263024814
IGSF3,0.981899425565269
FOXJ2,0.98187530073285
ONECUT2,0.981780307472908
SRF,0.981595847297013
CSRNP3,0.981277725035213
RLIM,0.98127516022224
KLF7,0.98123016148729
DYRK1B,0.980702520184418
RFX3,0.980638721629042
KSR2,0.980147066128458
PIAS2,0.980104243707072
SRGAP1,0.980081969125943
ZFP36L1,0.979883227760627
MYLK4,0.979441221771139
MTPN,0.97940188674539
DCP2,0.978843762648331
SEC22B,0.978270856948741
TMEM33,0.978149054974131
PLEKHA3,0.978072591458442
SLC10A2,0.977024739659386
ATL3,0.976229359501456
FGF13,0.97572071605378
PIK3R1,0.975715127536025
AR,0.975115966769477
KCNC4,0.97488121015125
SLC8A1,0.974428454009753
LCOR,0.973750552209671
APLNR,0.973520499542807
ELAVL1,0.973095083403468
SLC4A8,0.972897560263441
SIX3,0.972793391468756
PCDH9,0.972766503320978
ENST00000615031,0.972226681703945
ARL5A,0.971809531786668
BMI1,0.971309402949065
FAM107B,0.971171188990202
SIM1,0.970597709945947
CLK4,0.969911242154299
XPO4,0.969845864315153
C1orf21,0.969808834602368
EIF4A2,0.96975195906471
ZNF19,0.96954468352374
ZFHX3,0.968988547065912
IPCEF1,0.968635329475602
ATP11C,0.968439594580049
TAFA1,0.968434139701108
UBE2E2,0.968338525330812
VGLL3,0.967699423187499
XKR6,0.967634635170478
RIC8B,0.967455504494162
FAM155B,0.967242861083226
GNG12,0.967198807123232
MYO6,0.966625646272934
RARB,0.966553023146292
FZD3,0.966320385609474
PARP8,0.966211462244124
KDM5B,0.965711391600339
RHOQ,0.965629636394758
NCDN,0.965539989126417
CBX5,0.965182870141367
UBE2W,0.965058954339515
MAP3K2,0.964801834278895
SLC4A7,0.964522867532927
DPH6,0.96437082301659
CXCL9,0.964346137723212
ENST00000558084,0.964227341964448
KYNU,0.964149690925078
XKR4,0.963242515973628
ZKSCAN8,0.963020521301591
TMEM117,0.962783217579045
PPARGC1A,0.962533802499482
MAP3K9,0.962145307459782
PCDH11X,0.961841186666301
SLITRK5,0.961821617620021
POU2F1,0.961759060606994
FTO,0.961744321946584
PKD2,0.961623786695363
ENST00000378688,0.961517842725489
ESRRG,0.96151018087336
ZRANB2,0.961389881051292
MACROD2,0.961172744098571
EPB41L4B,0.960970838935833
SHANK2,0.960768721349007
BMPR1B,0.960747569252516
SNAP91,0.96062877207137
ACVR1C,0.960614339507052
MYSM1,0.960428519147363
ATXN1,0.960197387208273
UBE2D2,0.959480842429439
EP300,0.959185973537724
ATP2B1,0.958982902735964
TNFRSF11A,0.958952829964314
PALM2AKAP2,0.958948448869947
CLCN5,0.958667390578191
BCL7A,0.958471941709294
TSPYL4,0.957696010907692
GSPT2,0.957093406265896
RBM17,0.957036140113601
ACTR3,0.956833416602323
SASH1,0.956516393353724
PPP4R3B,0.956493545130765
PEX26,0.956476799841182
NRXN1,0.956462923321577
G6PC2,0.956422767507843
WIPF2,0.955783835543806
SMARCA1,0.95570289004842
MAPK1,0.95550382019394
PAIP1,0.955472005705426
GNB3,0.95534086720216
SENP1,0.955204563740294
CDK6,0.955103805054079
JPH4,0.955053039338765
DCX,0.954583338326947
WIZ,0.954447610839371
FAM155A,0.954380190267059
PPP1R12B,0.954104467559862
SOBP,0.954015413965772
NEBL,0.953724669812462
SH3BP4,0.953403207928062
ENST00000328528,0.95328496797624
PTAR1,0.952931629686885
TSHZ1,0.95281450941787
DOCK9,0.952652038225562
TARDBP,0.952612851266639
TNRC6B,0.952138512721097
REV3L,0.950643150750952
RIMS2,0.950634372983969
SRGAP3,0.950233581822997
SRGAP2C,0.950072464113226
C5orf51,0.949696609753656
CLEC2B,0.949637848765355
SPATS2L,0.949575906118956
P2RY1,0.949173170671034
DIP2C,0.949087347863652
ZBTB44,0.949038324468154
ZNF391,0.948994227616895
CREB5,0.948203887026106
ZNF148,0.948052715878059
MPHOSPH10,0.947876798066892
NPL,0.947659379850438
SRGAP2B,0.947618364527578
RND3,0.947581195471151
RORA,0.947527553927766
HOOK3,0.947405465249414
AGO3,0.947199133726381
MARF1,0.947092154554259
PCDH11Y,0.946813113535274
FGF14,0.946190795571997
ARHGAP28,0.946161498224051
APOLD1,0.945967885272933
RTL5,0.945843917617519
CBLN1,0.94569976815352
KLHL14,0.945515172453883
GRIN2A,0.945460336600847
ENST00000379264,0.945237753081584
RAB3B,0.945093537217889
SMC5,0.944953258756734
RPS6KA3,0.944198762516895
KIAA1958,0.944174485791426
BTBD7,0.943747799824559
GPATCH2L,0.943636790674575
TUBA1B,0.943212190978575
GFRA1,0.9432113669179
