Gene,Score
LRP4,0.994294541851901
TMOD2,0.99366970904718
DNAJA2,0.9894088413516
AC106886.6,0.988334350067903
LHX2,0.987731354809286
FNDC5,0.985069161290529
CADM4,0.983272282279055
ZNF800,0.979720663742525
HSPA4L,0.974986977776296
ENST00000617179,0.973566128002744
SCRG1,0.969480396783591
STK17A,0.968834211082589
LMLN,0.967006806262835
KAT2B,0.965726489928062
DACH1,0.962320404572052
FLRT2,0.962004340726983
FGF9,0.96101352686286
CHD8,0.958706548001364
ZMYM4,0.958503916080062
NCOA1,0.950978983075974
NFAT5,0.94906287921207
ELSPBP1,0.948778473235311
CBLN4,0.945880109620908
DOK4,0.940773726537739
TTYH3,0.939417111978357
COL17A1,0.938208646920056
PALM2AKAP2,0.932316173420342
SHROOM3,0.931636231526856
SLC25A23,0.929083157308839
ANKRD29,0.928787923075849
BMP2,0.927915960437538
SPRY1,0.924706998156341
STIM1,0.924529773654578
SRGAP1,0.921931387763995
CUL2,0.921446846791712
HDGFL3,0.919043010023803
DGKB,0.915836864461726
RPUSD2,0.914693598533727
LCOR,0.914377796131646
LTBR,0.911995919315422
BAG2,0.911429771014182
SRP14,0.911253752289186
HAL,0.91108264264
SMARCC2,0.897898764932625
COL28A1,0.896848767398987
TFRC,0.896194863123292
ADCY6,0.896044348118891
NUCKS1,0.896013491860467
MED4,0.894363088095157
DGKI,0.893843674218957
RBBP6,0.892720193126386
ENST00000610431,0.891651155226256
MON2,0.888569804724697
GCA,0.88849429494613
ADCY7,0.885155673652713
DPYSL2,0.884069440469205
UBE2V1,0.881874992773774
BOLL,0.881744556865375
DCUN1D3,0.880958822555728
TSPAN12,0.880268648202113
RSF1,0.879628513873972
UBQLNL,0.877142003950023
SMAD2,0.877089267294378
CDC42EP2,0.876962226757845
BAZ2B,0.876409773491875
CAPN1,0.87587507137729
LRP8,0.875467442966492
ZNF716,0.869912577669012
CCDC43,0.869578228523864
JAG1,0.869325575298783
GALNT16,0.868295695607226
RALA,0.865571314661564
SNX27,0.864385166872003
NCKAP1,0.864132252378923
DBT,0.863349633012651
PDE4B,0.862894838091995
DFFA,0.861283857864081
EMG1,0.860704115749939
PHLPP1,0.860563255429692
MTAP,0.860193350894303
NBEAL1,0.859775102792287
SBNO1,0.857942489141355
PAX8,0.855845934084258
VEZF1,0.854953496909919
GPRIN3,0.853929440690216
YOD1,0.852660511277995
IGFBP5,0.847067135069609
ZSCAN9,0.844379494154925
GLUD1,0.843983590148643
TBC1D3K,0.843323582842903
TBC1D3H,0.843092810192739
TBC1D3G,0.842640142119403
RAD54L2,0.842380741715403
MRAS,0.842259654815593
TMX2,0.842231065160767
ATP10B,0.841525666964659
STOX1,0.841475631015992
ANKRD12,0.8404401446567
GRIN2B,0.839017828184423
ADGRL3,0.838299338438582
C12orf49,0.836713763154297
BCL11A,0.835190579394183
CALCOCO2,0.833401039638571
GPM6A,0.832056663074629
TGFBR3,0.831877099180138
CTSB,0.83074487037282
AC112229.3,0.830635221410905
EPB41L4B,0.829268833466678
ITGAV,0.828111635179062
PRR5L,0.827473173799886
TLN2,0.826144766827198
PLP1,0.8256767977602
POU3F2,0.825157627206461
TMEM35B,0.825040416770905
CELF1,0.824748255701765
IRAK4,0.824119519069358
PCDH9,0.823866278780075
PRSS23,0.823699460020224
MYO9A,0.823436034445259
FOXN2,0.822755607964336
PDGFB,0.822606597581345
CORO2A,0.821084753850292
NCR3LG1,0.81982451630517
CELF2,0.818478603968732
IRF6,0.817654660602597
TET1,0.817096804802963
PRDM1,0.816327249916091
DMD,0.816236014393344
YTHDC2,0.815292566494485
TPCN1,0.815003868044205
SPRY3,0.814954798872475
PDGFRA,0.813731407337394
TTC39C,0.812610118659812
BRCA1,0.812242010372328
BRAF,0.81141230017117
SPATA6,0.808918331771409
ZNF557,0.807915318815243
CD58,0.805676453991155
CHIC1,0.805612507003642
ENST00000369130,0.804371062648103
NFXL1,0.804285906578743
LRRC70,0.802734259365768
PANK3,0.800758902284513
