Gene,Score
NAMPT,0.999999999999996
CNOT11,0.998081341831227
ASRGL1,0.981809794351939
MUC17,0.981706702698701
PTAR1,0.978790020038284
PAPOLB,0.976775993201435
CREBL2,0.973942653588879
ENST00000558190,0.972067022091619
TTLL6,0.97033847540962
GPR12,0.968685837109047
SLC38A2,0.966963742414771
ACVR1,0.96555878704121
MIA3,0.963232274515122
TXNL1,0.961501148954707
NRXN1,0.96025826767597
CCER1,0.958747561486517
SCN10A,0.95849121584117
GSG1L,0.956512697008357
AKAP6,0.955163101419637
RNF111,0.95478395706975
TEAD1,0.954744013383518
ARPC2,0.954453660571714
SRPK2,0.953582805276585
TSHZ2,0.948886631862853
KDM6A,0.947547071727296
CBFB,0.946528928739165
PICALM,0.946045931018879
KRR1,0.943006615289598
YTHDF3,0.942419942615507
FLRT2,0.941660885157459
CT45A2,0.941084461582832
SLC39A10,0.940767468493008
GPR137C,0.940626154649649
ZBTB39,0.937889410011186
CADM2,0.937396032348491
RHBDL3,0.934946500868576
MTARC1,0.930906436444626
CHD8,0.929153233365271
CT45A5,0.921767687155128
CHP1,0.920799920641435
AHSA2P,0.919260561775905
ARL5A,0.916550662141216
ASB7,0.916466397267364
SKIDA1,0.915135177415924
ZMYM2,0.913669443634527
ABCC3,0.913186408334492
HACD4,0.911368901009156
ZNF215,0.910240052632565
DAB1,0.909999470191657
SPATA18,0.909513574874187
VAMP4,0.909480170479991
FAM205C,0.907638635771705
B3GAT2,0.905982442250047
SIM1,0.90522433436694
TANK,0.903329847527249
RSRC2,0.902985977920765
CNTN5,0.901466133650435
ONECUT2,0.900322821154847
GPRIN3,0.899771378886042
NFIA,0.899464200720812
TP53TG3F,0.89877541577171
TCAIM,0.895931653777605
SH3KBP1,0.895690100542203
DAPK1,0.895132000496662
AVPR1A,0.893951462651331
TMEM92,0.893487590622045
ATP8B4,0.893013292747046
ENST00000368961,0.892758472616212
ERBB4,0.892309576554098
TMED3,0.89186710237543
H3-3A,0.88917876978815
DHX33,0.887195532635816
ZNF234,0.88684018735414
ENST00000620556,0.885628561125545
REST,0.88314027603814
PLAG1,0.882772176221236
ENST00000616528,0.882378886318405
MRPL42,0.881870437174223
SLC5A3,0.881867581683306
CT45A1,0.88168895395867
PIWIL4,0.881288512576155
PAQR3,0.880683684315752
SMAD7,0.880096661664382
GPATCH11,0.878263585770801
C1orf194,0.877308050677074
TMEM87B,0.875730340928223
CCDC34,0.874247990439462
CTCF,0.874135385835558
KDM5A,0.871770967808917
LATS2,0.870486130623273
BEND6,0.870273995550508
ZDHHC9,0.869265553380701
RPA1,0.869052590047659
NCKAP1,0.868660276955065
EIF3A,0.865765009639369
ALDH5A1,0.865714974163862
KLRD1,0.865154360190491
ADAM28,0.864232277508842
LHX4,0.863418456978786
ICE2,0.863145819971498
CDH8,0.862912815672926
INSIG2,0.862893068524458
GALNT13,0.861524824376136
SPTY2D1OS,0.861428485765001
SCLT1,0.861304369735672
TENT5A,0.86032659023419
LIPC,0.860292525033046
SESTD1,0.859923369332013
LURAP1,0.859899326324325
SIRT1,0.859833804351448
SMIM14,0.85858891801661
VTA1,0.858029567247019
PTGFR,0.856125570032237
PEG3,0.855868791459676
PNOC,0.855221184676501
YTHDF2,0.853380639778893
CTNNA3,0.852062607027351
FZD8,0.850877840285526
MEF2C,0.850369024092207
CT45A3,0.84981807698037
FAM204A,0.849235691719868
SYNJ1,0.847826196183341
KCNQ3,0.847754331959172
MRPL48,0.8462743664245
TGIF1,0.845618468457611
LCOR,0.845498866076882
PTP4A2,0.845369124570739
NECAB1,0.844774378329238
ENST00000622552,0.843696371864988
RAPGEF2,0.843171057462697
BTF3L4,0.84250021540301
SEMA6A,0.841049287200704
C8orf82,0.84095561402271
PRDX1,0.840411436681567
ACO1,0.839303079682189
SMG7,0.838956940908933
HBP1,0.838884833893341
PTPN4,0.838152892015317
NAALADL2,0.837970575443611
ENST00000408895,0.837514423019136
MCTP1,0.837186686289097
RABGAP1L,0.835770838521473
PKIA,0.835610038181573
ZKSCAN8,0.835555487785103
SV2C,0.835167826089796
NDUFA9,0.83503352931531
PIK3C2A,0.834793215350473
PPP1CB,0.834713393773673
IRF8,0.834625171167975
WASHC4,0.83456915571444
EXOC5,0.83420211314537
CALN1,0.833260183776104
OVGP1,0.83244126947502
DMRTA1,0.831837435533494
FBXL20,0.830510200515949
VMA21,0.826582534702054
TMPO,0.826333801498982
AP5M1,0.825763537439302
FZD3,0.825706873700495
MARCHF3,0.824778741925533
MARCHF10,0.824570826214654
HSD17B2,0.824122444074366
RASSF9,0.82335052432644
USP6,0.821938366664836
MBD5,0.821685975399196
ZC3H14,0.820658951079154
SPATS2L,0.820588948907091
MAP3K2,0.820186187604396
XKR4,0.819648387820407
GRIN2A,0.818449232119908
ENST00000626255,0.818203618784692
MPHOSPH9,0.817511835882682
HR,0.817276174610535
DBX2,0.816840901163065
FBXL4,0.815465241460254
TLCD4,0.815061460117671
PLA2R1,0.814764085885817
PTPN20,0.814525882384602
SUPT20H,0.813332103264771
KIF6,0.812994639080426
NMT1,0.810595968975437
ACLY,0.810465614971295
OTUD7A,0.810120147970468
EIF5A2,0.809905336122536
STX16,0.809277755312334
ARIH1,0.80866024247668
FBXO25,0.808520934656526
ANKIB1,0.807068937745569
ENST00000611124,0.805926838021343
GRIN2B,0.805802405318995
MGA,0.804162146130492
UGGT1,0.802634095496529
ZNF17,0.802462798419203
AL023806.3,0.801448978681725
C1orf141,0.800924457871058
RBPMS,0.800363908717253
TMEM183A,0.800049401241721
