Gene,Score
MGAT4C,0.999910279636853
CREB1,0.999666193758635
SLITRK5,0.99900938957767
SMAD2,0.999002257782734
FLRT2,0.998636042675714
SRSF1,0.998552599904929
TOP2B,0.99828803171317
PCDH17,0.997602878184852
SCAI,0.997420213104711
CACNB4,0.997367423502193
GNAI3,0.99712408912506
INTS6,0.99707662098912
ZNF207,0.99654413129446
CADM2,0.996079301364013
PARP8,0.995983936375404
CD47,0.995628452422129
PHC3,0.995565268013371
SMIM13,0.995443686953812
CITED2,0.99539223346165
PCDH9,0.995380256513794
AKIRIN1,0.994802943871823
ENST00000456098,0.994505620968123
LOX,0.994398816304882
CNKSR3,0.994343462110763
CNKSR2,0.993925284336075
ZNF678,0.993833968985265
PTEN,0.993753630203219
CRISPLD1,0.993616969600681
RIF1,0.993511098383635
LCOR,0.993478146983907
ABCA10,0.993455006003315
MBNL2,0.993423784256146
LHX9,0.993318826054085
ZNF92,0.993106643584231
DACH2,0.992713439884528
UBE2J1,0.992619648169235
AKAP6,0.992616639673273
ABI2,0.992612199708249
BRWD3,0.99239893326323
RESF1,0.992261895164711
TENM1,0.992251934043538
UBN2,0.991929435368701
LBR,0.991678988409235
ZNF800,0.991618464393388
NBPF12,0.991614494388335
LIMA1,0.991513545714659
SLC8A1,0.991347413302382
RFX3,0.990868278441152
DCUN1D1,0.990853057691295
RASSF6,0.990588358822258
NSA2,0.990438975622829
ARHGAP5,0.990223735398008
MAMLD1,0.990097718795206
TP53INP1,0.990068406313493
NBPF9,0.990067546902929
EPHA3,0.989536504765104
ZNF367,0.989438324562098
KLHL15,0.989341453364888
BUB3,0.989108729199818
KLHDC2,0.989015233916522
KAT6B,0.988864279310226
BEND2,0.988633655700451
PANK3,0.988613278619516
LMAN1,0.988274963882855
GFRA1,0.988157850424889
HOOK1,0.987808553217072
AGO2,0.987560026402193
AFF2,0.98754075394091
HIPK3,0.987520436199093
AP1G1,0.987393237131998
WDR82,0.987312766165533
TMEM132B,0.987183714703261
NLK,0.987141822287063
NPAS3,0.986985130173211
NBPF15,0.98687419515391
LYST,0.986604950361186
SMIM21,0.986462208905445
PCSK2,0.98623976990681
SFRP2,0.985636256976393
RBM46,0.985471572783
TMF1,0.985430850946954
PPIG,0.985369123558805
STYX,0.98536827889738
SAV1,0.984940647498228
PEX13,0.984602761639074
ZMYM2,0.984601814659813
LPP,0.984097036229952
WDR26,0.984049695001223
ADAMTS20,0.983905520439226
BEND4,0.983784759141104
SLC26A7,0.983309092402336
PLPP3,0.983062637306187
SYT16,0.982999684314939
PIGM,0.982612445325553
AQP4,0.982045203497547
GRIA2,0.981959209079357
CLK4,0.981946663138389
NEXMIF,0.981768164522066
ZNF292,0.981493201470022
EFCAB11,0.981459527663281
YIPF4,0.981339002319642
RUNDC3B,0.981190841668145
PRR27,0.981058031050606
PPP2CA,0.981047615889819
SLC25A53,0.980958773432455
FMR1,0.980903405592717
BCAT1,0.980765994804847
KLF3,0.98076206240403
CREBRF,0.980750609550299
UST,0.980594082118079
SF3B1,0.980448514659242
NDUFA9,0.980360295971602
MAP3K2,0.980350407646135
RSBN1L,0.980270448767309
ZNF148,0.980269410772811
PPM1D,0.97976513353057
ZNF681,0.979261541844863
HNRNPUL2,0.979257544541866
MGAT4A,0.979155156399598
AP5M1,0.979102344901989
RAPGEF4,0.979096964945439
TMEM106B,0.979002367533666
SOX11,0.978898347136118
ENST00000282030,0.978824268547646
POU4F1,0.978599772640042
USP15,0.978452409590661
FGD4,0.978437923320593
TMEM65,0.978400048428001
ITGB6,0.978231592837522
MFAP5,0.978146648859873
ANTXR2,0.977994265514724
NABP1,0.977988776282917
KBTBD8,0.977882589204541
HOOK3,0.977882420519529
RNF170,0.977843822283699
NDEL1,0.97782298362336
GOLGA6L4,0.977641643725694
PHTF2,0.977468693132654
KLHDC7A,0.977439326745227
RABGAP1L,0.977028673030169
FBXO45,0.976855979434194
KCNQ5,0.976636846936667
ANKIB1,0.976615184764479
UBQLN2,0.976492694748239
LUC7L3,0.976361761681965
NDUFV3,0.976120096106623
SOCS6,0.975854401309642
RGS21,0.975777124456306
FGF13,0.975607581225579
ODR4,0.975527508025041
TPR,0.975519250733386
XKR4,0.975441544381901
PLEKHA1,0.975431287335481
ELOVL4,0.975243465709969
PLXNC1,0.975215978236364
GCNT4,0.975177172005368
MEF2C,0.97498781294002
HACD3,0.974768542185612
DNAJC21,0.974704251964033
TMEM255A,0.974574726839274
WASHC4,0.97435776772147
FUT9,0.974352621198506
ZNF773,0.974153289551662
RSF1,0.97404754752872
RC3H2,0.974028631211205
TRIM24,0.973834063473628
ACTR3C,0.973827824957528
IQCH,0.973726942601134
SESTD1,0.973251631274985
PTPN4,0.973159936905093
FAM153A,0.973061623448557
EIF4E3,0.972897743463287
DPY19L4,0.972805674172312
ROR1,0.972590800198809
ZMYND11,0.972473447467257
SPCS1,0.972376913528394
NBPF10,0.971947402689817
SPTLC2,0.97180168697487
SEC63,0.971609590261674
ALG10B,0.971579910764359
PHF2,0.971456383995974
NEGR1,0.971351613367748
KCNMA1,0.971324198743134
PLEKHA3,0.9710922386997
MIB1,0.970926764188632
CBWD1,0.970885991903715
EIF4E,0.970414347524966
ELF2,0.970265922003514
SPIN1,0.970204844304594
RAPGEF5,0.970091245690612
HNRNPR,0.970000994604466
PCDHA9,0.969565849399338
TMOD2,0.969452958916928
COL4A3,0.969237827528499
ENST00000378565,0.969184179470284
MYO1B,0.968849959693564
RAP2C,0.968619215577245
ORC4,0.968492155012707
FAM241A,0.96846674416001
RASGEF1B,0.968401978368443
GMFB,0.968279832025072
GAP43,0.968131969763792
EEA1,0.967609156070067
TSHZ2,0.967204417575154
GADL1,0.967143926664463
STOX2,0.966862905430942
TTC8,0.966413551073585
DOCK8-AS1,0.966209997623958
