Gene,Score
MZF1,0.974246433615877
VPS26A,0.971260862708703
RBCK1,0.930547305074112
ATP6V0D1,0.914342712494875
SLC17A7,0.90414881353106
ZNF213,0.902970385984859
YPEL4,0.899392561417253
COPS7A,0.89766054552089
PFDN6,0.893004649852173
FZD10,0.863180494041141
PSMD3,0.853117409216518
NUP88,0.851529293969823
MYO18B,0.84947507417763
COPS7B,0.849266983619806
SOX11,0.843913483784956
TRMT1,0.842868661766278
AL024498.2,0.839265877083642
MPP4,0.833841028939754
SPTBN4,0.831559471789745
MYO1G,0.823687421680993
RIMS2,0.823597154853182
NCK2,0.821846994971398
ELOF1,0.819470448486781
SLC6A18,0.812497458215064
KLRK1,0.804472486921826
ZNF256,0.802283755089731
GALNT14,0.801634388966532
