Gene,Score
BCAM,0.996198772324446
MAP3K8,0.987402675876342
LARGE1,0.977942571158001
RPL27A,0.967641550716837
PPP2R2D,0.964159570622609
RPGRIP1L,0.960286545956407
FLNA,0.956086903684743
YJEFN3,0.955231312536298
EXOC3,0.94908308533345
LIN54,0.94791147092542
PDZRN4,0.943862813816859
ZNF773,0.942668258571679
TRIM44,0.941804127093989
WNT7B,0.940320131900523
PCID2,0.939914296933507
ABI2,0.935756215226144
KDM4D,0.935408251027491
HNRNPM,0.935031561066662
ACAA2,0.922158626339515
ATXN2L,0.921534773611236
Z83844.1,0.920902521633133
APLP1,0.919957219561471
LOX,0.916746439503778
NPR3,0.910672040490169
TRAM1,0.910281935809468
C2orf42,0.90761611634887
IGFL3,0.907034473129593
SNX7,0.90565918945054
SLC25A23,0.903039135583406
SEPTIN4,0.901388498587031
LCLAT1,0.899079250849772
MICU1,0.895807813286531
MPST,0.894102688769587
CD302,0.893899807423434
ZNF536,0.893061019391448
RBM41,0.885033293144135
PRPS1,0.881996286008831
MLF2,0.880770106297171
TAF6L,0.880722426567969
SAXO1,0.877238060807029
KLRD1,0.876719627460381
APC,0.87650974252509
PAK3,0.876042831645086
FGF14,0.874126282810953
BTAF1,0.87356120570466
SEMA6A,0.871732608241867
SLC26A9,0.870779409870453
SPA17,0.870629807022805
PLA2G2C,0.870447677501293
GATA6,0.866892592439656
ZSCAN12,0.866776199206868
PGAP1,0.866424984663684
CALCOCO1,0.865633634673575
ENST00000558190,0.864784717970214
BRD4,0.863930978056829
FKBP10,0.861467589811116
NOP2,0.860719995216636
ZNF212,0.860675072801749
NYNRIN,0.859530948519881
ABCC8,0.857889100830059
FKBP8,0.857833729473329
ATP6V0D1,0.856910048164112
GNAI2,0.856797979893282
EIF4E,0.850402181337571
MS4A14,0.848857475784626
PROP1,0.847650800543994
CNIH2,0.845577684864231
ACVR2A,0.844438752872152
ADAMTS17,0.84071708624981
KSR2,0.838873936110344
CREB3L2,0.83790313484983
TTLL2,0.836408137406671
TMEM95,0.836217874505813
ONECUT2,0.836128328079357
DDX60L,0.834327782601964
POLR2J2,0.834023061544569
FERMT1,0.83245828998311
IL1RL2,0.832320509376469
ZNF426,0.829263439117286
ARMC1,0.828528133706164
BCO1,0.827161515114347
EFHD1,0.825718313347875
ALPK1,0.824429556438192
IL20,0.824377244145234
ZNF280D,0.824019645375026
MMAB,0.822176509739491
RPS6KB1,0.821812993866456
PRR3,0.821800731902558
C10orf67,0.82105870239949
BPIFB6,0.820856918593374
ISYNA1,0.820644224739676
GDPGP1,0.819818748090529
GRIN2B,0.817576487973639
UNC13A,0.815041576091097
ADAMTS12,0.812815774999503
ADAM22,0.812172625190542
ITGB2,0.811530244163008
C19orf84,0.810148572887409
ANK2,0.809057761100181
SIGLEC12,0.809001486572306
NSA2,0.808651219971458
GRM1,0.808526674610116
CYP26C1,0.80737395135151
DDHD1,0.806096187966643
GNA14,0.805824462371621
DGKZ,0.805580839361022
MAP1A,0.804646220990075
TUFM,0.803027179775156
PACSIN2,0.802504098596758
