Gene,Score
ZNF429,0.995014214759581
MEIS3,0.975584445811105
PTPRD,0.958521986844364
IDH3G,0.941185189952701
DOCK2,0.919124247082426
ITM2A,0.918143964254179
PGS1,0.911132253174131
CDH5,0.903384618675569
SYT14,0.892111143674631
EPPIN,0.88949035690225
FAM91A1,0.886599570125968
TRMT13,0.884683183680123
ZNF805,0.869430118368233
LAS1L,0.847630056544662
FAM169B,0.833255737923791
LIMCH1,0.827204015527913
CCT3,0.818682637302992
RAG1,0.817498193689303
ARHGAP32,0.815978329383226
SYN1,0.804970964246876
PHF1,0.804259382022281
