Gene,Score
TNRC6B,0.999997201833584
ZNF430,0.999944103542382
FAM9C,0.999883509265322
IKZF2,0.999848700874993
STX7,0.999834723992139
C18orf25,0.999794155095176
PLEKHA3,0.999788713071065
PTBP2,0.999764120987173
SCAI,0.999719282837542
UBN2,0.99966994529811
CREBRF,0.999661610176207
CELF1,0.999647940812239
SATB2,0.999636820774136
CPEB2,0.999580957214426
NFIA,0.999556052801418
BCL11A,0.999493972770568
SUGT1,0.999414528941617
PTPRG,0.999353840923486
ELAVL1,0.999292831957002
SOX11,0.999247955565772
ACVR2B,0.999206603448178
MAP3K1,0.999190979143255
CELF2,0.998791895676821
ZNF680,0.998772016832557
ZNF704,0.998599203718857
HECTD2,0.998541330403111
ZDBF2,0.998528498116634
ZNF738,0.998452445533492
CD47,0.998367388312076
FZD3,0.99827323979608
PDE12,0.998193408634769
SOX6,0.998067624318765
ZFHX4,0.997947634536686
AZIN1,0.997894750195965
PYGO1,0.997885063846036
RFX3,0.997807801288122
MAP3K2,0.997669117244831
RBMS3,0.997565357978398
ZFHX3,0.997531651718464
ERBB2IP,0.997400785944202
EBF2,0.997377286481553
NLGN1,0.997351405020962
SOX4,0.997200038124251
KHSRP,0.997031540536078
RORB,0.997006919618362
ARID4A,0.996978919508454
HDAC2,0.9969773086412
SBNO1,0.996969007044941
FRS2,0.996961469596046
FOXN2,0.996945982272075
ETF1,0.996908123386923
BAI3,0.996888306763603
U2SURP,0.996886372904539
RBMS1,0.996868628127678
RBM27,0.996842018276331
SNRPD1,0.996829494558944
RBM46,0.996783437228789
ZNF207,0.996736145239989
ZNF148,0.996722422397149
SERTAD2,0.996698337810401
NAB1,0.996678146835038
DYRK2,0.996615845864716
ABI2,0.996569602648956
RIMKLB,0.996547813547415
ATL3,0.996545399409713
HOMER1,0.996393536902598
ARGLU1,0.996352240003904
DCUN1D3,0.996314918144674
XPO1,0.996306456201265
EIF4E,0.99622770985549
NCKAP1,0.996208077920915
MYEF2,0.996201660081754
RORA,0.99619995072157
PTBP3,0.996127704997066
RRP15,0.996071210957513
ZBTB44,0.996061441459173
CPEB4,0.995755477771264
TMBIM6,0.995586165116168
ZBTB18,0.995583273034349
MECP2,0.995491584835558
CXCR4,0.995452825295351
JARID2,0.995431480077355
VGLL3,0.995408739995377
CCNY,0.995383212473151
TAF5,0.995322822254328
SFT2D2,0.995250322214082
CPEB1,0.995164179245611
NABP1,0.995114737503009
RPS6KA3,0.99510623048512
PAWR,0.995058279197293
ZNF326,0.994900604780843
SLC23A2,0.994854273260719
NAA15,0.994844933122663
SOD2,0.994791598326378
SAR1B,0.994764709483396
SOX2,0.99457695601092
MDM4,0.994543788103552
TRIP12,0.99453737797712
MOB1B,0.994448483111461
SLC44A1,0.994397164006463
SLC35D1,0.994393469120172
TCF4,0.994391128807941
PCDH15,0.994311213836128
FOXP2,0.994281833572472
TTC14,0.994266804011984
EREG,0.99424497005664
KLF9,0.994075837258717
LUC7L3,0.994025003275041
