Gene,Score
MAT2A,0.999994769628079
MCC,0.999067443226976
F7,0.998968346788746
RICTOR,0.996170926924789
KIF15,0.995203563341508
ENST00000402966,0.991609876065977
AC006994.1,0.990734133920899
YJEFN3,0.989395547156015
ZNF189,0.985540647810925
MED1,0.983124802807333
CEP85L,0.981930130840162
PIEZO2,0.981364626076354
ASRGL1,0.980105438853291
SLC38A1,0.978464202361997
KCNJ6,0.977832981675832
GOLGB1,0.977070442541081
OSBPL9,0.976319043248601
ARL13A,0.975722391007941
NCR3LG1,0.975127931359428
METTL14,0.973183184142742
GXYLT2,0.973015915162673
ELP3,0.972847483912491
GDF11,0.971260497773532
HS3ST3B1,0.971163721226153
DSC2,0.97028239737194
NSRP1,0.970249625995984
C2orf73,0.970217222695793
PLXNC1,0.968267476771476
RAB3B,0.967556465007176
BRPF3,0.967212805069472
PARG,0.96706168334956
BMPR2,0.967043142892771
ARCN1,0.965777204620458
SLC35D1,0.965232610936186
SLC4A8,0.965201528648887
NTRK3,0.962191776038145
PIAS1,0.960690073386229
KCNC4,0.958411997305954
GRIN2B,0.957037175038948
LPCAT1,0.956690911786857
MRPL27,0.954598430720383
ERBB2,0.952580994424359
PCDHB12,0.951440630436068
APLF,0.951361689296109
CCDC91,0.951144931138531
MARS1,0.950822467382869
KLHL14,0.950306865555108
JAKMIP2,0.949987565741504
PRKRA,0.949575166233086
STRN,0.948758009078957
SLC9A3R2,0.948457862320494
RAD51D,0.948413141082102
PPP6R3,0.948306943625151
CTDSPL2,0.948242890506084
ATP2A2,0.946516106221543
SMAD2,0.944715276900257
SLC25A27,0.944646908621984
FOXO3,0.943191761180782
NRAS,0.941734267660013
ESRRA,0.941665331384936
TBC1D31,0.941550473326523
ZNF616,0.940798310222396
UBXN10,0.940742774817095
SPATA18,0.940075668442894
LRRTM1,0.939439549920079
ABCC5,0.939387169783238
CASK,0.939348090829379
FLRT2,0.939292985233533
SEZ6L,0.939043610794941
CLNK,0.93882606894566
GAD1,0.938390020234118
KLRB1,0.938008224278345
SLC25A12,0.937850589622178
CEP76,0.937372902954865
HMGA2,0.936353159039377
OTP,0.936098436702143
PRR12,0.935960335747683
TMEM268,0.935914309779436
CDK5RAP2,0.933739704715088
PHF3,0.931914301965843
SREK1IP1,0.931706356316466
CIRBP,0.931577057309941
CREB3L1,0.931516172902575
FAM106A,0.931143640550065
ZNF286B,0.929792989930876
ACVR1,0.929059120935289
ATP13A4,0.928946884764441
RPS6KA5,0.928818674323412
PURB,0.928684090154388
LSAMP,0.928370202794586
MTF2,0.926287769015866
FAF1,0.92595505227942
STK3,0.925242211739005
BCCIP,0.925015203925497
MAFF,0.924321853541841
AC091551.1,0.924128046218591
LBX1,0.923800912457386
KIAA1324,0.921797256046808
ZNF566,0.920030633117001
ENST00000380874,0.919949216065009
TMEM64,0.919288523548374
C18orf25,0.919086411628371
C11orf21,0.91884192368164
ADGRL2,0.91875339308484
TLCD2,0.918667581418512
DENND4C,0.918620821674747
TAF12,0.9183848395043
MAP1B,0.91818806328362
RPS6KA1,0.91789893611891
HSD17B2,0.917579584802207
WNT2B,0.91679575048292
CHFR,0.91676111469988
LPP,0.916346681135007
NECTIN1,0.916222935923187
DSEL,0.915501893575127
PTPN20,0.914814066102902
NOG,0.914502225032263
DLG2,0.914395725902114
MAP3K9,0.914207063338652
SELE,0.913332868606767
ZDHHC9,0.913054858261894
IDNK,0.9130295863397
ZNF286A,0.912719491739319
TNFAIP3,0.912238105242826
TSTD2,0.912152490413089
TMF1,0.911068939980464
PCDH19,0.910388193854124
MTMR10,0.909709266566217
POLR1E,0.909421717375596
NPAP1,0.908277899490752
CALCOCO2,0.907905360932843
MTREX,0.90694002197746
TMTC2,0.906819975199285
KIAA1217,0.906688474910958
HMGXB4,0.906518005564749
ASH2L,0.906036355080307
FAM76B,0.905868126265605
FAM168A,0.905707789877541
LHCGR,0.905430199110795
TGS1,0.904620186987532
OGDHL,0.903917218755974
WDR91,0.903111756569881
CAMTA1,0.901770905516021
PHLPP1,0.901565917130898
SPIDR,0.901263483311602
KLF12,0.900660651005232
PLD5,0.900245462108204
DGKI,0.900046426021752
KIAA0232,0.899998529858217
RPAP2,0.89960073320318
STXBP4,0.899442094269776
RNF19B,0.899257389731673
TCF12,0.898903914921389
DGKG,0.898819823004629
TMED3,0.898314794481863
SOX2,0.897390698928099
TMEM215,0.896946605222357
PAN3,0.896802715616001
CNNM2,0.896789300433091
SIK3,0.895832888158209
TP53BP2,0.895821949232515
MICB,0.895608284589361
PPP2R1A,0.894679716261184
MDGA1,0.894474666786869
SLC5A12,0.894300537769737
RPL36A-HNRNPH2,0.893756360917177
RIMKLA,0.893421503923116
WSCD2,0.893367800630033
ENST00000535029,0.89274746474106
CEP192,0.892671887667191
WDR48,0.892351401133204
MGST1,0.891978013481224
ICE2,0.891563633360514
HOMEZ,0.891520843941381
SCN7A,0.8910842973027
WDR25,0.891046417482044
ARL6IP4,0.890914753192491
SMIM27,0.890766305746235
IL22RA2,0.89075569021411
SCAF8,0.89062346670698
BCL2L2,0.890291936306637
MEIS1,0.890014440627388
ZNF655,0.889502493130285
CAPN15,0.889223076286726
NR2F2,0.889086464133543
GTDC1,0.88903581118852
RPTN,0.88901151034178
LRRC34,0.888660663136951
