Gene,Score
MGAT4C,0.999418697536045
MBNL2,0.999413557500311
SIX4,0.999349809922225
ZNF708,0.999270334880087
ZNF99,0.999033669723679
ZNF273,0.998696690842156
AQP4,0.998684868247129
RSPO3,0.998343666288088
NSA2,0.996770237178703
ZNF138,0.995776745909962
PCDH9,0.994572932760485
ZNF117,0.994450966232551
CREB1,0.994379973956684
SERTAD2,0.991485364021622
DCUN1D1,0.989877232002027
PHC3,0.989520740529209
PUM1,0.989207477990745
TIMP3,0.989022159966937
TFAM,0.988652036435615
HMGA2,0.988361297929461
SLITRK5,0.987307530285943
ZNF493,0.986770916530275
LOX,0.985555917420724
ZNF800,0.985069625924814
SLC8A1,0.984431162001176
SCAI,0.984344397101458
SYT16,0.982396447380732
PLEKHA3,0.981953898684596
MDGA2,0.981597970009857
FLRT2,0.981019362130207
IBTK,0.98073458888711
CNST,0.979829271175406
HTR1F,0.97875876716408
CBWD1,0.977788961502678
TRAF3,0.976916018928459
EPB41L3,0.976366562456035
FRS2,0.975509727083902
FJX1,0.974335140204002
WIF1,0.973890611447333
TMF1,0.973801202000572
SLC9C1,0.973091393997482
ETV1,0.972573583725234
SAP18,0.972311592700866
BUB3,0.971954093187295
PGRMC2,0.97105477866292
TMEM237,0.970361491417756
TENM1,0.970179173495116
UBE2K,0.969785470613626
ZNF367,0.969359625062481
EPHA3,0.969205734864099
ETNK1,0.969189662866335
MZT1,0.968543357438347
MBNL1,0.96802349346369
ZNF257,0.967113521095207
MRPL42,0.966889111485391
EIF4E,0.966574871891835
FAM110C,0.966558921079043
NBPF12,0.963415519936506
ZNF292,0.962643698153743
CSMD3,0.96263167788459
RAB10,0.962321868524525
ZNF92,0.961989219124592
NOVA1,0.961856161616947
NDUFA5,0.961403014954323
RABGAP1L,0.961296384321381
JAZF1,0.961099700439221
ZNF91,0.960552843417814
NBPF9,0.960011801264267
FGF12,0.959758763544475
ZBTB37,0.959669007480637
RFX3,0.959009444009143
SMAD2,0.958806867035174
ATRN,0.958284549523097
PPP2R5E,0.957723496003477
NBPF15,0.95769007482785
NR3C2,0.9571498584111
ENST00000456098,0.957042958239483
ZNF107,0.956456086262833
CBWD5,0.956157129858456
BMPR1A,0.955820768565541
ABI2,0.954893685147541
FCHO2,0.954769446245525
SENP6,0.954555108462715
NAP1L1,0.954431611161468
SEPTIN3,0.954416470227714
SLC7A11,0.954276984525844
PCDH10,0.953474803209592
POGLUT3,0.952792739104334
NCAM2,0.952679978183592
CCDC186,0.952636096247154
VANGL2,0.951366181444819
TNRC6A,0.95095809946742
