Gene,Score
KMT2C,0.998406289424608
GLI3,0.998011468237817
SRSF3,0.995239926006128
MTPN,0.995208437422742
KMT2D,0.993521933733105
SLC8A1,0.993368385247604
GNAQ,0.992909920229314
JMY,0.99276352345865
ARPP19,0.991557734755417
HSPA4L,0.990919682813511
USP3,0.990807655355781
ZBTB44,0.990770831557131
ZFHX4,0.990152470534152
CDYL,0.990071480619407
SERBP1,0.988716332567318
STRN3,0.988089076952618
NUDT21,0.987730533703892
TPD52L3,0.987602754364317
COL11A1,0.986718616521341
TNRC6B,0.986703593102496
XPO1,0.986435789720931
RNF212,0.986003435731171
SNIP1,0.985598084835235
ONECUT2,0.98449461113774
ZNF429,0.983153071892586
RGS17,0.982662475370636
CREBRF,0.982630231998345
SFT2D2,0.982162493331498
PCDH17,0.981752037036854
ZNF280C,0.981528240928972
HELZ,0.981440562477434
FOXP1,0.980472931817134
C6orf106,0.979654994907794
KPNA3,0.979302034698037
GPBP1,0.979079391171193
BNC2,0.978911486261682
ZMYM2,0.978349141839435
RYBP,0.977966361132328
SAYSD1,0.976984275257169
ERC2,0.976864351987262
KIAA2022,0.976738248097522
ATP2B1,0.976692943954855
ACVR2B,0.975873218345396
SERTAD4,0.975694826998652
TXLNG,0.975522850584241
CCNA2,0.975207336337389
NIN,0.975031867840006
CCP110,0.97500508984483
AL353698.1,0.974719424065964
CDC42BPA,0.974160592668258
ATXN7,0.974029816304555
TBL1XR1,0.97382821559573
FAM182B,0.973788315233026
HIPK3,0.973482078897862
ABI2,0.973454943016895
SEMA3D,0.972895503967363
TRAPPC8,0.972547319141086
TEX30,0.972246057486446
ATAD2B,0.972133277178779
GLCCI1,0.971902150013355
MYO6,0.971686337268501
TBR1,0.971302256204398
XPO4,0.971104948072642
CTNNA3,0.970697269967655
RAB14,0.970647421685507
MAGED1,0.970629177011889
PLEKHA3,0.970121377290525
NUDCD2,0.969912276337223
CPEB2,0.968959590529848
B4GALT6,0.966554873308529
IKZF4,0.96649020605206
SGMS2,0.966225224253145
NFIA,0.965911497322159
FAM168A,0.965903676490127
GRIN2B,0.965354985729378
CDK12,0.964636933789356
PTPRD,0.96363075609737
FAM118B,0.96358787020629
KLHL28,0.963188516816252
DCUN1D3,0.963185348257746
CSNK1G3,0.962965084887075
AC135983.2,0.962827283827952
PRKAA2,0.961841786275529
GMFB,0.96178947399363
MSI2,0.96168373546945
HMGCR,0.961477270452516
KBTBD6,0.960883054558772
KBTBD7,0.960798403322869
MYO5C,0.959826242359236
SPEN,0.9597613420741
PRPF39,0.959314697398516
TAOK1,0.959014619377785
TTLL7,0.958910278951052
CTNNBL1,0.95764165669604
FAM60A,0.95755083206532
NR2F2,0.9571909368601
RBMS1,0.957084771264109
PTPN22,0.956709381102349
LCOR,0.956290772026451
STIM2,0.955985291221522
ZBTB43,0.955864559773274
LINGO2,0.955530180877843
CGGBP1,0.955021205662171
FOSL2,0.955006524617456
QKI,0.954669402672053
LNPEP,0.953997485916431
ETV5,0.953697667013345
BHLHE22,0.953546885456766
RAB10,0.953321772020377
EIF4E,0.953045304777069
TMED8,0.952983810599769
DDX3Y,0.952902571321529
SGCD,0.952889491902399
IRS2,0.952729476864635
