Gene,Score
PRTG,0.99998052081408
CD47,0.99984452313867
NWD2,0.999198536043485
GREB1,0.999154910284645
SLC26A7,0.998843886472245
SRSF1,0.998020240915592
LRATD2,0.997476223663618
ETNK1,0.9972392380957
UBE2D3,0.996899838572398
MBNL2,0.996737082360147
BOLL,0.99502110091894
ENST00000618299,0.994899053426612
ANK2,0.993590711439675
NCR3LG1,0.993233338700807
VEZF1,0.992984192957536
MEIS1,0.99278622191945
B3GALT2,0.992184560385329
FUS,0.990629971437714
PTBP2,0.990359214124266
DLGAP2,0.989687364600985
PCSK6,0.989209467856648
GJD2,0.988438596923751
FAM9C,0.98784550825278
PRPF4B,0.986583494229406
PRLR,0.985272991319961
TSPAN3,0.985081273305511
GRB14,0.984205700174857
HMGB1,0.983737810129632
TMED7,0.982933031283952
CASR,0.982098804572436
DOCK10,0.981065844643923
ARHGAP5,0.980748436756125
ATG2B,0.979479002919049
CSNK1A1,0.97668161408578
DYNLT3,0.976352615369554
KLHL24,0.976228570629294
IGDCC3,0.975882886108087
MAGT1,0.975731753169915
WDR48,0.975678597209296
TEX30,0.97557781290929
NOL7,0.975485087307356
SPDYE3,0.975274873035884
SLC6A15,0.974638949330099
ST8SIA4,0.974441927320789
LHX9,0.97352978730333
CREB5,0.973252801577555
PRRX1,0.972888045821535
HNRNPK,0.971851804120282
CSNK1A1L,0.971250266828955
SCN8A,0.968548113187746
ELAVL4,0.968250452513918
CLDN16,0.968038985016898
OSER1,0.967736537401737
NR3C1,0.9675412378193
TRIM33,0.967319781565044
GK5,0.966972741030044
RSBN1,0.966971946907581
CTDSPL2,0.96641180079463
MMS22L,0.966312246249185
ZBTB8B,0.964269192175763
IRGM,0.963446813001141
RBMS1,0.962711504149277
ZC3H12C,0.962549431459385
ALMS1,0.960237798599627
NSUN3,0.960128320861382
ZC3H14,0.959602703154756
FOXO3,0.959002115744108
TEX15,0.957675226133551
CCDC152,0.956755645838065
RBM7,0.956124187406102
TMEM161B,0.955433791579483
KLF12,0.954861423764998
GGPS1,0.954836901364573
CCDC137,0.954310409571684
TSC1,0.953883363936255
ENST00000392845,0.953258428122226
KDM3A,0.950874465334811
ZNF555,0.950778159193388
ENST00000615798,0.950663412347229
CLCN3,0.950655777747128
RARB,0.950568889219573
REEP1,0.949603414032421
MGAT4C,0.948888680331144
CRPPA,0.948229440941356
SPRED1,0.947817345283604
ZNF449,0.94724255146309
CMC1,0.946450437028553
ZNF100,0.945753225016458
ARFGEF2,0.945612970861515
PCDH9,0.944589724329804
GABRB3,0.943134175530093
EIF1,0.943129963183853
GSTA3,0.943098057100869
ATP7A,0.942982498550349
UBE3C,0.942236896324136
FXR1,0.942117896230095
INTS6,0.939411738168888
C1orf21,0.937736291670525
SCN9A,0.936936895026527
HGF,0.93590125148745
RFK,0.935261504931172
PDK1,0.934887016983515
ZNF117,0.934658669269243
PAQR3,0.934232549721752
ZNF280D,0.934041524973504
CDK13,0.934014314044973
PDE10A,0.933308916806051
ARIH1,0.932749181200626
PPP2CA,0.932730157485286
SRXN1,0.931949983308848
SLC7A11,0.93187125202657
PPP2R2B,0.931762009597662
SLC16A7,0.931530367295154
ARL14,0.931408831778242
NAP1L2,0.931354366233087
TDRD3,0.931156930906983
PLEKHA8,0.930765589710601
TMC7,0.930411586783476
SPDYE1,0.929601268335745
PTER,0.929381501496123
ANKRD36B,0.929208394334922
MIB1,0.928698858419246
PURA,0.928035215331288
ZNF257,0.927081425021626
ANKRD17,0.926739177990134
CMC2,0.926654818480595
SGPP1,0.925985234593057
STRN,0.925660457710921
TFCP2,0.925615160505421
CARNMT1,0.925452115477061
ZNF91,0.925446271370191
ACOT4,0.92543901323217
KNL1,0.92524218172685
LNPEP,0.92518447470992
RFC1,0.924844969400308
EAF1,0.924728653377909
ENST00000342944,0.924426661017044
PPIG,0.922721928553903
DPH6,0.922682010273894
GTF2A1,0.922365579484476
KLF5,0.92037819177032
RHOQ,0.919352162308784
GUCY1A2,0.918961594754916
DNAJB14,0.918922432465357
ARHGEF12,0.918731758865053
TNFSF4,0.91845902785289
ACOT11,0.918375504958961
PHF6,0.918080650848696
PPP1CB,0.917226759832926
PLCB2,0.916842140356329
RIF1,0.916495494835742
TPR,0.914632317330826
AP5M1,0.914528928400897
AP3M1,0.914307337616709
GNAI3,0.914306755798227
SMAD2,0.913211659498504
SH3D19,0.913087009743321
ATXN7L1,0.912071898021766
PRRG1,0.911994570888778
AL121758.1,0.911510633890228
TSHZ3,0.911036528991634
SIX4,0.909992696433492
PCDHB1,0.909705512750629
IL20,0.909260793565729
PLCZ1,0.909118169259966
C5orf47,0.908807685943411
TENT5D,0.908691278052688
TNPO1,0.907846782167743
CXCL13,0.907301081365656
ADSL,0.906002766638567
IFNA16,0.905844992582388
CHORDC1,0.905372706294476
GAS2,0.904980004893456
C15orf61,0.902989392840522
ZNF124,0.90247596600874
KBTBD7,0.901714391382921
DCLRE1A,0.901359832283345
AGPAT5,0.901245567186615
HBP1,0.901157840261273
RABGEF1,0.90087465994536
FLRT2,0.900724327335242
RABGAP1L,0.900325135560266
IRF2,0.90028685421685
PTGR1,0.90019910645351
ZKSCAN1,0.90003300559772
CNOT2,0.89999835544837
STARD4,0.899152092464204
KIAA1210,0.898956794511266
EIF5A2,0.898150562630472
TMEM69,0.897263568997767
GSTA1,0.897018591021065
TPX2,0.896937656154579
PAH,0.896121099240507
CRYL1,0.895795397937773
SESTD1,0.89547401636926
CPSF6,0.895310179545111
ACAP2,0.894717158028627
GOLT1B,0.894146902963312
GSC,0.893629495558641
PPM1L,0.893564765241048
MBNL3,0.892882830087293
ZNF99,0.891410607768355
RALGAPB,0.891320011931956
TLCD4,0.891109255065402
TMEM236,0.890869362454146
CNDP1,0.89059029406973
FAM135A,0.890199311426325
PIK3C3,0.888123684397679
HPSE2,0.887344984564912
REST,0.887138307010401
PRKAA1,0.887037655426795
EIF4EBP2,0.886293741767524
ESRRG,0.885967051477963
NRP1,0.885652477682659
TTC39B,0.88522859414316
NUFIP2,0.885075571554086
SMARCA5,0.884771857216164
HMGCR,0.884741338985276
HOOK1,0.884255964288677
ZFHX3,0.883218238254036
NDFIP1,0.883125249203256
GPCPD1,0.881593949202457
GUCY1B1,0.881523701865583
A1CF,0.88147102962779
HNRNPA3,0.880912233111583
CREBRF,0.880569202686465
NR1D2,0.880302292132641
RLIM,0.880249560413643
PCDH8,0.880170725724678
UHMK1,0.879008658926489
LCOR,0.878485756632516
GPR143,0.878071864162613
SESN3,0.87713123604998
PCDHB3,0.876473982242777
CPEB4,0.876015720655144
EPM2AIP1,0.874859412172208
SIM1,0.874098023683881
SOX17,0.873902894712217
GCNT1,0.873866930890137
COX20,0.873259203476207
ARF6,0.873196710756019
TFEC,0.872942868903185
PDE3B,0.872349647427806
CUL5,0.87234252114591
PRDM1,0.872291481699232
PMAIP1,0.871760340982183
SLC25A33,0.871736028136094
ITGBL1,0.871702132403059
KRTAP24-1,0.871620463831817
JMY,0.871288162346082
LCA5,0.871001327333852
REPS2,0.870533873449143
STX12,0.869889459117158
ENST00000307792,0.869575458690189
TRIM23,0.869197583351772
NABP1,0.868501448660772
CTBS,0.867405517160691
C5orf63,0.867386810028388
TM2D1,0.866518223541847
SC5D,0.866040160271202
ASTN1,0.865235604318118
RPS6KA5,0.86522862329479
CCPG1,0.863537552513513
IRF2BPL,0.863179800051727
RHOA,0.863150372777542
KIAA0355,0.863054120378942
ENST00000379264,0.862327819313513
SRSF11,0.862295443260942
PLEKHA3,0.862216751022829
MTAP,0.862156202789571
TMED9,0.861510479888972
ZNF281,0.860573006755792
C18orf54,0.860200906434507
KCNAB1,0.860184422551906
FBXW2,0.859977106063221
ATP8A1,0.859655603704366
SPDYE5,0.859388071671899
NPAS3,0.858765345414804
SEMA3D,0.858195312041123
PPP6C,0.858144812075767
TIMM17A,0.858091962891013
ENST00000558190,0.857911444392649
CMBL,0.857719712902593
