Gene,Score
CSAG1,0.998178646025602
GSTM2,0.996693560562554
C1orf21,0.996016390609311
FCER2,0.99577269410787
UPK2,0.97976229183752
C5orf51,0.973198797945423
NOVA2,0.971762817855924
SOX12,0.967072235974304
FXR2,0.959848121111253
PRB1,0.948023402186023
EFNA5,0.947974191315987
TBC1D20,0.945633180786165
ATP5IF1,0.945220880431959
ZNF623,0.942287096644376
SKIDA1,0.938852893431865
TGFBR3,0.936949983783154
RSPH4A,0.936530528192021
KCNC3,0.933908313759429
ACIN1,0.92917626657343
LRRK1,0.929136648237683
ANKRD34A,0.929133926615853
SLC8A2,0.92897622746727
ACVR2B,0.927629065163566
NFIA,0.917278310125724
MBD6,0.913048847813552
TTC7A,0.912531098512518
NFIC,0.912220714276914
FZD8,0.911917417810553
FAM98B,0.910361218349113
UBALD1,0.910125849492417
AAK1,0.904936391710294
ADNP2,0.899857444431434
ZNF362,0.89409279244037
RALGPS1,0.891598497166081
NCR3LG1,0.891030050587523
CLIP3,0.886636403755335
TXNDC15,0.885657083155701
TOMM70,0.885489988677109
ZNF318,0.883446231448876
FAM153CP,0.880779349811252
CNNM1,0.880623406137876
GPATCH8,0.879296645133012
DOK3,0.879261514930696
IGF2,0.878663466568665
ADGRB1,0.878118290395914
CS,0.877153092758318
GAS2,0.876775512401739
ZFHX2,0.875384769342011
SLC25A23,0.875380781421514
ZNF385A,0.873457068769226
PDE6D,0.873253287984801
FOXA2,0.87198669749204
STX1B,0.87152827992852
RPL27A,0.868484370604861
HOXA7,0.867752817235721
LIMK1,0.863714170103927
ZSWIM4,0.861218678190386
SUGP1,0.860865571368306
FAM222B,0.859183547359236
BRD8,0.858835636615269
ANKRD52,0.856020597765682
DCLRE1C,0.854744965399906
ZBTB7A,0.852774449144408
ATXN2L,0.85238441311883
SLC25A4,0.851444196947339
NECTIN1,0.851442334658593
IGFBP5,0.851343597084275
ALDH1A2,0.848479704967678
SCRT2,0.847074510657193
ATP1B2,0.846607815197995
DAGLA,0.845901043450785
SMARCD1,0.845084811417329
NACC1,0.843082252370509
ACTB,0.842851495351011
DEFB132,0.841461651615101
DGKG,0.84124663616939
CELF5,0.841232008840892
P2RX1,0.840432029054773
KDM6B,0.836721446892736
THRA,0.836451184806971
SNX29,0.835747009410703
SRGN,0.835684188377825
CCND2,0.834926540582457
MAP3K13,0.833044275974801
MEF2D,0.831772981760453
ITPRIP,0.829936676657611
SETD1A,0.829695415039595
SETD5,0.825981302777054
RAB7A,0.82270325072096
APLP1,0.822698748525961
NECTIN4,0.822633101816854
CSNK2A2,0.821187471494725
HSD11B2,0.820991799165496
BCL2L1,0.819723928214393
RIC8B,0.819313042826177
KIF21B,0.814316191921924
CCDC149,0.813728564402839
NRXN2,0.813342071922284
BTBD11,0.81244778053546
TFE3,0.812417039729915
CD34,0.809939950500757
SZT2,0.809566262746354
VAMP2,0.809075363127308
MMP24OS,0.807937048332424
ZBTB4,0.807507145635967
SCRT1,0.807476213078364
TTBK1,0.806413807463056
AURKC,0.805109857879455
TTLL1,0.805083549875995
LIG3,0.803958421396587
UGT3A1,0.801636085738175
TBKBP1,0.801047644911814
ZFP36L1,0.800751272412994
PANX2,0.800331548361759
