Gene,Score
TANC2,0.990767262196609
HNRNPR,0.988996643389697
RSBN1,0.987991984954577
BCL11B,0.986648751929473
CXADR,0.980305260422823
IMPACT,0.976215492145941
SGK3,0.974526433707001
ING3,0.971966528180424
HDAC9,0.970613367128226
NAB2,0.970141174443291
WNT2B,0.968809979664445
LRRC69,0.96139570928534
SNAPC3,0.959516986374279
NKX2-1,0.959218942729219
AMZ1,0.95782709595372
RBKS,0.954191795514938
GSG1L,0.953521499355699
MAP3K1,0.952479531411666
GAP43,0.952343959503591
BLOC1S5,0.951178606725407
ENST00000622074,0.949872291203447
ILDR1,0.948881719039489
POGZ,0.948679312415571
USP34,0.948425374168336
CCDC144NL,0.947244239259851
REST,0.947169733857478
ATG5,0.946839225830263
ARHGAP31,0.945822432133811
CANX,0.944610486921552
PABPC4L,0.943545451656758
FOXA2,0.943181794354462
SIMC1,0.939509083126188
ZCCHC3,0.938789631287893
ARNTL2,0.938287070072269
TAF1B,0.937661744649922
ZNF148,0.933676296061819
NPAS3,0.932455786806244
LHFPL2,0.932004209227551
C14orf28,0.93172253226367
DAZAP1,0.931375235728418
TOP2B,0.93016493736387
AVEN,0.926632954802616
TMEM208,0.926510812006402
JAG1,0.925485616327077
PCDHGA2,0.923855020458966
NR2C2,0.922455123851443
SRSF7,0.920431570746774
AKIRIN1,0.918131095147316
UPF2,0.916381454469415
ST8SIA1,0.915062473933116
RRM2B,0.914980904282462
FERMT2,0.914785430994813
EIF5,0.91381726307587
TMEM183A,0.913782609797498
RNF128,0.913574788071258
TMEM218,0.913045602536818
CEP85L,0.90706201801476
SDHC,0.905184774787436
GABPA,0.903950676363013
NYAP2,0.902172816041598
ZC3H14,0.901474854170339
NAPB,0.899840432711314
CTTNBP2,0.899625924814764
LRRD1,0.898912714784927
TRIT1,0.897963614855491
ENST00000276461,0.897168472013565
KIF1B,0.897131234275445
NOL4L,0.897094341466474
DIS3,0.896715919259792
ADAM22,0.894757685359213
HACD4,0.894469584118583
PTPMT1,0.89319846356986
KCNQ3,0.892973413389737
PAFAH1B2,0.892055414854066
RORB,0.891942287058178
METTL2B,0.8880508429309
MAGEB3,0.886527062452298
SLC39A10,0.88584084917455
HILPDA,0.884969864571426
KRTAP3-1,0.881884599995149
FMO1,0.878791456273501
IL17D,0.877232374256081
ARV1,0.877098492056354
INIP,0.877071300453956
ZDBF2,0.87656898850063
ZNF385B,0.875340874342311
BCLAF3,0.873711569666545
PTGES3,0.873245648566165
CD36,0.870678786260274
COX6A1,0.870281054191717
KYNU,0.869301241910327
GMFB,0.868264128794451
BMS1,0.868111316436786
SKP2,0.867812303700907
GNAI3,0.867213901182008
TMEM11,0.865224824794378
CDC73,0.865174545453899
KIR3DL3,0.864970359492358
ASB17,0.864259649017174
ZRANB2,0.863995673103625
NUFIP2,0.86338405287963
ARL5A,0.861386425815336
COL25A1,0.859755587506494
CLYBL,0.859108303975459
OXR1,0.857745075841801
SEC63,0.855820129322891
PHB,0.855653659064511
NRAS,0.855301037431167
ENST00000454300,0.854518520176714
UPF1,0.85125844745112
PURA,0.849876790477187
MS4A15,0.848779209947263
RASGRP1,0.8482993886968
CTNNBIP1,0.848200630511558
DUSP7,0.847226551765159
CALU,0.846182343313128
RFX5,0.84589081990515
BHLHB9,0.844826708186967
BCL2L11,0.844281283063112
CYP2C19,0.84423460027349
PWWP3B,0.843806733371379
JRKL,0.841973254325535
TMEM245,0.841793650256792
ZNF366,0.841482961706037
RCC2,0.841151284966628
PLXDC2,0.840750155980002
ACP1,0.840304490444135
POLR3G,0.840011495229884
ZBTB1,0.839924296329389
NRG4,0.839403586950314
CXCL1,0.839216915653312
ENST00000404489,0.838477357001579
RASL11B,0.837324438808286
TMEM61,0.833991051684071
SYT16,0.832702386491961
NCAM2,0.832158059873851
NEK4,0.832073170667775
FNDC5,0.830921525964423
DDX3X,0.830248146918203
CHTOP,0.828836484561183
ELAVL2,0.828537374356905
CCDC117,0.828277678010472
FGD6,0.826774189920957
MSH6,0.82620476220712
CKAP4,0.82524849495147
ADAT2,0.824048967032435
GABRA6,0.823019881559015
HR,0.82219137812954
KCNH8,0.821895343773031
FAM214A,0.820636907314844
ZSCAN25,0.819365450895898
FAM124A,0.81702706965197
ENST00000408967,0.817013333648832
LANCL3,0.815532538527541
TMEM87A,0.81539618118203
CHMP7,0.81452101330923
CPEB2,0.814268112091987
TM9SF3,0.812248467588827
KLHL5,0.811664160758355
SMARCE1,0.81136506065907
ENST00000358138,0.810288116740019
XKR4,0.809344619981486
TRPC6,0.807519731917365
SEL1L2,0.807081560284952
CPEB3,0.805819750216206
PBRM1,0.805424011115763
NIPAL2,0.805264534086384
TAOK1,0.803343600354286
IRAK4,0.803068703884802
TEP1,0.802936329042628
SUV39H2,0.802752682707533
KIR3DL1,0.802698021976458
ANXA13,0.80232294233605
IPO5,0.801327844158535
PDSS2,0.800942836715643
KCNA2,0.800636145644429
