Gene,Score
AL121594.1,0.999975231856133
VDAC1,0.999967525745629
AC018630.2,0.999965173236668
LTBP2,0.999945776907082
PTBP3,0.999873434934494
DDIAS,0.999334267998194
TOP2B,0.999127646906742
LRRC36,0.998719169750056
ZFP69B,0.998618244500464
VLDLR,0.998537419348415
NBPF20,0.998205154653198
AP5M1,0.998185617395553
KTN1,0.998135014397848
ZC3H12C,0.99737567025657
ZNF763,0.997146954106963
RNF38,0.99694728332233
FNDC3A,0.996690762270124
ASIC5,0.996067613790097
BOD1L1,0.995850165779625
TMEM131L,0.994902734847797
DQX1,0.994846550999848
MAP2K7,0.994565489164629
STXBP5L,0.994300043399439
COL5A2,0.9942395788951
DKK2,0.993422447810189
NKTR,0.993072947488904
PIK3R1,0.9928506503979
MATN2,0.992338132607339
TNRC6A,0.992172249302089
SCAPER,0.991797103301599
VIL1,0.991431300372381
EEF1A1,0.991379355629577
COL19A1,0.991360990212015
NR2E1,0.989846925619794
REPS2,0.989475319762703
NEGR1,0.989180633022814
TCP10L,0.988987729904278
E2F5,0.988669947193387
SAR1B,0.988446129448578
PHF3,0.988291442835028
KDM7A,0.987426304150043
ZNF429,0.987405189494631
PARVA,0.987154708703649
DCUN1D3,0.986480754160801
PSMD4,0.986351674180613
COL9A1,0.986214499033138
EXOSC9,0.985919611373421
ATXN1,0.985606257383682
ATL2,0.985437674315888
CERS3,0.985257082090434
NBPF10,0.985064521478452
RYR2,0.984961257557441
TMEM174,0.984676517718108
CADM1,0.984560290024473
PEX19,0.984492992689206
NFASC,0.984061983386558
PSMF1,0.983728241573176
FAM135B,0.983691336956801
CHD3,0.982335361561316
MLLT3,0.981677547856706
NRG3,0.981597751161452
TTC39B,0.981159266801233
UBN2,0.981041927084393
ATRX,0.980853689569132
SV2C,0.980849309225206
ZNF827,0.980194161413457
ZNF627,0.979772764554328
GRIN2B,0.979512566304658
CYLD,0.979157883474407
ZNF43,0.97782957081292
ZNF573,0.977558538335463
FOXP2,0.97711849375561
PGRMC2,0.976224029254308
SNX11,0.976009541269202
SGPL1,0.975916033004411
AL033529.1,0.975689189329311
ATXN1L,0.975475362938543
TM9SF2,0.974805036511632
FBXL13,0.974660311148599
GNG12,0.974256891418709
UHRF2,0.973919365040658
ENST00000558084,0.973005269275492
UBE2J1,0.97259132350975
ZNF23,0.972536271469268
ENST00000343916,0.972328505137855
