Gene,Score
TP53TG3B,0.999999918639244
TP53TG3,0.999999917625809
TP53TG3D,0.999999912063031
TP53TG3E,0.999999908873442
THSD7A,0.999997840959081
NCR3LG1,0.999994768904019
CXXC4,0.999993076984295
PHC3,0.999991895283981
CASZ1,0.999986575170287
RASEF,0.99998510144211
SKIL,0.999967805103203
RPGRIP1L,0.99996552937341
MGAT4C,0.999963184438825
NRP1,0.999959978063445
FLRT2,0.999945606176758
ATRX,0.999910575050517
RPS6KA5,0.999903028970686
HSD17B4,0.999900617536994
MAB21L2,0.999892476748987
HOXB3,0.999875083153565
NPAS3,0.999873046536563
STT3B,0.999869155005619
HECW2,0.999866195541836
AAK1,0.99986175969301
ARHGAP5,0.99981448860786
AKIRIN1,0.99981265050106
CPEB2,0.999799425113434
PCNX4,0.999773528966742
SMAD2,0.999767430483832
PDE4B,0.999752382692709
ARHGEF6,0.999727814930689
RHEB,0.999710705445599
SLC35F5,0.999677077806495
DGKH,0.999636189769145
FMR1,0.999616246071529
PHIP,0.999588824851859
ZIC4,0.999586777385818
PCDH9,0.999585457044695
LPP,0.999585021200269
KCNQ5,0.999583242466022
PAQR3,0.999571728521705
NECTIN3,0.999566902713044
SLC7A14,0.999526189027681
NAA25,0.999522706716054
CNBP,0.999508784405458
SOX2,0.999478941824666
MIER1,0.99947763590978
CADM2,0.999464864761692
PLAGL2,0.999461140662381
CLCN5,0.999427946320034
FGF13,0.999353205373549
JAZF1,0.999297844647567
XKR4,0.999277774148349
SLITRK5,0.999227972073718
ATAT1,0.999143095545866
C1orf198,0.999114044587829
RAB21,0.999106569181056
TRAF3,0.999086231772386
SCAI,0.999084554744347
CPEB4,0.99901986088279
RBPJ,0.998963735567279
KAT6B,0.998962456338379
PDK1,0.998949604012481
LMBRD2,0.998869564073597
TANC2,0.998869534855658
CTAGE4,0.998865476940482
FRMD5,0.998834411028349
CREBRF,0.998770896248722
PPWD1,0.998755387248684
SSH3,0.998753822008778
PPARGC1A,0.998732955261809
ELAVL1,0.9987215515378
ASTN2,0.998702335267903
TNFAIP6,0.998653915891174
ONECUT2,0.99855210363534
TUT7,0.998538812615534
RORA,0.998496798884604
RASGEF1A,0.998370866587116
TSC22D2,0.99836954503612
SMURF2,0.998352378365276
TSHZ2,0.998327667069154
TMED9,0.99830949580407
SGTB,0.998285440854671
ZFPM2,0.998269435841622
SLC16A7,0.998226888927505
TBC1D15,0.998223084438708
DGKI,0.998216606229882
ZNF518A,0.99816599936734
CFC1,0.998160732978691
CFC1B,0.998160270546504
SLC8A1,0.998112933753338
PCDH19,0.9980910450339
KMT5B,0.998089587524483
ABCA1,0.998050401408339
TENT5D,0.997981576339803
TRHDE,0.997974958134679
TMEM106B,0.997956875602973
WASF3,0.997943855193273
PABPC1L2B,0.997902397637992
HAPLN1,0.997873886653682
RIMS2,0.997811868525573
SPATA12,0.997805546919293
ETNK1,0.997797997410563
SLC35A5,0.997780861434542
AP1G1,0.997644913934456
RPRD1A,0.99761596403096
TMTC3,0.997591800111429
QSER1,0.997580351170587
ENST00000378565,0.997448032899213
MRPL42,0.997434848246477
CWF19L1,0.997352264186077
MBTD1,0.99725072337947
DCX,0.99722756512606
KCNH5,0.997209396531082
CNTN3,0.997095622027679
PABPC1L2A,0.99708341711819
RC3H2,0.996993607494294
PBX1,0.996927470846152
CACNA2D2,0.996898304321046
SOCS6,0.996837284077207
PNISR,0.996835964410504
TTC26,0.996820537146798
MEF2C,0.996815178521035
FRK,0.996773661099629
CLVS2,0.996702630481018
WDR26,0.996681661424051
ESYT2,0.996577752384459
NHS,0.996559547205043
ZMYND11,0.99654168053219
AVPR1A,0.996449588824849
PAX6,0.996446566870927
ZNF518B,0.996393235976554
ARIH1,0.996341133243325
NDUFA5,0.996321908857315
PMP2,0.996212483813346
KLRD1,0.996206309807353
AFF2,0.996189729987311
INO80D,0.996155262801691
FRS2,0.996085254461033
KLF12,0.996016172402312
RAP1B,0.995999872940119
ATP8A1,0.995971932893764
PABPC5,0.995952554134141
KIF1B,0.995936545452401
ZNF709,0.995911438795506
SNX10,0.995826992000274
PJA2,0.995802179614057
ZBTB37,0.995693080086824
AKAP7,0.995675383974794
PHLDA1,0.995669571757609
RC3H1,0.995668402520893
KCNJ6,0.995653110334731
ATP1B1,0.995523661312667
MKLN1,0.995513387735575
HEG1,0.995499045713348
RBBP4,0.995435797653259
MAN1A1,0.995422490801755
XK,0.995415115536536
RFX3,0.995410134483366
CBL,0.995405072955612
HMCN1,0.995319600437309
NIPBL,0.995247366078425
ENAH,0.99521759975895
UBA2,0.995127791834141
GNAI3,0.995127584842135
SYT14,0.995067401734379
ENST00000309495,0.99504581350848
IFT88,0.994971770633099
AGO3,0.994951645536246
GNG2,0.994907279962095
ASCC3,0.994870030676037
MBLAC2,0.99483827728446
ARFGEF3,0.994822251639166
VWC2,0.99482019552546
SERBP1,0.994795424973704
HPGD,0.99478981991734
DMD,0.994659084278304
KCNG3,0.994628096304321
CNKSR3,0.994624171079186
WNK3,0.994579452461372
DLGAP5,0.994499760023651
NR3C1,0.994487125150068
ZNF891,0.994441615458978
RAP1A,0.994410698667983
TP53TG3F,0.99437529850562
RNF217,0.994298703276259
NBPF3,0.994286382402804
STEAP2,0.994136750408423
MACO1,0.994117820167203
TENT2,0.994052200067099
DACH1,0.994010201167744
ENST00000373200,0.993978782479822
MMP16,0.993851587791289
RGPD8,0.993794975814437
G3BP1,0.993711861396192
CHRNA7,0.993689076695525
ARID4B,0.993667748863695
MAP7D2,0.993629234313242
KDM7A,0.993595577919912
SECISBP2L,0.993573228485584
SASH1,0.993496223815993
ZSWIM1,0.993437240861803
PLEKHA3,0.99341261379521
USP31,0.99340716735176
ZNF430,0.993328351170837
KCNE4,0.993298473849523
LUZP2,0.993247518920059
TEFM,0.993240121570856
PABPC4L,0.993202368635113
CCDC73,0.993162467256322
FBXO25,0.993156578862499
ABCC10,0.99308611814167
HOOK3,0.993074439719836
AMER2,0.993071774985784
TMF1,0.992966212460543
TXNDC16,0.992808145856909
ENST00000379264,0.992741778244319
ZNF462,0.992693897104618
N4BP2,0.992683029895311
SPTY2D1OS,0.992679544706527
SLC7A11,0.992644550646891
KPNB1,0.992643382347318
SREK1IP1,0.992622131500536
SNX18,0.992618599644766
IMPAD1,0.992542016481839
POC1B,0.992328696549085
AFF4,0.992308273172274
BNC2,0.992277623802054
PLAG1,0.992269756743677
PUS7L,0.992259566074179
RPS27L,0.99216616066323
MPP6,0.992084302731449
RGS17,0.991946477985352
KCNJ13,0.991869902871637
AP5M1,0.991812836089698
REEP3,0.991754833700076
OSBPL3,0.991666032176191
OR2B2,0.991588983727173
PLXDC2,0.991477135984684
PLD5,0.991344065606106
HDHD2,0.991289182719892
PRPF40A,0.991282275975714
C14orf39,0.991276769776425
ADAMTS5,0.991262667216423
SSR1,0.991049285695604
ZNF704,0.990858594752307
SNRPG,0.990843234287319
PLEKHG4B,0.990806719759543
PAG1,0.990791707062436
PWWP2A,0.990657567251136
DCUN1D4,0.990454688227511
CNKSR2,0.990452294746065
CPEB3,0.990341491568906
TIMM22,0.990309197846097
EMSY,0.990254812114898
METAP2,0.99023088195605
HIPK1,0.990195286878606
WDR43,0.990053641450299
KYNU,0.990010183166675
PDZD8,0.990006640088432
HIPK3,0.989933637088833
PGR,0.989930628919054
PCDH11Y,0.989914028253146
PTPRG,0.989878863242206
PAK3,0.989822830285785
