Gene,Score
TANC2,0.98936450816706
HNRNPR,0.985925271558613
RSBN1,0.975551836880109
CXADR,0.97396188802876
IMPACT,0.97156776162595
NPAS3,0.965054790992943
ING3,0.963907470800994
WNT2B,0.962815337508229
SGK3,0.960703252206281
GSG1L,0.95615795787262
SNAPC3,0.956121899031279
NEK9,0.951033322013125
NAB2,0.950698483281919
GAP43,0.946621477624897
BLOC1S5,0.946563187671829
LRRC69,0.945302974518112
ENST00000622074,0.944596596450416
BCL11B,0.944364540634974
CANX,0.941442159681396
MAP3K1,0.939611423415509
ZCCHC3,0.938789631287893
DAZAP1,0.937851116247604
ATG5,0.935233381937778
LHFPL2,0.930918751407101
RBKS,0.930081725521957
AVEN,0.926632954802616
TOP2B,0.926495375304201
ARHGAP31,0.926132145329867
ARNTL2,0.926056331742716
AMZ1,0.925064623448664
JAG1,0.924481601812333
NKX2-1,0.923447877906935
SIMC1,0.923250217166545
REST,0.923207020823584
ST8SIA1,0.919173411050883
AKIRIN1,0.91790342097706
PABPC4L,0.917678529726212
NR2C2,0.914572164083088
USP34,0.913525741206595
HDAC9,0.912317034627544
FOXA2,0.910881312030066
POGZ,0.904734741022069
ZNF148,0.903944347624379
EIF5,0.903092141831737
SRSF7,0.902836646631445
KIF1B,0.900182744788756
CTTNBP2,0.899625924814764
SDHC,0.899120258084174
TMEM218,0.898763027093547
ENST00000276461,0.898640113563941
PTPMT1,0.898458250783026
ZC3H14,0.898314351681125
NYAP2,0.897462496403332
FERMT2,0.894933774905103
ADAM22,0.894170384710865
DIS3,0.893820010761177
TMEM183A,0.89041046359472
CEP85L,0.890346039364932
RORB,0.89024825677722
KCNQ3,0.889401368309376
MAGEB3,0.886527062452298
TMEM208,0.886465912424803
GABPA,0.883674510888868
HACD4,0.881770965320462
HILPDA,0.878800630106476
KYNU,0.878553216773789
PAFAH1B2,0.877190801611486
SLC39A10,0.87614092298359
NOL4L,0.875127595820755
KRTAP3-1,0.874989122944706
RNF128,0.874053124878528
METTL2B,0.873348453359373
RRM2B,0.870265654883741
PCDHGA2,0.869077378783624
GMFB,0.868264128794451
COX6A1,0.865092630926274
ZNF385B,0.864612342591735
TRIT1,0.864240225559965
PTGES3,0.86351075501324
ARV1,0.863325480779777
GNAI3,0.862008180546189
CCDC144NL,0.860140220664799
BMS1,0.859342951390571
INIP,0.858360265239932
ILDR1,0.854650648074371
SEC63,0.853969621827429
UPF2,0.853075149670294
OXR1,0.850533391041037
COL25A1,0.849785122953987
ZDBF2,0.849781857000666
C14orf28,0.849660718951336
LRRD1,0.84917388778926
ENST00000454300,0.847307558794235
UPF1,0.846575164700378
BCLAF3,0.845576055581027
BCL2L11,0.844281283063112
ZRANB2,0.841930992149167
CD36,0.840925879003858
PHB,0.839981616462331
DUSP7,0.839556703955155
TAF1B,0.839348252454305
BHLHB9,0.838488897874321
MS4A15,0.838230512608332
ENST00000404489,0.836525773697833
CYP2C19,0.8344456237952
PLXDC2,0.834337989777826
PWWP3B,0.83308440696269
ZNF366,0.832856568058583
CLYBL,0.832643416574768
NAPB,0.831822042622801
CDC73,0.830990476061633
KIR3DL3,0.830623604576477
RASL11B,0.827624097804811
SKP2,0.826429536540892
FNDC5,0.826076478501811
ASB17,0.82546668208626
CXCL1,0.823721750972093
CPEB2,0.823721717944254
TEP1,0.823116666075136
RASGRP1,0.823007225656359
NRAS,0.822525225605829
CALU,0.82247684588318
CHTOP,0.81997573891458
MSH6,0.819949584226313
NRG4,0.81958840485975
TM9SF3,0.81817760534958
ZSCAN25,0.81362966941943
KCNH8,0.813029511896149
HR,0.812590841235315
PURA,0.812507011530957
FGD6,0.812333822821744
CCDC117,0.811879700450057
ARL5A,0.811332110789561
ENST00000408967,0.8104632242661
XKR4,0.810064663878271
ENST00000358138,0.809373235293552
SMARCE1,0.809013647164654
TMEM61,0.805837495865513
NIPAL2,0.805264534086384
CTNNBIP1,0.804892952056846
ZBTB1,0.804718442826596
SYT16,0.804694709972452
TMEM87A,0.804535582965309
ELAVL2,0.802384171400539
TAOK1,0.800594181948974
