Gene,Score
MAP3K8,0.996342566173858
BCAM,0.996062784395575
RPL27A,0.989949457768654
LARGE1,0.979933156381667
RPGRIP1L,0.976194480784315
LIN54,0.972955789862348
PDZRN4,0.972376539648036
PCID2,0.970887994482745
MICU1,0.969113467570567
PPP2R2D,0.960953077740237
FLNA,0.955030185075977
YJEFN3,0.952793227177801
GRM1,0.951387896219848
ZNF773,0.950437789448961
EXOC3,0.949890707376272
TRIM44,0.94833659624848
KDM4D,0.947305892262284
LCLAT1,0.9455492478375
TRAM1,0.944713318671043
LOX,0.942310206115767
APLP1,0.938870221749223
HNRNPM,0.938362239271612
SNX7,0.937439239844383
NPR3,0.92816914748667
MPST,0.925677441070265
ACAA2,0.922648336531256
WNT7B,0.922324883424234
TAF6L,0.922257726748421
KLRD1,0.921856924349108
SAXO1,0.920401745572321
ATXN2L,0.919109537252672
Z83844.1,0.919041509116067
ZSCAN12,0.916872475266473
PRPS1,0.916362805841346
ABI2,0.914130510883736
C2orf42,0.912872842782811
GATA6,0.910771222650468
SPA17,0.909750047203495
BRD4,0.907365400504545
PIAS1,0.904000479994059
MLF2,0.903749819962804
GNAI2,0.903720604512457
IGFL3,0.902704875809825
PAK3,0.902557724595085
PGAP1,0.902269594949676
SLC26A9,0.901983236634772
DDX60L,0.901086795372639
ZNF280D,0.897943860764172
ADAMTS17,0.897735863738838
SEPTIN4,0.896732986085974
CD302,0.892181526171579
ATP6V0D1,0.892141309177445
TTLL2,0.888392437490789
DPEP2NB,0.888031548682337
GDPGP1,0.885332361444143
ARMC1,0.884556159957326
IL20,0.88176829851126
BTAF1,0.881339048997438
ZNF212,0.880271676846273
NYNRIN,0.880193261750906
SEMA6A,0.880050551974185
NSA2,0.878592233718879
PLA2G2C,0.875565852059916
PROP1,0.874975452511542
RBM41,0.874270217414454
GAS2,0.874067930966377
HCK,0.87220374796665
DDHD1,0.871714830492849
ENST00000558190,0.871410952833701
CREB3L2,0.871346042469018
EIF4E,0.86822125554797
INTS6,0.86555306013096
ANK2,0.863798078878445
NOP2,0.863695351408172
FERMT1,0.862018825738975
HGF,0.860826005599582
ACVR2A,0.856814816439108
EFHD1,0.856726950931797
CALCOCO1,0.856198483453175
ALPK1,0.855115861864639
FKBP10,0.853782534363257
LIN7C,0.853518627684936
APC,0.850923668349903
ZNF426,0.849134546773153
FKBP8,0.848291044052318
CNIH2,0.846136834317086
MS4A14,0.845062565290006
BPIFB6,0.845013717801934
CYP26C1,0.843496729065682
SAMD7,0.841972142656623
ONECUT2,0.841724868845313
ITGB2,0.840927628570382
MMAB,0.838661420064916
ABCC8,0.83605237860519
ISYNA1,0.834808064531006
HDAC9,0.833166278234175
BCO1,0.832856015797989
IL1RL2,0.832186346762589
SIGLEC12,0.831166741142346
GNA14,0.830049387593176
ZNF706,0.829284132561668
VWA3B,0.827078122199888
FGF14,0.826192759430357
SLC25A23,0.826162027246671
YME1L1,0.825539145095497
RPS6KB1,0.825021734988523
STARD13,0.824867615010832
XK,0.822588569774343
TMEM95,0.821010588906863
ZNF556,0.820661863900906
NCAM1,0.818527233790301
RPP25L,0.817995061218769
ADAM22,0.816783959322676
MSH5,0.816038673229509
NHLH1,0.81498338111767
ZNF585B,0.814266016607614
ATN1,0.812929072199318
KSR2,0.812659891678052
C10orf67,0.812076423006153
UNC13A,0.811211930145973
GRIN2B,0.811072071032245
ADAMTS12,0.810965621245552
HYDIN,0.808528630256537
RGMA,0.80620715053781
PACSIN2,0.805979742414184
KRT39,0.805077812318209
PRR3,0.80475513041824
TUFM,0.804003063209127
PARP6,0.802972317940083
BAAT,0.801478282218137
SIK3,0.801102753202523
OSR2,0.80015232417196
