Gene,Score
SLC30A1,0.997861070353056
CUL5,0.993715205429027
RSBN1,0.990987571342441
DPH6,0.987271064005336
IREB2,0.985781874047454
XKR4,0.985124385479049
SOST,0.979739186538667
ADH1B,0.978863715096613
MATR3,0.975615724664666
TRA2B,0.975583439263458
FBXO28,0.971036357561566
DCP1A,0.97072182951466
RASA1,0.966799290703285
SLN,0.966296010359141
MEX3B,0.966279404382796
GUCY1A2,0.965924888015278
GABRA2,0.965615401348048
RPS6KA5,0.96545887716485
CTBP2,0.960402752852141
SIX4,0.960328095176181
AKIRIN1,0.959904979462259
GPR12,0.958728131528089
ARSB,0.958697462644756
ZFHX3,0.954346751259733
TNPO1,0.954008331745513
MGAT4C,0.953012020484916
SP4,0.9527483224236
SYT14,0.951177372039762
CSRNP3,0.950445979322805
NR1D2,0.949496980719298
ARHGAP5,0.948741266797014
PTBP2,0.948437744405159
BCL11A,0.947678850425397
PAH,0.947216824981117
ADARB2,0.945265618729284
EIF5A2,0.944162557629918
SEPTIN8,0.943813280245802
RBBP4,0.943588858923022
MAD2L1,0.94275710234618
AKAP5,0.942695101699719
ZNF124,0.942446320965796
REST,0.940050916779854
STEAP4,0.937872404907205
FAM126B,0.935934403452779
TSR1,0.934504524873874
HIPK3,0.933878935975149
CYLD,0.933733197655806
AGFG1,0.93307910202831
PCDH9,0.932639607267037
RGS18,0.9319411409833
ASXL2,0.931820434423505
FAM193A,0.931121909342162
YOD1,0.931057898588507
PRR20B,0.92961002658581
PRR20C,0.929604915108556
PRR20D,0.929228288443193
PRR20E,0.928722898983987
ETNK1,0.926765376104505
SH3YL1,0.926258883153407
TOR1AIP1,0.926010032071475
CEP44,0.925489275346122
TMEM170B,0.925180794642697
DYRK2,0.924270901026168
DGKI,0.921648908114935
RARB,0.920834732020707
TIMMDC1,0.919889900932019
SGMS2,0.919716420923505
KYNU,0.918954633711899
NRXN1,0.91881436241301
JMY,0.918244511349848
ATRX,0.917351133010721
ZNF814,0.915450892258552
MIA3,0.915083813998286
DOCK9,0.914968639318829
FGF12,0.91452345007847
KCNH5,0.913916515763029
TERF1,0.912297061775072
CD47,0.910819827165182
LCA5,0.910782886193294
PCGF3,0.910654940021837
ZFX,0.910578119292186
CETN3,0.909732565086383
DTNA,0.909512454036384
SYT16,0.908582294215706
SLFN5,0.907827401696809
MEF2A,0.907741313730065
PLPPR4,0.907039282344539
NFIA,0.906507024478424
TFAP2B,0.904609071333312
SNTB2,0.904167974692254
FIP1L1,0.903359407192517
ADAM23,0.903223885894055
HMGA2,0.901890719513497
CD226,0.901693125725014
SLITRK5,0.901034765005732
GNAQ,0.900812030665918
THRAP3,0.90018121671622
GPR82,0.900158378893334
DZIP1,0.899970729307817
ARHGAP31,0.899852813789347
POM121C,0.89883977047882
SCAI,0.898760939077132
MBNL1,0.898389280835554
SLAIN2,0.89782856371551
RGS17,0.896345111503875
STX7,0.896143451367317
BRWD1,0.895479269641263
AFF4,0.894771147943554
RIT1,0.894655662768135
NSA2,0.894432990093813
NAMPT,0.893032795205638
HECTD2,0.892264983097582
ZNF606,0.89210733331032
CELF2,0.891822522002319
FLRT2,0.891717000196011
DR1,0.891460829684257
GTSE1,0.89114381020716
NLGN4X,0.890693303628081
REL,0.890046113713602
BICRAL,0.889259117820295
KHDRBS1,0.888795525534042
EIF4G2,0.888427939643555
CCDC88A,0.887945729589105
CPEB4,0.886691822631494
SH3BP4,0.885868535567061
SMC5,0.885723445948547
RBM20,0.884363481592974
NUDT3,0.884062220359273
SESTD1,0.883987138552649
RCOR1,0.88392358862393
ENST00000558190,0.883550324604914
GXYLT1,0.882835136840476
PPP2R5C,0.882443976008131
EPG5,0.882219281216179
PEG10,0.882138589564325
HLTF,0.881579018583452
GPR180,0.880092455633717
CRY1,0.879590674629749
BORCS7,0.87956368407333
DDX3Y,0.87930920741911
INTS6,0.87917889521683
LIFR,0.878648872507641
FAM98A,0.877338472043729
TRMT9B,0.877168881086286
SYNPO2,0.876127715525428
ACVR1C,0.876067386031443
PRPF40A,0.875934124531372
LNPK,0.874312960033121
UBA6,0.874057494919972
SLC5A3,0.87388461749797
KDM7A,0.873860797688386
APPBP2,0.873559924148546
USP15,0.873469781683377
NAALADL2,0.873376343369053
OSBPL8,0.873026466392184
