Gene,Score
SLC39A6,0.986904480459871
ATL2,0.976039718384192
FAM90A1,0.97585422989717
SERINC5,0.974881895369925
ENDOV,0.931696104548139
RFPL3,0.930453073322504
STAG1,0.926193758718916
LONRF1,0.89287668646731
NKX3-2,0.891780979267972
PARP8,0.882094497708289
NRXN3,0.881157355205423
ZNF431,0.84142504708871
ANOS1,0.828466685720727
FZD6,0.82109255882668
EIF4ENIF1,0.818757492697258
UGP2,0.818265639863502
MTRNR2L11,0.811367417440801
HOXB5,0.807774256348545
KRTAP13-2,0.805215115784489
ARL15,0.800388805475285
