Gene,Score
SLC1A1,0.999997863852526
LCOR,0.999589691086795
ADAMTS19,0.999220325530073
SH3KBP1,0.999003055464439
ZNF773,0.998377336202243
CSPP1,0.998255765314566
RC3H1,0.99787237254903
ELAVL1,0.997144779399842
ARCN1,0.997089628838752
TCF12,0.996795825232985
SV2C,0.996336186084219
AP5M1,0.99598210482573
AP2B1,0.994866058191653
ABI2,0.994039542687089
ELOVL2,0.993044721051802
CARNMT1,0.992727217746251
RAP1A,0.991869534658913
CDK1,0.991862328249382
CHML,0.991709068311614
MTHFD2L,0.9907799290857
TTPA,0.990668355743539
ATXN1,0.988170673421594
RHEB,0.988147480358213
ASIC5,0.987048624579972
NEGR1,0.98660089337716
SPRED2,0.986427086249524
KRT38,0.986056187051072
GPR1,0.984811267753878
POC1B-GALNT4,0.984795375835218
C16orf87,0.984581403760674
ASXL2,0.984290032321823
CNTFR,0.984287125054023
STRBP,0.983997745295423
GNAI3,0.983261450652697
STRN,0.982589330840377
SSX2B,0.982492043652254
LMBRD2,0.982204042844455
AL049844.3,0.982128468434864
ERLIN1,0.981829160846762
IQGAP1,0.980838590820229
PRICKLE1,0.980710947281366
ZNF148,0.979543277078718
TWF1,0.978359459946416
FAM120C,0.97832065832149
KCTD16,0.978160174178237
MARVELD3,0.977633203314044
NECTIN3,0.976826230073101
TP53INP1,0.97653694025225
NAA30,0.976056274885305
NEDD4L,0.975993850091657
UNC5C,0.975976877206428
MGAT4C,0.975656406364245
ATIC,0.975569935467847
RAB8B,0.974879992629077
TRPS1,0.974857035685436
TRIP4,0.974547484959762
COPS3,0.974200148223794
MAPRE2,0.973910772939623
PLXNA1,0.973883280970094
RASL10B,0.973750148701339
SMAD2,0.973231116439901
BARD1,0.972022667502286
DTX3L,0.971994883376752
PDS5A,0.971761854175128
ENST00000343916,0.971727902896136
NUDT4,0.970277745417721
XKR4,0.97004746390889
EXOC5,0.969155075997918
HAL,0.969116000624356
ACVR2A,0.968804424483983
TOX,0.968787373667615
SLC16A12,0.968142436391906
FZD3,0.96812217253139
GPT2,0.967653142389466
JADE1,0.966532349436382
TTN,0.96604327987475
RAC1,0.965581429893387
FOXP1,0.964540807668056
PAPOLA,0.964064089502032
ZBTB44,0.963881866089283
RGS4,0.963562332028727
NAB2,0.963552109607442
FOXO1,0.963412925103727
CMTR2,0.96306015016306
MGAT4A,0.963009703958883
MED23,0.962300799886669
FNDC3B,0.961518615699703
WASHC4,0.961259208009442
SULT1C4,0.961228621418623
PCDH9,0.960489558397726
DSE,0.960455577434126
BRAF,0.95972243492753
