Gene,Score
MTSS1,0.999593426095298
ZNF45,0.999461476024047
ZNF773,0.99885030243401
RBBP4,0.998736674794113
PTPN9,0.998031257836319
ZHX1,0.997412740722766
PATE4,0.997060846630103
ANO6,0.993679395360856
METTL9,0.991380264386055
KBTBD2,0.990378471356713
KPNA4,0.989285787999514
UBIAD1,0.988502211554701
LILRB4,0.987630303105628
RFK,0.986458025631797
MNS1,0.979315364402222
EYS,0.978895078349851
TAF4B,0.973531246097802
N4BP1,0.972327258697324
LAMP2,0.965866871234194
TUBB1,0.961673239976184
STK32A,0.960448836940082
CAPN1,0.957668395280804
ENST00000623932,0.957155927090897
TENT5A,0.955254886814861
ZBED4,0.951796535040778
ANKRD12,0.948576635539796
FAT3,0.947599308804619
GDAP1,0.947148934576193
PLPPR5,0.946808631565178
FLG2,0.945109172729456
RAVER2,0.942171135404594
SF3B1,0.939870832115885
LRRTM4,0.939702110874274
ZNF429,0.939302268373421
ADGRL2,0.938816273066885
USP43,0.935999938122341
EXOC5,0.935935016136856
RNASEH2B,0.932739246144551
ZNF710,0.932387838798851
ZNF223,0.930010125363688
GAB2,0.929941467845465
NOL8,0.929823518583938
FCHO2,0.927979418826093
WDR33,0.927132949377718
CUX2,0.926517215052056
CCDC144NL,0.925581860072088
ASB9,0.922861047526968
DR1,0.919652931965202
ITCH,0.919581254172305
EFNA5,0.91908973043366
LANCL2,0.918547462826442
ZNF224,0.913612483303296
MTAP,0.91341406404945
ANKRD18B,0.912165104695232
ADAMTS17,0.909140792488459
BRWD1,0.908529763585597
PTPN4,0.908494132901146
IL2RA,0.907896926357419
TGM5,0.906109896220147
ADCYAP1,0.905177400504044
YWHAG,0.903417851728045
TGFBR1,0.902954616192106
SKIDA1,0.902708399090946
SLC25A12,0.901884561337758
CUL4A,0.901774404105525
ARNTL2,0.901625989194054
FAM199X,0.900629613646683
TULP4,0.89917571222253
DDHD1,0.89854030055523
HARS2,0.897538251939397
ENDOV,0.895080449476637
ZNF233,0.894943440395649
USP24,0.893799219538159
ZNF84,0.892406430795633
ROPN1,0.891114842553786
LDB2,0.888054039380046
GPR61,0.887685461955557
LRRC27,0.887255225567715
EIF2S1,0.883838975612165
MARK1,0.882143786983721
CD248,0.880337761037102
LIMCH1,0.879698927572043
RORC,0.879585553750631
NALCN,0.876960738243984
ITGAV,0.875167834742877
KIAA1958,0.873930574761366
ANKRD18A,0.873629183751914
USP13,0.872829365573456
HNRNPUL2,0.872545687527672
BCL2L11,0.870855661522296
ZNF226,0.870089274350979
ENST00000584874,0.869226230336725
WNT5A,0.86867849776305
C1orf56,0.867742685472755
BBC3,0.867219241709769
TP63,0.865021851008349
NTNG2,0.864286478081886
CALCRL,0.863420717035253
ZBTB20,0.862993338810937
EXTL1,0.861225663024636
SLC44A1,0.85941688953942
KDM1B,0.859060707196824
KANSL3,0.858759056537799
C1orf141,0.857576813552751
TEC,0.856876798721667
P2RY13,0.856559399995249
SH3KBP1,0.855775937131876
CDK14,0.853185793045438
CDC40,0.85087652139217
MYO5A,0.849447114051484
SRSF3,0.846537419961598
AL662899.4,0.843618523858323
BVES,0.841486041805059
NAMPT,0.840891637711015
ROPN1B,0.838926077165622
PAQR3,0.83804053866019
SMAD2,0.837741585156105
LY6G5B,0.834390513378971
EPN2,0.834386229180154
KCNC4,0.833631082601975
CDC73,0.833142889042332
PAX6,0.831241348757881
LANCL3,0.831043609232567
CYRIA,0.829682502232547
LZTFL1,0.828906966864182
DESI2,0.827569390150399
CETN3,0.826416738568404
TMEM98,0.824932019774619
MARCKS,0.824493199329463
SMIM19,0.823747499183715
FAM106A,0.820081820340901
NLN,0.820051388825648
TFDP2,0.817356583599968
TET1,0.816049588148456
NCAPG,0.815046051828686
PPIG,0.812557379801996
SCYL3,0.812390660660371
SHISA7,0.810412157503853
NRG4,0.808848422183771
MON2,0.808259437381028
MPC1,0.8072786966279
ANKRD22,0.806010915764423
AGPAT4,0.805070895417022
NWD2,0.804574893224335
RAD51AP1,0.804522447088572
ZNF93,0.803662427369479
MSRB3,0.802086100981988
