Gene,Score
LRP4,0.991170481285165
DNAJA2,0.9894088413516
TMOD2,0.986321886936961
LHX2,0.984698466345794
CADM4,0.983713842931066
AC106886.6,0.982719956731071
FNDC5,0.979979894231855
ZNF800,0.975351020418231
LMLN,0.96987230474504
HSPA4L,0.968527583664378
STK17A,0.964088333463153
DACH1,0.962537688489693
FLRT2,0.959538798782289
ENST00000617179,0.959276597156938
ZMYM4,0.958503916080062
CHD8,0.957847702064835
SCRG1,0.955072578758446
FGF9,0.952399105166846
NFAT5,0.95120710761056
ELSPBP1,0.942132824241885
KAT2B,0.941454201818566
DOK4,0.939541452089235
SLC25A23,0.930776409406051
PALM2AKAP2,0.929891484257208
CBLN4,0.92946486776687
NCOA1,0.929101095664334
BMP2,0.927915960437538
TTYH3,0.925653386319165
SPRY1,0.922169301868844
CUL2,0.921147929636648
STIM1,0.920692728905705
HDGFL3,0.918667512050278
ANKRD29,0.917107828290427
DGKB,0.913873421952095
SHROOM3,0.909934256680657
SRGAP1,0.909264535173546
BAG2,0.903591102484806
LTBR,0.900232790523275
SRP14,0.9000856743143
MED4,0.894363088095157
ADCY6,0.892881472764251
RBBP6,0.892720193126386
HAL,0.890861272853219
UBE2V1,0.887397749372026
DGKI,0.886350395161629
ENST00000610431,0.885304796795917
DPYSL2,0.884653263302296
SMAD2,0.882409393325251
UBQLNL,0.878857488561012
NUCKS1,0.878034003287589
CAPN1,0.87587507137729
LRP8,0.87507020004314
TFRC,0.874950495176774
ZNF716,0.874334207865521
BAZ2B,0.873943990316632
BOLL,0.873067665057817
COL17A1,0.872695424463569
MON2,0.870690239411131
GCA,0.869104949997316
MTAP,0.868201625868486
JAG1,0.867490844159956
DCUN1D3,0.866413791303484
COL28A1,0.8647848564666
SNX27,0.863094752427221
RSF1,0.862467809327956
CDC42EP2,0.862111114206259
RALA,0.861197212989679
EMG1,0.860704115749939
LCOR,0.859785440774444
NBEAL1,0.859775102792287
ADCY7,0.85527781404968
VEZF1,0.853380406554925
PHLPP1,0.852703514119642
PAX8,0.852110926246457
SMARCC2,0.850694376672175
RPUSD2,0.848125116544332
GALNT16,0.847567339561533
NCKAP1,0.846710302507954
YOD1,0.846170246366598
GPRIN3,0.844231479168801
IGFBP5,0.843869144638869
GLUD1,0.84329603116189
RAD54L2,0.842380741715403
TMX2,0.842140302922946
PLP1,0.84104416485776
DFFA,0.839663746829793
ADGRL2,0.838702150137751
BCL11A,0.837813378350938
MRAS,0.836766031042249
PDE4B,0.836258738643112
ZSCAN9,0.83597107972148
TSPAN12,0.835157060660222
IRF6,0.835001149612627
NCR3LG1,0.832845476056494
ADGRL3,0.831928046880914
EPB41L4B,0.828743393979801
CCDC43,0.826952430792427
TGFBR3,0.826366311119741
DBT,0.825890314990667
GPM6A,0.825096386987659
SBNO1,0.82453263369081
PDGFB,0.822606597581345
MYO9A,0.820945577438481
AC112229.3,0.820866396055054
CELF1,0.820331772214257
PCDH9,0.819717442881299
BRCA1,0.819429676394869
FOXN2,0.818638442523373
CELF2,0.818632667577877
TMEM35B,0.814785925271645
PRR5L,0.814360336870005
STOX1,0.814318597132244
GRIN2B,0.812889911394025
TPCN1,0.812040250459117
TTC39C,0.812028472537982
CORO2A,0.809212748180108
OSBPL6,0.808506110210756
TBC1D3K,0.807935249230455
TET1,0.807707656593431
TBC1D3H,0.807707501449506
TBC1D3G,0.80722487279493
ANKRD12,0.806687101653112
PDGFRA,0.805314182204727
SPATA6,0.80480716038998
DMD,0.804691201855065
ENST00000369130,0.804371062648103
ZNF557,0.803308484658386
SPRY3,0.800589459563598
