Gene,Score
CCDC38,0.999882622777077
CR769776.1,0.999456323437595
TPRXL,0.999352338630065
ZNF429,0.998008126524712
PCDHA5,0.997265621842148
PCDHA6,0.997234135726961
PCDHA4,0.997233553740634
PCDHA2,0.997233199852251
PCDHA3,0.997202771883039
PCDHA11,0.997148423299846
PCDHAC1,0.997134339207301
PCDHA12,0.997130279138959
PCDHA1,0.997124098669573
PCDHAC2,0.997105172582703
PCDHA8,0.997104906564615
PCDHA13,0.997070199744454
FAM117A,0.996915642038604
PCDHA10,0.996810942090133
PCDHA7,0.99677097588165
GPATCH2,0.994117246801203
RASSF8,0.993066369688861
MED1,0.992760255184633
GAGE1,0.992477627952297
ZNF843,0.992281302641286
MTCH2,0.991151273464475
MAATS1,0.991017722579846
TRDMT1,0.990155981401148
SEPT8,0.989266033182256
DCAF8,0.987113132906968
E2F3,0.986735323435009
MARCKSL1,0.986466077844288
CARHSP1,0.986424113350116
RGPD1,0.984694073572741
TSPYL4,0.984170701244129
MXRA5,0.984007436398135
SOD2,0.983387014268049
GIGYF1,0.982056198056653
NUTM2G,0.981899842045747
PIK3C2G,0.981753895807572
CRY2,0.980644042757501
ZCCHC14,0.979767263649464
ZNF880,0.979689579455467
TRIOBP,0.979266521987265
ADAM30,0.97914346744295
TMTC1,0.978583076433958
RP11-181C3.1,0.976570571045817
SMC5,0.975878280669295
HYKK,0.975430923933883
ZNF117,0.97538338605736
EXD2,0.974192481273292
RPA3-AS1,0.973315877383579
VGLL3,0.971820544644714
PTCH1,0.971442053260539
DUOX1,0.971110281956195
THOC2,0.970575568413255
DMP1,0.969436190534387
C2,0.967218418600971
NDNL2,0.966505970335669
SIDT2,0.965981460002081
NAMPT,0.965162794633895
SEMA4G,0.961815967447992
PKIA,0.960632432109337
DCBLD2,0.960465057183137
GAGE12J,0.959677595493098
HELLS,0.959646232403015
MCM6,0.95928988917401
GAGE2C,0.959238190222329
GAGE12B,0.959218437066687
GAGE2D,0.959198677245571
STK4,0.959103993305502
PAK1,0.958266825002836
DCAF10,0.958060542851798
ZNF605,0.957553377265665
COX20,0.956831311242178
FZD7,0.956563908822187
GAGE2B,0.955652459594434
GABPB1,0.955346865161352
BCL9,0.955181140845107
CCDC86,0.954430092654709
NUTM2D,0.953024057041742
TMEM215,0.952327504121302
NID1,0.952269762433164
KIAA1161,0.951865673674191
GPSM3,0.949886559285576
RPAP2,0.949778675309064
MYO5A,0.949576666064386
NAV1,0.949508633839782
CADM1,0.949223680560745
RPL14,0.947759880946231
AC135983.2,0.946672186588729
HERC4,0.946296057954838
GGT7,0.945650073768981
GPATCH8,0.945523115648447
HIP1,0.945047398908283
KPNB1,0.944610836178831
AC010536.1,0.94257202439514
BTG1,0.941893511703953
C10orf67,0.941770462101843
SCN3A,0.941713534725515
KIDINS220,0.940840099052354
NCR3LG1,0.940099293968999
LOX,0.938584200725371
ZNF441,0.938159325553317
FRMPD4,0.937191331702712
NOL12,0.93669984796863
CHP1,0.934859593054609
SFT2D2,0.934511310052671
SLC8A1,0.933941315583444
GAGE13,0.933377865265791
GAGE12C,0.933350539202041
GAGE12D,0.933268519704889
GAGE12F,0.933268519704889
GAGE12H,0.933186438255538
GAGE12E,0.933120082447724
GAGE10,0.932928179918864
GAGE12G,0.932830036294767
GAGE2A,0.93279090023977
GAGE2E,0.932763423663828
FAM126A,0.932327438989778
PAGE1,0.932261487147274
GAGE12I,0.932240062048431
MPZL1,0.932153459975685
KIR3DX1,0.931725403075091
DLEU1,0.931633381779326
TUBG1,0.9301230742621
AJAP1,0.930064346175358
CTSA,0.929479537593207
RNPEPL1,0.929009987900724
NT5DC3,0.92840728681874
C5orf60,0.928362336486235
FAM115C,0.928059870730211
HDAC8,0.927701705705921
GDF7,0.92706363583605
GRIN3A,0.926264840742383
ROCK1,0.926077366355165
GAREM,0.925785247513317
SRRM4,0.92531508715792
PPP1R12B,0.924164635258665
CXorf65,0.923948684409932
SNAPC3,0.923808568558594
ATF7IP2,0.923610976708476
PPME1,0.922511791603342
HNRNPL,0.921909906858673
MAP3K13,0.921349507059112
SF3A3,0.920423615423733
SUCLA2,0.920058898958169
IQCK,0.91994394582958
FRMPD3,0.919007965215512
PCDH10,0.918368402220326
POTEM,0.918301959649648
PRDM6,0.917475357486295
PTGIS,0.917309900534815
SYT14,0.917238257666917
NMNAT2,0.917171058605026
PGPEP1,0.917074194255695
SPINK7,0.916914504932895
RPS6KA3,0.916735295007601
METTL8,0.915431646876669
SPHKAP,0.915425675453941
CDK2AP2,0.914886047770173
BAZ2A,0.914122106512142
MAML1,0.913167034092862
NEDD8-MDP1,0.913109713305243
GRIN2B,0.912668545657277
DCUN1D1,0.912501149826418
C19orf59,0.912068669967157
SLFN12L,0.911757760080485
RPRD1B,0.911736249731806
CASP2,0.91147809965326
SH3BP2,0.911198603877561
POTEG,0.911194450935165
