Gene,Score
MGAT4C,0.999437020389109
MBNL2,0.99942531119233
ZNF708,0.999250435722888
ZNF99,0.999019899341525
ZNF273,0.998606210900839
AQP4,0.998602793299639
RSPO3,0.998199591403732
NSA2,0.996669198046428
ZNF138,0.995692330644772
CREB1,0.994525323844228
ZNF117,0.994385792294603
PCDH9,0.99424287195353
SIX4,0.99334333587377
TIMP3,0.989068522054014
PUM1,0.988850486088122
TFAM,0.988663793426999
DCUN1D1,0.988406057590137
HMGA2,0.988076869624286
SERTAD2,0.987322481185404
PHC3,0.98722936478613
SLITRK5,0.987113811846351
ZNF493,0.986777397396684
LOX,0.985533583312526
SCAI,0.984081225484487
SLC8A1,0.983979210370275
SYT16,0.981690108368542
MDGA2,0.981637860614946
FLRT2,0.981591571334332
ZNF800,0.98151926058987
PLEKHA3,0.979662397253483
HTR1F,0.978870526522324
EPB41L3,0.976366562456035
TRAF3,0.974979508777734
FRS2,0.974904681375336
WIF1,0.973890611447333
CBWD1,0.972543339025443
BUB3,0.972353333766739
SAP18,0.972311592700866
CNST,0.971413522941725
TENM1,0.970991158323558
TMEM237,0.969523916617847
UBE2K,0.969435051802612
ETNK1,0.969427912015051
MZT1,0.968577829192844
SLC9C1,0.968443036904414
EPHA3,0.968429483742441
ZNF367,0.968194818808317
ZNF257,0.967284761279259
MRPL42,0.966710599907657
IBTK,0.965838733487992
TMF1,0.965482517326039
EIF4E,0.964974822566054
FAM110C,0.964892370901282
PGRMC2,0.964586905162484
NOVA1,0.963005587298706
RABGAP1L,0.962772012953052
RAB10,0.962514599141504
ZNF92,0.962195449383764
NBPF12,0.961482670418367
NDUFA5,0.961418668205627
CSMD3,0.960974662597792
FJX1,0.960946754507185
ZNF292,0.960670197521328
ZNF91,0.960509535269285
PPP2R5E,0.959694111725387
MBNL1,0.959674571541792
JAZF1,0.959559180683527
RFX3,0.959232860454386
SMAD2,0.958850474167299
NBPF9,0.95770728478123
FGF12,0.95749294106132
NR3C2,0.957437295828454
ENST00000456098,0.956734480315029
ZNF107,0.956472023040649
ARHGAP42,0.956465520271649
BMPR1A,0.95591946852246
ABI2,0.955723355525651
NBPF15,0.955041136524665
ZBTB37,0.954792570978851
SENP6,0.954582272027291
NAP1L1,0.954050370205776
FCHO2,0.953747249422293
ETV1,0.953577472688157
PCDH10,0.953478695055602
RIF1,0.952788036375341
TNRC6A,0.952437858887988
ATRN,0.952349721575847
ZNF618,0.951558931400543
VANGL2,0.950988259817218
PARP8,0.950076965270038
NCAM2,0.949856500815015
BOLL,0.949534372468073
RBM18,0.949341631063208
PAPPA,0.948986737605678
TMEM106B,0.948587475162531
CCDC186,0.948260367986851
HP1BP3,0.947944121773298
SLC7A11,0.947878342968693
TCF4,0.947828856500775
SEPTIN3,0.947796948618151
MOB4,0.947276478695703
DTWD1,0.945687273129065
ENST00000282478,0.945152744331663
ADAM22,0.944902413397338
TDRD6,0.944770409542864
ZNF676,0.944195699599785
CPEB2,0.943822526369744
HOOK3,0.94363353386682
TSFM,0.943632795878133
POGLUT3,0.942959324583126
ZNF100,0.942577934164829
CADM2,0.942153890861117
UBE2H,0.942140038264924
BEND4,0.942098332290439
MYSM1,0.941953650077239
CBWD5,0.941659491534503
SEMA3A,0.941359397127258
PGM2L1,0.941046690196107
LANCL3,0.940860437499718
TSHZ3,0.940852033926273
TMEM50A,0.94044238795222
PDGFC,0.94042856127125
ACSS3,0.940211024772693
ZNF43,0.93992051993607
GNAI3,0.939037008566535
SGCD,0.937924748313439
SESTD1,0.937649631433089
BMPR2,0.937645391356716
ODR4,0.937468415003033
PGAP1,0.937238996496395
HACD1,0.937175382683368
ADGRL3,0.937113038972119
