Gene,Score
TSHZ3,0.999998687285358
CPEB2,0.999970248925265
DPY19L1,0.999907844901302
LAMP1,0.99987037705024
ZNF773,0.999826105347642
IRS2,0.999812995229724
CPEB3,0.999646518947134
MYT1L,0.999582281908856
PLXNA1,0.999518741661362
NRBP1,0.99945964465912
ARNTL2,0.99937578262804
DIAPH1,0.999343420090945
TOB1,0.999332944990457
BMPER,0.998854617635801
AGO3,0.998785377023797
UBQLN2,0.998725853474562
RNF141,0.998698149625003
GAS7,0.998674668773004
RBMS1,0.998604428532664
RNF24,0.998585528532012
KCNV1,0.998476695955449
MEIS2,0.998444898829256
CELF2,0.998323893052674
RNF165,0.998236514989165
AMMECR1,0.998144702188393
MAP1B,0.997997500139853
MTF1,0.997951413488462
TOP1,0.997928331460187
ZNF462,0.997599279242125
AGO4,0.997553364161536
CSRNP3,0.997471015392352
THAP2,0.997395727420061
PEAK1,0.997332844394163
CYP26B1,0.997315315721086
PCF11,0.997310051950858
AKAP11,0.99726884400422
MAML1,0.997226547145386
CELF1,0.997150468960005
PDCD10,0.99703819352372
NRIP1,0.997001527191796
HOPX,0.996913648698317
EIF4E,0.996767783192859
CPNE4,0.996646231917355
SUGT1,0.996589567040162
SYNM,0.996327008875517
ANKRD2,0.996177871578456
C12orf66,0.996176598849046
DESI2,0.995883554295497
KCNT2,0.995857950389569
ZBTB44,0.995756275982119
SVEP1,0.995721052652105
FBN2,0.995699480812076
KDM7A,0.995652281872739
PHF3,0.995582097673118
HMGB2,0.995490913305174
PLCH1,0.995433254398123
ZCCHC3,0.995412007816552
HIPK3,0.99536980073343
LMO3,0.995362464884259
NOS1AP,0.995220292059661
BTG1,0.995108405670377
XKR4,0.994958080803277
FAM98A,0.994863628340795
TAF4,0.994853988287853
GARS,0.994803291220763
RC3H2,0.994747339406211
MIER1,0.99474540600343
SPG21,0.994704187959395
FSD1L,0.994425854022519
CAP2,0.994425463931153
YWHAZ,0.994025026652669
ZCCHC8,0.993710123204876
LRRN1,0.993693057032786
SH2B3,0.993475059295279
TBL1XR1,0.993056776206397
VTI1A,0.992986176176284
KCTD4,0.992626204032367
RAB31,0.992587841684138
IL1R2,0.992583145552757
RAC1,0.992571020324654
TRERF1,0.992511448371081
VGF,0.992418194182513
LNPEP,0.992317806009196
NFKB1,0.991613582904616
RRAS2,0.991289399523964
LHX9,0.991063279988787
SWAP70,0.991052267386381
ZDBF2,0.990851351985186
MRAP2,0.99053726423139
NUFIP2,0.99051380503473
CLINT1,0.99021251821247
KDSR,0.990179673268464
ZBTB43,0.99004964151443
ABHD17C,0.989949327559029
KNG1,0.989939341592508
VSNL1,0.989493875733216
EBF3,0.989439988256727
USP15,0.988742229470919
PJA2,0.9881694832626
RIMKLA,0.988071806015273
FMNL2,0.98800348486773
TAOK1,0.987705052162212
CTTNBP2NL,0.987624011533132
KLF7,0.987526360619727
DTWD1,0.987436096400622
PPARD,0.987407732079907
PRKG1,0.986992475102791
NFAT5,0.986914003221072
YAP1,0.986660309935159
MIS18BP1,0.986559855442372
HACE1,0.98648677468188
FAM135A,0.986466539920835
NUCKS1,0.98643947969252
HELZ,0.985994377797807
WDFY3,0.98570171392086
USP9X,0.985518992148019
TGIF2,0.985448826683562
C2CD4D,0.98536302765148
COG3,0.98533389991991
ZNF704,0.98531653215608
FLT3,0.985013375729382
TDRD6,0.984911236866708
EPHA7,0.984825045273047
CBLB,0.984648298095146
MMP16,0.984274543988276
FAN1,0.984225702721814
CNTN4,0.984201611141221
PPP1R35,0.984139367754665
LNX2,0.984050435168614
MTMR10,0.983986195320533
STIM1,0.983557043098217
RAB40B,0.983405822282975
NFIA,0.98333298566896
FOXJ3,0.983311710457046
UBN2,0.983263446861525
PCBD2,0.983240278005597
NAP1L5,0.98323033781792
ZNF654,0.983125152644336
RB1,0.983111081955065
