Gene,Score
HIF1A,0.999963229856688
FLRT2,0.999875166822307
CCDC62,0.999817131217937
PURA,0.999286017689293
LHX6,0.999124017979619
ANKIB1,0.998555651338125
CT47A10,0.998347740643942
CT47A8,0.998346278932435
CT47A3,0.998333072616282
CT47A9,0.998324217319791
CT47A6,0.998322737450216
AGBL3,0.997777562780849
CT47A11,0.996762926183525
CT47A1,0.996710169891808
SMAD2,0.996223550995447
CNGA2,0.995799289432224
SPRY4,0.995430175882845
CT47A7,0.994921714051195
AHCTF1,0.994649101288221
YWHAZ,0.994160758788443
ZNF148,0.993659838782514
TRAPPC8,0.9932493630229
CT47A4,0.993163721908343
GRIK2,0.99301882848025
SMC4,0.99203682322587
RSBN1,0.991914798812682
HSCB,0.991781249011034
VSTM2A,0.991332557117512
ELAVL2,0.990729601832005
OTP,0.990135484956291
MGAT4C,0.988321561289842
CT47B1,0.988145167772683
MS4A14,0.987971306700918
SPTY2D1,0.987295376508151
RNF138,0.986488121570903
IPO7,0.986444836813867
FAM76B,0.985654097631017
ZMYND11,0.985130170816221
MCTP2,0.984757190852061
BTG3,0.9840651826245
ZNF26,0.983948506726382
NCOA2,0.98356657394431
STEAP2,0.982897533753803
BCL11B,0.982659444148559
TRPC5,0.982334219898973
DCUN1D1,0.98168400037963
HECW2,0.981319903817465
C11orf87,0.980958755662769
DAPP1,0.980913706077759
NCR3LG1,0.980156901852972
MYBL1,0.979329042056638
CPEB4,0.978584155806641
ACVR2A,0.978511178365032
VASH2,0.977309324710456
EBF1,0.977252315734127
SPRED1,0.977022580513913
MATR3,0.97660824815926
SYT14,0.976351790214292
AC008162.2,0.97603237270955
DYRK2,0.974398452827528
CPSF6,0.97416425875946
DNTT,0.972143236306642
RLIM,0.970820161359327
GNAI3,0.969047335499758
ZNF606,0.968512465945851
SLC6A11,0.967860933368569
PRKAA1,0.967645660414186
NEGR1,0.967083529379527
FGFR1OP,0.965862771373549
BRWD1,0.965423136869521
PAPPA,0.964342799977763
BMT2,0.963863748511841
CDH20,0.963295728567373
RMC1,0.963182195957343
AKAP6,0.962491826781075
SRP54,0.962321703792505
BRCC3,0.962136316318034
EWSR1,0.9620320710275
ARPP21,0.960423515477409
ENST00000416816,0.960394424531101
RNF11,0.960241441960126
TCAF1,0.960025701730732
MON2,0.959727992441763
TRIM24,0.959640877375746
GGCT,0.95835596563253
RAB21,0.958007786599517
GLUL,0.957261468231893
RALA,0.957240503879839
TMEM170B,0.956923260333652
TUBAL3,0.955809710851441
TPM4,0.955211609131001
SULT1C4,0.954025714456352
ZBTB26,0.954001699638744
PPM1E,0.953858849306526
NFATC2,0.953831312462777
SLC30A1,0.953594852413827
ICE2,0.953011004749466
CCBE1,0.952794111511956
NUBPL,0.952607502162022
MEIS2,0.952444829092578
LMBRD2,0.951446919549105
PMEPA1,0.950404075553251
FBXO28,0.949956251477964
NDFIP1,0.949626977762307
GXYLT1,0.948870971831024
CLCN5,0.948800854389452
KLHL28,0.94822472388686
IMMT,0.948140562316472
TNPO1,0.947459485876927
EIF4E3,0.946931496267764
NEUROD4,0.946627168521243
SPX,0.946507903323189
AL049697.1,0.943678687343645
SAR1B,0.943503885933378
SGMS1,0.943310152895985
PAQR3,0.943030991153425
DDX50,0.942423245934133
ZC3H14,0.941782003422123
RB1CC1,0.941620609093534
CDCA7,0.941537562493771
IL18R1,0.940865800784516
BAZ2B,0.940105926853736
C3orf70,0.939732400851226
NKTR,0.939627154323887
ZSCAN26,0.939535657423078
ZNF124,0.93947576997469
RASGRP1,0.939318955128045
TFRC,0.939005620994651
SULF1,0.938784721231543
CGGBP1,0.93860312628025
DGKH,0.936850836219641
ENST00000392717,0.936756409224691
TIPARP,0.935883212277969
CYBRD1,0.93572582890529
MCTS1,0.935687339979478
ARID4B,0.935003336592307
RPS6KA5,0.934700337836869
NUS1,0.933544829455625
DNM1L,0.933509935757866
CLVS2,0.93350489114816
MSANTD2,0.933414094881289
ARHGEF35,0.933192894373861
ELF2,0.932848393789676
CBX3,0.932284374126038
ZNF704,0.93091644706945
IRF2BP2,0.930889098856109
TM4SF18,0.930804142017908
ZNF248,0.930485464193755
ATF2,0.929914578679085
HAPLN1,0.928995750471563
USP15,0.928976832053518
CCDC73,0.928969844630083
NEDD4,0.928016301457205
PPP1CB,0.926774260579966
DHX57,0.926474259377293
FAM83C,0.926012883032898
AKNAD1,0.92538730384487
ENST00000616098,0.925366403836304
GPAM,0.925044575001865
SEC22B,0.924304444644458
UBE2D2,0.923640740647898
IPO5,0.923406541084096
MPV17L,0.92322648221444
CEP78,0.922875008900166
CHRM3,0.922503654935277
RPS6KA6,0.92208556110366
REV3L,0.921569641723001
C11orf88,0.921391789512468
ASXL3,0.921126449434208
CAP1,0.920829374055241
SIM1,0.920287348711239
HDGFL3,0.918660314783323
INTS2,0.91848971243284
TMEM106B,0.91816543827953
TNRC6A,0.917917739198148
UBE2Q2,0.917670764637269
PCMT1,0.916701004966437
NFAT5,0.916652140132521
CTBS,0.916536583715758
REST,0.916361057212612
SLC9A7,0.916299036478676
DUS4L-BCAP29,0.914826625450496
HIGD1A,0.913742599032851
ENST00000268035,0.913637815996394
TM9SF3,0.913394992950621
CCN2,0.913160791710457
TMED3,0.913071562782874
CREBZF,0.912993401075692
MAPK1IP1L,0.912686211516608
PMS1,0.912007247449398
POU3F3,0.91199761271023
UBL3,0.911448399384641
