Gene,Score
DRICH1,0.997129129771177
RAP1B,0.99328682935134
ENST00000607157,0.993138535898465
TNFRSF10C,0.993102277398487
CASK,0.992239715123922
ZNF510,0.99127571146523
IGFL3,0.991250983534321
ATG12,0.990630806373042
GTF2A2,0.986974043728307
PPM1L,0.98416761890689
NUDT10,0.980002723472355
STX17,0.978407658685724
DPP10,0.977973935324399
ITGA10,0.977556961336023
ARL13B,0.976226176711699
F7,0.975494695025014
ENST00000521891,0.975432383871093
CREB5,0.974909817201027
PDE4B,0.974306635124565
ZBTB44,0.974041915191515
CTDSPL2,0.97160206798119
AC008073.3,0.97005007211186
CADM1,0.969673507969983
SCRN3,0.96823816786032
ENST00000544303,0.967508715360084
ENST00000426790,0.96723410378656
CDY1,0.966111046646009
CDY1B,0.966016330552399
SLC35F5,0.964666982027348
TFDP1,0.963812696514123
CREB1,0.961724532401619
WDR48,0.961139762593787
OTX2,0.954386042550553
PCDH7,0.953206143406484
TTC39B,0.948634249024515
GDF11,0.944561025275812
HNRNPH1,0.94421676467096
RAB3C,0.944111225209789
RANBP2,0.942926624426579
GTDC1,0.941421954671182
PNPLA5,0.939514711826078
MBNL2,0.939106113006142
DNMT1,0.938912291062972
ELOVL6,0.938392822002088
UBN2,0.938333672890275
PANK2,0.935986857178255
ARID2,0.935346805812974
FAM168A,0.935159677337416
SERTAD4,0.934624307718473
PDGFA,0.934569620283601
OSBPL9,0.931011314955859
SQLE,0.93085682752716
BNC2,0.930848898171513
C11orf49,0.928738438246131
GIGYF1,0.928350208447149
CGNL1,0.926574077441435
TRIM37,0.926533078708214
SAMD13,0.923733238298023
L3MBTL3,0.922490034563037
SH3GLB1,0.922137988649623
FUNDC2,0.919444266040682
GRIN2B,0.919363627050022
AGBL2,0.919361462322693
ARL6IP1,0.918849364823635
PRRT1,0.917985274869923
KLHDC10,0.917341972921119
NUFIP2,0.916611717721843
SP1,0.916223941847496
TERB1,0.915539969196488
PDS5A,0.915184412764742
GFM1,0.91487122871393
MC4R,0.914830313523319
IL7,0.913663926636624
GBP6,0.913578939156818
HAO1,0.912685030204641
MED13L,0.910200701703401
NEGR1,0.908372938776413
ABCC5,0.907876337560741
DNMT3A,0.907130969800176
ODR4,0.906536876338899
ADAM28,0.90627327181671
FAM3A,0.906190906035468
PSME4,0.906053969564274
FBXO43,0.905623128888389
HPSE2,0.903755941000652
SERF1B,0.901965863481475
SERF1A,0.901085882754325
RIMKLB,0.900602618076746
PPARGC1A,0.899141376360753
FAM114A2,0.89838285935114
TIMM17A,0.897963617446464
TPT1,0.897853212468301
GRB10,0.897798589039877
ARFGEF3,0.897604978003419
ZNF773,0.897448319742954
UBE2K,0.897367043876781
SVBP,0.896565076391456
GNL1,0.895487138814002
SIKE1,0.893813855845351
GPATCH2L,0.893650045842314
IMPAD1,0.892955498444806
SMAP1,0.891922433152796
MYH10,0.890550903777113
GOLGB1,0.889290804145519
CNTN5,0.888163595749319
TAB3,0.887253828960008
GNAI3,0.88723643701302
CDK13,0.886930177077148
USP8,0.885855763181632
ENST00000631802,0.885417567912692
MRPS35,0.885329583616335
AMMECR1L,0.88513218390778
KCNE5,0.883999230464441
ARHGAP15,0.883671806469966
CHRDL1,0.883427399959527
PRRG4,0.883336985158681
NRG3,0.882585129700759
ASXL2,0.881878601651869
MPZL3,0.88098611944763
ZNF26,0.880203510816429
ERICH1,0.878651720675491
CTBP2,0.878281769227322
ASRGL1,0.878181065211546
RAB5B,0.877775678503915
BAG4,0.87718905562332
LRRC28,0.876848952372284
RTF1,0.876700395486276
TMEM263,0.8754056311416
ANKIB1,0.874999522778016
MARS1,0.87415411821325
ETS1,0.873509800345826
DMTF1,0.873392153302008
MCC,0.872257184176451
C2orf74,0.872025167532295
SGTB,0.871860431318898
SIX4,0.871700262066693
SLC5A3,0.87057290295677
TCF4,0.869663550544762
GRIA1,0.869642534726111
TSC22D1,0.869248857478673
ALPK1,0.868729466297601
DCAF17,0.868329528491954
ARHGAP32,0.867761158835036
RLN2,0.867036139426832
MAX,0.865983335273091
JAKMIP1,0.865464615343999
MS4A1,0.865128328106016
MYOCD,0.865072689912796
KDM1B,0.864547981537397
TARS3,0.863847024052011
SDHC,0.863020946474085
UBALD2,0.861100774564466
RNF213,0.860926779058814
AMMECR1,0.860897031369912
SNX7,0.860885511620482
CCL16,0.860489809716954
PTPRR,0.859265038220737
ZIC1,0.858921937037537
PHLPP2,0.858119154454177
LVRN,0.857746454765186
CAPN7,0.857099293461403
CLVS2,0.856621009964065
ZNF738,0.856200997542299
DDX50,0.856083223904336
CLDND1,0.856034752879017
SKAP1,0.856014113932108
NOTCH2NLC,0.855813486495971
DLG4,0.855169704172543
CCDC170,0.854725109755509
TBC1D15,0.853483306832239
DCP1A,0.852823606434626
HOXA7,0.851640388398957
FOLH1,0.851369773883043
FZD6,0.850717628570084
SPAG16,0.850582738136594
SNX18,0.850332054232233
NOL8,0.849410662321627
NSD3,0.848829829865562
CNKSR2,0.848749416469132
ADGRF5,0.847512065845806
NOMO3,0.847174265926127
EPB41L3,0.846410154226434
AL110118.2,0.846169576960253
ART4,0.845277568676015
ZNF608,0.845263719628765
CDC14A,0.844172446011838
MCU,0.844060261654317
KRTAP3-3,0.843873592985949
ABI2,0.843838763627706
ITIH5,0.843170876970707
GXYLT2,0.842451349692514
LHX4,0.841611829325755
MED28,0.841160869361059
CPD,0.840147500591506
E2F6,0.840045374247748
NOTCH2,0.839988230946884
NEUROD4,0.839763207401958
USP42,0.839493977109019
INTS7,0.838465289588969
A1CF,0.83799641319972
TXNL1,0.83561089785985
IL36RN,0.835493392422245
KCNC4,0.835081147512426
DGKG,0.833724300327047
ZBTB10,0.83353292089947
ENST00000617938,0.832925418430731
FARP2,0.83276707103309
MAST4,0.832372184085911
HACE1,0.831928738179656
TRIM45,0.831765764372123
TGM7,0.831123937825248
CMKLR1,0.830962466307144
A4GNT,0.830766137041361
SCLT1,0.830543449806171
CA5B,0.829235849781078
WNT7A,0.829146259666971
NPR1,0.82914491005978
