Gene,Score
CDC20B,0.999746824261322
ELAC1,0.994493144406606
FOXG1,0.990015592612953
C2orf88,0.987535948446238
SETD5,0.987121973279543
VANGL1,0.986856099321094
DSCAM,0.985113426373276
DACT2,0.977336197367573
DKFZP779J2370,0.97517298307565
TMED7-TICAM2,0.974492985340869
KBTBD7,0.970667883846806
FAM179B,0.968642321537374
KIAA1429,0.967311310074482
NARG2,0.966664648063791
MSI2,0.963696397923248
KIAA1522,0.962606331051173
ALMS1,0.961839490100256
NCR3LG1,0.960605420942446
PIGS,0.958863255382693
COL24A1,0.958246588352929
PLAGL2,0.95770111015866
WDR16,0.957384492968835
BMP2,0.955628886615387
JADE3,0.95485474858297
C1orf158,0.952992502295328
WDR31,0.951959814227725
INO80C,0.950120508257488
ZFAT,0.948671372591329
AMMECR1L,0.946913404185051
CNTN5,0.946491059986979
SHPRH,0.944895766561767
GNA13,0.942618087058484
NUPL1,0.942463262940423
FAM215A,0.939920579425891
KIAA1958,0.939778078662015
KIF3C,0.939719000736719
NKX3-1,0.937801014011573
NUDT9,0.936285081842299
SLC5A10,0.933254477949305
HOOK3,0.931401322069688
C17orf74,0.930793447815895
KDSR,0.930251363216898
ESYT3,0.927674381884218
ATP6V1G2-DDX39B,0.926989875933252
TRPC3,0.926482632472574
ITPRIPL2,0.92566967411222
SRSF3,0.92252310710116
USP6NL,0.922505675970012
GPN1,0.921212603393539
GLIS3,0.920087073651578
NDST4,0.919565605356971
RBM14-RBM4,0.918242576255109
RFXAP,0.918145058810698
ZNF134,0.916163940488393
CTD-2368P22.1,0.915946155459304
HN1,0.915422453475854
DHX36,0.913674434236072
PRPSAP2,0.910946556008654
HNRNPA1,0.910675254864912
WDR75,0.910127835715365
FNTA,0.909840812535021
RPN2,0.908079567160345
TRPM1,0.907580776479718
RAB10,0.907294222195338
HERC2,0.903628128223367
TLK1,0.901276833593045
FOXN3,0.897903209298983
VPS35,0.896923437732958
MSH3,0.896247544171777
FAM219B,0.896060669964767
KIF26B,0.894420800213205
MTFR2,0.894359723730312
PRR23D2,0.893366459013617
PRR23D1,0.893112949615591
EFNA5,0.890565451203714
SSPN,0.888534967611389
NAE1,0.888113472595105
C17orf72,0.887400078307506
SLC25A26,0.886597642605984
ADAR,0.886447772563587
CIR1,0.884431007872628
ELK4,0.882510979678377
PITPNA,0.881184940641567
TMCO1,0.880670146154242
GPT2,0.878732034437678
TMEM106A,0.877952121661035
LENG9,0.877617375493145
PTK2,0.876264944051602
ACOXL,0.875298011536734
PPP1R12B,0.875092599656409
PTEN,0.872924407759789
IL6ST,0.871090224507091
PSMA5,0.871046259611206
NEUROD1,0.870700055631228
PTPN11,0.870144763312049
PRR20E,0.870036926506154
PRR20C,0.869769116623187
PRR20B,0.868810824723226
ZNF263,0.868406345956211
ZNF511,0.86809569591321
ZNF507,0.868002044877205
PRR20D,0.867772685278516
HLTF,0.866833386235567
MYO18B,0.866712167372986
PRR23C,0.866340419934115
IGF1R,0.864241389515867
FANCA,0.863748132478237
TOB2,0.862232479472797
IRAK3,0.860633214327587
KPNA6,0.860528517125072
OTUB2,0.860470212061286
RP11-295D22.1,0.860211030854718
VAT1L,0.860147605937775
FAM8A1,0.859622203460545
ALS2,0.859403241764754
DYNC1LI2,0.85788042903276
E2F2,0.857697296866038
SFSWAP,0.856949189318613
PIM2,0.856893809415706
CCDC117,0.855475172459976
UCK2,0.855175052968304
DCBLD2,0.855170265694468
C12orf29,0.855118873737917
SNX25,0.854437510800895
PAX8,0.854103208321812
SKP2,0.853448404796521
FBXO40,0.853379469397681
PAH,0.852930662214097
EML6,0.852781292154969
ANKRD52,0.850744098565087
WDFY3,0.850660733315297
GOLPH3L,0.850280710346626
ATG12,0.850161974847651
MAGI1,0.849790157190055
RBX1,0.849337624254784
PDIA4,0.848304880843036
INPP5F,0.848294614954007
NEUROD4,0.847156760314198
FMNL3,0.847122117223823
ARL10,0.846862298513859
SFTA3,0.845195236807732
HSPA12A,0.845131239824236
LCA5L,0.844674825133741
SSH2,0.843924019481555
RAB6A,0.843411855579448
MNAT1,0.84180544076378
OR7D2,0.841002620620272
NT5E,0.84064919356969
NCBP2,0.840285903169601
RRP1B,0.840021350482565
ZFPM2,0.839994881394824
DMXL2,0.837408710644322
SEPSECS,0.837240504943985
BNIP3,0.836651227327373
AC135983.2,0.836245061855779
GOLT1A,0.835830656031533
MPP6,0.830916146981663
CCR7,0.829645246912536
C14orf132,0.828598455603755
DPCR1,0.828407629761262
PAXIP1-AS2,0.828270051437629
PLCXD2,0.82814808980132
PEF1,0.826611520518047
ACTR3,0.825834896525707
FLNA,0.82569471021098
ZNF776,0.825084986357604
OSBPL5,0.825006663130731
GAB3,0.824835476188068
CARF,0.824686873464643
PI4K2A,0.824566165796083
KHDC3L,0.823833953678237
PAPOLG,0.823691952581583
RBMS1,0.823179367510981
PLA2G12A,0.822807583784581
CERS3,0.822783418434239
GPR156,0.822446193182417
C1orf21,0.822439526223524
MKL2,0.822418412263927
EFCAB5,0.82206585824493
CSNK1G2,0.821759091760585
EMB,0.821644084836603
NDP,0.821596771271123
NRG4,0.821264334313639
AC093802.1,0.819684421012921
SRSF7,0.819642753498471
TRAF3,0.818253550683148
KCNJ10,0.817112673160791
DDR2,0.816535682342372
SLC4A5,0.81491697478426
INTS4,0.814836037431879
WSB2,0.814413495315553
C6orf222,0.813955423444233
DDX49,0.813600830000669
CCT3,0.813596898614947
BPY2C,0.812740201561543
GABRA3,0.812486692607205
FAM230A,0.81235750049505
BPY2B,0.812094222681808
EIF2B5,0.812031861099116
SLC2A1,0.81172315795479
PHC3,0.811270094021002
PTRF,0.810704856923857
PRELID2,0.81036278545416
LY6K,0.809784437978191
BPY2,0.809735077881108
ATF7IP2,0.807942330775765
SKP1,0.80789102774261
AL117190.3,0.806188278572467
ENTPD5,0.806147187863459
CCDC70,0.805850085381136
ZFP28,0.804801639130055
MAK16,0.804672425295554
QSER1,0.804334725230368
NAPG,0.804042762790244
NEK4,0.803526439265736
FSIP1,0.802978830562979
TBX3,0.802423783945337
ZFP36L2,0.800645900637043
