Gene,Score
B4GALT6,0.999998477241649
MGAT4C,0.999692366023462
CREB1,0.999613951423912
EPHA3,0.998883991551172
MBNL2,0.997726571878671
ZNF273,0.997697803897068
ZNF708,0.99756630881429
ZNF99,0.997250634784615
TIGD1,0.996357876000262
AQP4,0.996001776211922
FLRT2,0.995910228354503
SLC8A1,0.993418415796727
SCAI,0.993012450147392
ZNF493,0.992944807804196
SLITRK5,0.992266476271579
ZNF117,0.99216031147704
TENM1,0.99197230187136
PHC3,0.991822685741218
HNRNPLL,0.991585237646047
LOX,0.990575508962496
FXR1,0.990385345999923
ENST00000456098,0.990270843766983
RESF1,0.989866877963094
SMAD2,0.989782263091328
PCDH9,0.98959625053479
HMGA2,0.98949104999873
ENST00000282030,0.989032244494322
SRSF1,0.988769566194161
RGS21,0.988734605128129
ZNF800,0.98737368145263
XKR4,0.987182833548708
YIPF4,0.986862442604788
CADM2,0.986623544347066
ZNF138,0.986592870208059
ODR4,0.985924281312458
ZBTB37,0.98565884044987
PARP8,0.985549475704795
ZNF92,0.98528585015363
JAKMIP2,0.984632565043675
TMEM106B,0.984370794405078
ZNF536,0.983332043206513
CCDC14,0.983052408898888
PMP2,0.982101432142434
CACNB4,0.981718864494242
EIF4E,0.980577216885105
GNAI3,0.980496932083403
RIF1,0.979908511165378
SESTD1,0.979813466434189
GULP1,0.978983806294562
ENST00000379264,0.978931985831435
PPP2R5E,0.978510721647652
ABI2,0.977789218403709
VANGL2,0.977768478749129
FCHO2,0.977517540800845
KLHDC7A,0.977364730284884
POT1,0.977075287585776
CCR6,0.976443013161682
NAMPT,0.976147060678663
WDR82,0.975806185044158
PCDH17,0.975742155644319
CPEB2,0.975529766537343
RSBN1L,0.974216980747079
XRN1,0.973785461498007
ZNF367,0.973381363008587
SLC5A7,0.973339431742394
BEND4,0.973212423159657
ZNF257,0.972336678000222
WASHC4,0.97137810343444
NEXMIF,0.971110292555419
TSFM,0.970946943519912
UBE2J1,0.970795301468
ZNF107,0.970041603040507
KMT2A,0.969872468015618
GCNT1,0.969719955439397
ZNF678,0.96901956910182
EIF4G2,0.968972105385479
PPIG,0.968953605893569
PLEKHA3,0.968875296606109
NSA2,0.967747892056032
KBTBD8,0.96770023239195
TMEM237,0.966990170173
TMEM47,0.966752647373877
UBN2,0.966286581480714
SF3B1,0.966267923480025
RABGAP1L,0.965464062583693
SLC25A16,0.965397492832749
RBM46,0.965343157276527
TMEM132B,0.965284162335829
ZNF292,0.965253251148356
BEND2,0.963936150121787
LHX9,0.963527160675522
CNKSR3,0.963218686735576
KLHL15,0.962837950762072
ZFP14,0.962485593214997
SMIM13,0.961250393861866
TOP2B,0.961237126156442
GABRA4,0.959994578289822
RNF146,0.958682624477726
RASSF6,0.958393677957335
PDE1A,0.958381432939702
TBC1D32,0.957990404163193
SOX30,0.957777153189771
ACTR3C,0.957327515025522
UBE2W,0.956956169264525
RNF180,0.956886043345665
RAB30,0.956122977752646
TNIK,0.955583638058815
KLHDC2,0.954635225309325
LCOR,0.954419125972146
ARAP2,0.954256724496734
HOOK3,0.953984639454806
MDGA2,0.953959385478161
MYCBP2,0.953621402264792
NDUFA9,0.953494126495375
NBPF12,0.953490776299501
ANTXR2,0.953471952055557
UBQLN2,0.953397698480865
IQCH,0.953218426502165
CUL5,0.953100870379946
NBPF9,0.952860895463968
ZNF100,0.952791845641264
PPTC7,0.952751031008205
LYST,0.95268910367225
EFCAB11,0.952640562366295
DCUN1D1,0.952486445377123
ZNF91,0.951644071953976
APLF,0.951081435167917
ENST00000306867,0.950801658327369
HS6ST2,0.950340299300513
LHX8,0.949913090906553
ADAMTS20,0.949864455273052
PTPN4,0.949639121244557
CD47,0.949335315164406
SLC16A7,0.948902328802219
GPD1L,0.948841954404563
TMEM33,0.948503227838399
B3GAT2,0.948337126275711
RICTOR,0.948022008630358
ENST00000392438,0.947717216110452
TMEM196,0.947634397948644
DTWD1,0.947161687823554
TTC23L,0.947138141289691
CALM1,0.946369892706875
INTS6,0.945967677162363
AP1G1,0.945895890691766
ARHGEF33,0.945829058145933
RORA,0.945451759080258
YRDC,0.945364682631073
FBXO45,0.944997552196297
ZNF655,0.944841173666871
RNF34,0.94427046463986
MIB1,0.944228577492909
NBPF15,0.944107975478549
DMRTA1,0.943496213426172
ZFP69B,0.943253142734119
SAMD12,0.942977684762008
AKR7L,0.942549840746369
GPRIN3,0.942348170928745
ARIH1,0.94219542703753
