Gene,Score
AADACL2,0.996348394187786
CDY2A,0.996263383909344
CDY2B,0.996173390925518
ZNF573,0.992171359030735
NCR3LG1,0.979885170646438
CCNT1,0.979301188208446
SNX27,0.978008001054685
ZNF30,0.977800572266365
KLHDC9,0.975852438572596
ZNF207,0.974196537827998
SLC12A6,0.965860129501755
PTMA,0.963409039011945
FBXO33,0.959161469148037
HOOK3,0.957920996260119
EIF4G2,0.951618306829132
CCDC28B,0.946174004178467
ZNF812,0.945156140747066
CCR5,0.937868523895461
ZNF850,0.935709984673326
DIO2,0.932991272057187
HSPA14,0.932823070666043
ZNF780B,0.931512436267417
SIK2,0.930853182169452
FAM90A26,0.929662479641001
FAM90A1,0.928226302522872
GABRA5,0.927107936765976
C22orf46,0.926974557601856
ENSA,0.926547050669896
KCNB1,0.923413656326621
VPS53,0.921527669214706
FAM171A2,0.918765475627857
ZNF461,0.917646009495617
MAZ,0.916170144130643
FHAD1,0.915628816848687
RNF26,0.909251349193293
ZFP14,0.909059000346372
AK2,0.908022930201041
FKBP5,0.904633301516087
ZNF781,0.90277955577785
GRK1,0.89976902430916
TBX18,0.898669016529803
AKIRIN1,0.896518309157533
SH2D2A,0.895614681508891
SLC9C1,0.894513617057624
PIM2,0.893113191998256
ZNF780A,0.891792414338367
WT1,0.89156745016302
HIPK3,0.89139599514509
ZNF714,0.888884704378173
MYEF2,0.888843350448516
MARCH7,0.888229010113517
UBN2,0.887618847995285
FAM169A,0.887234551641924
EBF1,0.882908608465156
DNAJC17,0.882005125563444
PLCG1,0.881713701138141
WDR11,0.87963176277186
DCAF17,0.878925360547676
HNRNPF,0.878584363948159
DNHD1,0.875774959478833
EPG5,0.875199300314453
RRP1,0.87295733567292
FKBP1A,0.871466353290508
TSR2,0.871099481379977
RSRC2,0.870510356467148
TADA2B,0.870263792954639
GDF11,0.86901227912178
SLC7A8,0.86808560741055
ZNF345,0.867103354974476
LPP,0.865816696428595
CDY1,0.86515409859839
CDY1B,0.864610647242887
IL1RL2,0.859767441389746
CHTOP,0.857158946312324
FAM131B,0.856680294784245
GRIK3,0.854886601066671
DGKI,0.853663341290472
SNX25,0.853445145389853
SLTM,0.852631655618574
OTUD3,0.85225761579269
AC006455.1,0.851811356733445
CEP55,0.851271275207896
KHDC1,0.849293799880322
E2F7,0.847908932126735
IKZF3,0.844792688099854
MFSD6,0.84430849052151
MAP1B,0.843973270644823
GABRG2,0.84261090649407
ZNF594,0.83955345399892
TUBD1,0.836965661536738
GPR156,0.83614624811825
INPP5B,0.835259586569226
ILDR2,0.835225039707384
USP32,0.835122419277354
INO80D,0.834515979976835
SSU72,0.832867602700573
AFAP1L2,0.830913213013822
MTPN,0.829887211319802
CEP76,0.829178024576515
GJA5,0.828953550801728
C17orf96,0.828444381364875
C1orf204,0.826036859018537
ZNF831,0.825190245245941
FRMPD3,0.824622922188657
RAD51L3-RFFL,0.823827451439888
METTL17,0.823561618892481
SCARB2,0.823207044468047
ZNF420,0.821937888294619
PEX26,0.81959213823994
CPSF7,0.81852305435306
ARF3,0.817642722344722
DNAJA4,0.816978388847597
TMEM136,0.815322788648629
WSB1,0.814297867503198
FKBP15,0.813927842722543
GPR158,0.812863979371862
TOM1,0.812104329302194
ENDOV,0.81039503780542
LYZL1,0.809679869574594
ZNF229,0.809454323351135
GPR61,0.809365603872511
ZBTB40,0.807579608318538
RGAG4,0.8069775628588
FAM228A,0.806257224558345
KLF17,0.805303061162186
RIMKLB,0.804955353170251
IGF2BP1,0.802850818038479
WDR89,0.802702293904971
ZFP30,0.801717914048719
