Gene,Score
PPP3R1,0.999965764262972
SLC1A2,0.999842460962424
ZBTB37,0.999581246333702
SLC4A4,0.999450016298488
RC3H1,0.999180991406796
MEF2C,0.99908978111156
BBX,0.99881861276015
RAP2C,0.998657865311951
CELF2,0.998356013766408
ZNF704,0.997635477726226
NFAT5,0.99693710979975
GRIN2B,0.996107201386461
FLRT2,0.995686075955135
MRRF,0.995645255795366
GRID2,0.995361043453714
NTRK3,0.995351046639528
ZNF585B,0.995140133143933
SRF,0.994061175755641
ENST00000615031,0.994036639572446
STXBP4,0.993996356390048
MTAP,0.992441632568782
HS2ST1,0.992294286601017
SIAH3,0.992097262859931
HSPH1,0.991459650342065
LIX1L,0.991312832602234
ARIH1,0.991305104024658
ERV3-1,0.990993338981885
CASK,0.990832458059722
SMAD2,0.990298293038529
NOVA1,0.990182555795127
CSNK1G3,0.990159978130743
SYT14,0.990079160837692
RLIM,0.989938144764245
FAM76A,0.989862378964587
CD93,0.989418059126392
ENST00000268035,0.9894168545335
SAR1B,0.988979448698319
XIAP,0.988916483783249
SFT2D2,0.988821221107388
AGO2,0.988256326611337
DNAJC13,0.988001798975185
PGPEP1,0.987951359552337
DGKH,0.987885403824292
ADAMTS6,0.987440768453243
BRPF3,0.98743145788911
DYRK1B,0.987384420929563
SPRY3,0.987356635019149
KLF7,0.986804184255777
BRS3,0.986216012117957
INO80D,0.985868835946444
MYLK4,0.985703562073854
ENAH,0.985545402250307
MSI2,0.985480149931265
BEND7,0.985246266343006
LYRM4,0.984380397949255
FOXJ2,0.983692319822575
ATL3,0.983613890921091
GSPT1,0.98350405766459
PIAS2,0.983236222920511
FAT4,0.983199629344683
FAM107B,0.982324680448972
IGSF3,0.982248212112215
SRGAP1,0.982026193976682
RFX3,0.98200562272589
FAM126B,0.98170076959895
TSHZ2,0.981541834495075
ERBB4,0.980931549103869
DCP2,0.98055988228766
ONECUT2,0.980520259682715
CSRNP3,0.980351152799839
ENST00000378688,0.979779759834247
ZFP36L1,0.979455334647426
UBE2E2,0.978814529293613
KSR2,0.978559298938099
SLC10A2,0.978428905319269
TMEM33,0.977912648059692
MTPN,0.977759405883167
ARL5A,0.977663448837979
FAM155B,0.97757838663596
PIK3R1,0.977494379132055
SEC22B,0.977249416362679
APLNR,0.977171675339036
PLEKHA3,0.976189354196723
TNFRSF11A,0.975389305095767
BMI1,0.975329433805265
EPS8,0.975188307503121
AR,0.974543290092907
DPH6,0.973910176326274
IPCEF1,0.973826044771001
PCDH9,0.973716932571805
MYO6,0.973465736531537
TSPYL4,0.973399399697756
SLC4A8,0.973387639578566
FGF13,0.97329214642484
CLK4,0.972865906126665
ELAVL1,0.972857862601342
LCOR,0.972817888877182
SIX3,0.97197133790521
KCNC4,0.971914524226275
KDM5B,0.971255440501089
C1orf21,0.971233101801296
VGLL3,0.970743161698796
ZNF280B,0.970566830203124
GNG12,0.970490528146858
RIC8B,0.969820892000015
EIF4A2,0.96966157556066
SIM1,0.969648397345013
ATP11C,0.969595875436404
XPO4,0.969523177966629
PAIP1,0.969335924441315
EPB41L4B,0.96929996558632
RARB,0.969124082050336
SHANK2,0.968891899389699
ZBTB44,0.968426687472988
ZNF19,0.968284576307637
FZD3,0.968042687712825
MAP3K9,0.967947097102345
TAFA1,0.967823013544881
XKR6,0.967620987455109
RTL5,0.967543972197521
MYSM1,0.967319177580795
APOLD1,0.966870768176069
PKD2,0.966421398112961
PCDH11X,0.965860826937496
PARP8,0.965774900666498
RHOQ,0.965649888519696
PPARGC1A,0.965500432913865
CPPED1,0.965481639391344
SLC4A7,0.964840410346086
SLC8A1,0.964592606148011
CBX5,0.964432639899529
CXCL9,0.964394374803146
ILF3,0.96421166838829
MAP3K2,0.96412174325032
P2RY1,0.964099130916825
NCDN,0.963433015126293
ZKSCAN8,0.962892797089285
POU2F1,0.962203644415433
ENST00000558084,0.962133494345207
TMEM117,0.962114859596643
PTAR1,0.962112476723613
FTO,0.962091215102533
UBE2W,0.961876289596173
BMPR1B,0.961824126306757
ESRRG,0.961818261044119
KYNU,0.961513536813968
DOCK9,0.961174150016386
GSPT2,0.961129389040304
WIPF2,0.960775126121621
CLCN5,0.960720981573406
ACVR1C,0.960631023113458
SH3BP4,0.960416479095816
SNAP91,0.960377959551104
SLITRK5,0.960373984984276
MACROD2,0.960189241003956
RBM17,0.959751084571451
SMARCA1,0.959537900929667
ARHGAP28,0.959490363303547
COL24A1,0.959206092283525
ACTR3,0.959155747663364
ENST00000328528,0.959086765764255
UBE2D2,0.958880282400554
TARDBP,0.958834673974598
ATXN1,0.958720231436683
ATP2B1,0.958573434816347
EP300,0.957972540266133
QSER1,0.957940424433993
GNB3,0.957802449174319
BCL7A,0.957582638307779
MAPK1,0.957036331336965
PALM2AKAP2,0.956916105491813
SENP1,0.956721519655019
ZNF148,0.956551016118694
PPP4R3B,0.956534903165126
RND3,0.956385153854348
NRXN1,0.956190317114958
PEX26,0.956162725891676
SASH1,0.955741739467363
G6PC2,0.95517094351753
CDK6,0.954928265863909
RPS6KA3,0.954802209701611
SPATS2L,0.954695588669673
FAM155A,0.954575962253218
RIMS2,0.954225562539806
PPP1R12B,0.954068036325024
SOBP,0.954015413965772
TIMP3,0.953635594230843
WIZ,0.953281056599499
JPH4,0.953219593700255
TUBA1B,0.953026970794398
NEBL,0.952864341072708
MPHOSPH10,0.95267219035889
PCDH11Y,0.952433981224236
XKR4,0.952082426661255
SRGAP2C,0.951818322438432
MARF1,0.951574141698233
DCX,0.951408620028322
TSHZ1,0.951156836133944
REV3L,0.951136335366474
NPL,0.950131237951131
CLEC2B,0.950058024055716
GRIN2A,0.94978216264021
ZNF395,0.949382943776655
AGO3,0.949365520160696
GPATCH2L,0.949352690424001
SRGAP2B,0.948983336202196
DIP2C,0.94830429546806
ZNF391,0.947583264613248
SDHC,0.946998121421665
ZNF366,0.946512566318202
RORA,0.946258300857483
C5orf51,0.946076594204198
RBM28,0.946016810971072
UBFD1,0.94568911963037
CBLN1,0.945437379482984
KLHL14,0.945422946040562
FGF14,0.945272948459613
HOOK3,0.945206426295473
ADGRG6,0.945053224218867
ENST00000379264,0.944918028633859
BTBD7,0.94472829344485
SUCNR1,0.944672681141792
TNRC6B,0.944285851822227
RALGPS2,0.944250778983647
RAB3B,0.944117423444372
CALN1,0.943910813626509
FGF11,0.943542395409634
NCKAP1,0.943019628977535
CREB5,0.942943192816833
RSPO4,0.942408502591686
CAB39,0.942345079562912
DDHD1,0.942242085093226
GFRA1,0.942148737509435
KIAA1958,0.941720613603446
IPMK,0.941711042041783
ERCC1,0.94140308398242
XBP1,0.941328197289098
FGFR1OP,0.941225351364761
PCDHA6,0.941213693573622
RBM23,0.94120988837837
UBL3,0.940875146189067
ACVR2B,0.940822389795487
C9orf40,0.940581937707095
BMPR1A,0.939982411565113
BTF3L4,0.939366281101559
MEF2D,0.939144058730229
KCNJ6,0.938874354644431
ETV5,0.93881333625275
NAALADL2,0.938453923424151
FOXP2,0.938086643669027
UHMK1,0.937800022074786
PNMA2,0.937765498754263
NCAM1,0.937614511012053
UTRN,0.937577257690911
ZRANB2,0.937404208286047
SRGAP3,0.937304617582826
CADM1,0.9372189049416
ENST00000558190,0.937102117813003
OSTN,0.93708894044539
HSPA4L,0.936600187180234
DSC3,0.936525987960378
DCN,0.936110071147518
ENST00000306867,0.936009305160161
SYS1,0.935999083939175
CSRNP2,0.935919134822504
TCF4,0.935713284881387
FMNL3,0.935698726643388
CPSF2,0.935688984920235
SLC16A4,0.935396034673109
HIPK3,0.935299489507067
SMC5,0.935075997703881
CNGB3,0.935043624634538
LARP1B,0.935016339263713
HOXA5,0.934842331062576
PIK3CB,0.934722853895267
RPGRIP1L,0.934709945166836
EDEM3,0.934539585923932
GGA2,0.93452930584817
ZBTB8B,0.934017206567134
C10orf67,0.933858864618148
PBX3,0.933575979742918
ADGRB3,0.9333137374848
CXXC4,0.933290707764969
MCM9,0.933064860651231
KCNMA1,0.933001397065823
BACH2,0.932936904487055
FGF7,0.932500939664482
SYT16,0.932378701111105
HELLS,0.932252806251997
LSAMP,0.932241949638708
FRAT2,0.931345325745593
TCF7L2,0.930971730180366
TRHDE,0.930140346700842
AL033529.1,0.930028978879682
FMN1,0.929934706563608
ZNF891,0.929886777961683
ADAMTSL3,0.929856228158865
DNAJC10,0.929709609735919
ENTR1,0.928909979204604
ST6GALNAC3,0.928541067683066
SLC44A1,0.928287661912868
PTCH1,0.928144116500272
FBXO30,0.928101977827375
USP15,0.928092065148662
MEX3B,0.927643604737035
THSD4,0.927504511108524
RPS6KA5,0.927440162615975
PAN3,0.92641060697401
XAGE3,0.926356870016859
TRIP11,0.926140454447839
KLHL42,0.9259988597831
ZDHHC9,0.925926048769292
SCAF8,0.92573342939224
DDI2,0.92563025060617
SLC6A20,0.925530103355945
EPC2,0.924625602191056
ENST00000406396,0.924319838093822
SOX9,0.924302991257177
SNX30,0.924102489252614
SCFD2,0.923442958239721
CCDC141,0.923393552385852
INA,0.923103614286943
SYNGAP1,0.922752476708806
ATRN,0.922712389927967
CEP76,0.922555490075518
HIPK1,0.922554514443161
NOTCH3,0.922480442482167
CAND1,0.922453237859285
AAK1,0.922349306504014
TENM4,0.92197460482048
CCDC50,0.921889803598394
AC087762.2,0.92170469077179
SYNE3,0.921622282346869
RBFOX3,0.921608890693645
ADSS2,0.921549638481525
MYOCD,0.921428520629709
VPS8,0.921383205290674
NUCKS1,0.920780176655244
CHRM2,0.920778272767218
PARD3,0.920431592417993
LYST,0.920272441899958
CTNND1,0.920143745360242
GTDC1,0.919672931859773
