Gene,Score
ATXN7L1,0.99999998718832
GDNF,0.999998670713133
C7orf60,0.999968115354835
SDF4,0.999949749564335
SPDYE1,0.999866848898007
GSTM2,0.999781543749019
BCL11B,0.999714604803132
RORB,0.998794523020325
PIWIL3,0.998608164477606
NCAM2,0.997919181564943
LPP,0.997706247090639
ZNF148,0.997490272000158
CSNK1E,0.996811805691156
BEND7,0.995750468788539
S1PR1,0.9956188545408
SKIL,0.995319813737916
BAI3,0.99524308284896
RAB27B,0.994537329739186
CCNB1,0.994075910775296
FIGN,0.993886386009099
REV3L,0.993510716773227
BRWD1,0.993088108115048
DIP2B,0.993014474464192
PPP4R2,0.992966947198743
CDK6,0.992796277733657
NAA30,0.992362557132063
MPHOSPH8,0.992035241718383
GUCY1A2,0.991945383980164
HNRNPA3,0.991734955027136
G3BP1,0.991486067287008
RORA,0.991187981251838
ACVR2A,0.99110082926169
FAM9C,0.990745453589719
DNAJB4,0.990438128271316
ZNF326,0.990193614099111
LRP1B,0.989771161470514
CSRNP3,0.98923615951104
RALA,0.988990044858937
ATXN7,0.988880853968501
SERBP1,0.988457664157583
AK3,0.988208353261618
FAM199X,0.988142619149704
FBXO28,0.988102655130575
TMEM106B,0.988072092800329
MYCN,0.987976601837332
STOX2,0.987902161395177
STX7,0.987299369498869
BCL2L2,0.987241273388972
UBE2W,0.987195280943484
ZBTB44,0.986814007452464
PEX3,0.986627174818847
CNTN5,0.986420585405756
MAGT1,0.986343458663656
WAPAL,0.986314627495355
CCP110,0.986230656309007
NUP54,0.986218417395416
PRKAA2,0.986043976519762
AC068987.1,0.985962750238609
GRM5,0.985728996245695
SERTAD2,0.985670938835696
TFAM,0.985603245885081
SOX11,0.985504744359941
DGKH,0.985395304001274
PRKG1,0.985260865528367
THSD7A,0.98474768170764
RC3H1,0.984660368304466
ZNF738,0.984560160757077
NOVA1,0.984422993673044
RP11-664D7.4,0.984417681621795
KLF9,0.984013175046465
ATRX,0.983743864957643
PABPC5,0.983331601589165
SIX1,0.983121238300153
CTDSPL2,0.98306985752086
LY75,0.983068985678727
TP53TG3D,0.983048789919033
MAST3,0.982786878860429
MGAT4A,0.982766113138039
SKIDA1,0.982316642412831
MECP2,0.982242991285468
FZD7,0.982108617026344
ADAM22,0.982052862257723
ABI2,0.981834419638318
ZNF736,0.981345237184383
JARID2,0.981320436429764
ACAP2,0.981153587883337
GPD2,0.98113320750315
INTU,0.98111241709968
BRWD3,0.98103892889477
OGFRL1,0.980838155291135
RICTOR,0.980515443276332
USP53,0.979818540154779
GABPB1,0.979616982550396
SYNCRIP,0.979575517516469
MLTK,0.979458530740131
RAB11A,0.979299118160629
U2SURP,0.979244177605432
LHX9,0.979120682649233
MFN1,0.978742956038897
RIMS1,0.97865059493973
ME1,0.97861580433007
SREK1,0.977453849915496
CPEB4,0.977264355156152
MIER1,0.977078387273801
GABRA4,0.976878554323762
PAWR,0.9763455102368
SOX5,0.976282962162065
SAR1B,0.976228608657432
BICD1,0.976143425834994
MAML1,0.976099154008279
PVRL3,0.975532298045535
TROVE2,0.975504138058262
NEGR1,0.975470655219202
MEX3D,0.975050788859664
ELL2,0.97502334274005
IGSF11,0.974940811067055
FAM135A,0.974529812004136
GPR85,0.974458202018072
SLC4A4,0.974239412696722
VLDLR,0.973874482402428
TMEM135,0.973771023102361
POU2F1,0.973632710653726
MOSPD1,0.973196379998232
PPIP5K2,0.973161604595953
EDIL3,0.973057600146094
CPS1,0.972982792071814
HECA,0.972903007347495
GULP1,0.972807233056102
OSTN,0.972661650320643
CNOT6L,0.972181100797836
WDR26,0.972113813480586
NFAT5,0.972015559700356
NR3C2,0.972014241520133
SPTBN1,0.971830380349754
NEDD4L,0.971600540955346
KATNAL1,0.971447524947254
SLC16A10,0.971435429947936
TMEFF2,0.97128782238636
SAV1,0.971144574515989
MBNL2,0.971022230807659
SH3BGRL,0.970883731003834
C1orf21,0.970856104388799
LRP2,0.970655654586939
ZNF773,0.970629975165417
NUPL1,0.970553272387391
HIVEP2,0.970436531298308
ASXL2,0.970239711983084
TCEB3,0.970193894426458
LRRTM3,0.969896440838729
ZFHX4,0.969889497462115
SNX16,0.969850200709399
ZDHHC21,0.969558509189085
SDC2,0.969337134638379
NAA15,0.969191987927013
SIX4,0.969119541900041
C5orf24,0.968783195181264
SMAD5,0.96857911407352
CCDC50,0.967960984959199
UBR5,0.967752571075705
CNTN1,0.96774117661836
KHSRP,0.967426897195857
STYX,0.967260663580116
KLHL28,0.967155440368995
LRRC4B,0.967015315326766
SRSF3,0.966897524928672
VMP1,0.966810649662698
ZNF608,0.966759006252477
LINC00692,0.966481757724644
SACS,0.96639052441923
ZBTB25,0.966280363654937
DNAJB14,0.96611811781812
CCDC47,0.966114194345991
HNRNPA2B1,0.965995651198882
RABGAP1L,0.965964340194129
LCOR,0.965958980462167
KIAA1715,0.965888249639005
NMRK1,0.965768507910946
GOLIM4,0.965729676293796
ZMYM2,0.965226237481103
IPMK,0.964976474120402
FGF20,0.964972362193638
MUT,0.964819448263251
TRA2B,0.964778970505161
CTNNA3,0.964740063047264
SETD2,0.964551824529306
LRRC58,0.964480637031031
FAT4,0.964287395946921
ECHDC1,0.964237107161179
MATR3,0.964172893600099
SUGT1,0.963346551147614
PPP1R2,0.963002204568073
PTBP3,0.962623562398542
ARL13B,0.962618774974389
SMG1,0.962350192825881
EPHA3,0.961940589738572
FZD3,0.961891297632794
FAM98B,0.961842674156362
DENND1B,0.96144148329111
SLC15A4,0.961412902614293
UNC80,0.961186909935627
HNRNPM,0.96117736615147
CACNB4,0.960849473638139
CPSF6,0.960847672811569
TXLNG,0.960626550001332
FBXL3,0.960588765105502
ARL6IP6,0.960028451856475
PEX13,0.959611619321993
RYBP,0.959380463633842
SCML1,0.95912380912887
SOX6,0.958988404421227
ARIH1,0.958846549750294
HEY2,0.958692870117101
RFX7,0.958612024757692
DDIT4,0.9585038890296
UBE4A,0.958485698380821
CTBS,0.958437127571541
LARP4,0.958207364554923
CCDC144NL,0.957853376024079
NAV3,0.957787332484859
CDY2A,0.957748106033684
RNF217,0.95753200075076
PHLDA1,0.957480863091642
RRAGD,0.957355671766907
MYLIP,0.95730148870962
CDY2B,0.957064936892922
MIER3,0.956850003425984
AMMECR1,0.956335327930044
FLRT3,0.956066524235992
TTC13,0.955940761943103
NOL4,0.955805360629929
SCAI,0.955792940771501
PHC3,0.955780069904901
ANKRD20A3,0.955071282158205
LRIG1,0.954884458457457
ERC2,0.954767365636864
AGO3,0.954710310200746
BICC1,0.954289516847337
NUFIP2,0.954272433763077
RASGEF1B,0.954230617390983
HOOK3,0.954064473411582
MEIS2,0.953896912856378
MED13L,0.953725439708209
RFX3,0.953270955837679
ZNF680,0.953053349085864
ZEB2,0.953004509607015
C5orf51,0.952959530419045
RMND5A,0.952697296803288
SEC24A,0.952695844178946
SUV420H1,0.952646254738738
GABPA,0.95261626318289
C16orf87,0.952536762032538
PROK2,0.952517021048056
ZRANB2,0.952490899564599
UBXN7,0.95240345677833
MTF1,0.952069161315969
PGRMC2,0.952058981259633
ZNF704,0.952031225259839
CD2AP,0.952003877884713
MMS22L,0.951816940565352
SLC4A7,0.951700144287851
ZNF486,0.951655440068621
RTN1,0.95151908663363
SPDYE3,0.951417605297271
PPARG,0.951197154679309
UHMK1,0.951154316557041
NLK,0.951084224027628
MEGF11,0.951057886514087
IRX2,0.950917365324805
TMEM194B,0.950860204758986
REEP3,0.950824400604034
MZT1,0.950757115401835
FRRS1L,0.950638666390293
TMED7,0.950540212804066
PPFIA1,0.950510539940484
TSC22D2,0.950499552693744
BBS10,0.95047335613933
TP53INP1,0.950459687549274
BMI1,0.950413987034454
SLC8A1,0.950407082088255
TENM1,0.950368312764138
ZC3H6,0.950334984448228
XKR4,0.950197604002948
FMNL2,0.949582749903943
MTDH,0.949477247091546
GFPT1,0.94926417948929
BMP2K,0.949176808794166
NOTUM,0.949089237880954
SSBP2,0.949066825428672
ZC3H12C,0.949006358082098
KIN,0.949000402213187
IVNS1ABP,0.948828053151735
PAIP1,0.948657117039519
LATS1,0.948314575564334
TP53TG3,0.948139056059788
GOLT1B,0.948008283516954
PLCB1,0.947847912640659
PRLR,0.947748579588696
FSD1L,0.947605211870306
KCTD16,0.947598009600982
ZFX,0.947577824038878
CTNND1,0.947168520460342
KDM3B,0.946948929240037
TCEAL8,0.946525040330932
GNPDA2,0.946406260236845
ARID2,0.946065211737529
EIF5A2,0.9460603893208
WDR47,0.946028849095964
PLAG1,0.946020060589035
WWP1,0.945793220911063
EEA1,0.945791829255208
RNF2,0.945699558088233
NRIP1,0.945623883415034
CLDN12,0.944844997920714
FGFR1OP2,0.944667906870782
TP53TG3C,0.944631883080308
PANK3,0.944608765273035
GPR137C,0.943941970342238
ATXN2L,0.943919699496296
GDAP2,0.94377954619265
RAB30,0.943526398897188
KDM7A,0.943161420618039
ARID4B,0.94311758929796
NTF3,0.943058941379038
INSM1,0.942789634062791
PPP4R4,0.942732129425521
ANKRD13C,0.942724920706206
UBE2A,0.942633345951135
FAM221A,0.9424706109821
SUPT20H,0.942434873196402
TPBG,0.942419086256474
SCN8A,0.942353446249611
C11orf87,0.942233209897965
GNPTAB,0.942183076381715
AIDA,0.941923706245908
SF3A1,0.941520626338408
NFIB,0.941501998635687
CD47,0.940998174764265
C10orf107,0.940317598028916
APPBP2,0.940100363569864
CBFB,0.940092414488684
RBM27,0.940057739442515
IKZF2,0.939911227673692
PRKAG2,0.939531776404343
BACH1,0.939500782412185
ETF1,0.939389195594746
CBX3,0.93927297893719
GJC1,0.939250869038409
NFIA,0.939044850457242
CCDC88A,0.939001318792432
BAG4,0.938778912886601
CTB-186H2.3,0.938749855167508
SEC61A2,0.938387606536821
SPATA6L,0.937943935689167
PPEF2,0.937738981502185
TNFRSF21,0.937617227268596
DNAJC21,0.937482080892992
CGGBP1,0.937333051917607
NUP50,0.937038772954998
SPAST,0.937031001644545
DUSP19,0.936997136803273
GCC2,0.936980879261899
FAM193B,0.936555268186056
ALDH6A1,0.936525858561998
XPNPEP3,0.936421547926184
RP11-322L20.1,0.936325215004902
RSBN1,0.936023324088185
MAL2,0.935805763577325
LIN7C,0.935780142488053
UEVLD,0.93532090526641
RP1-27O5.3,0.935259567738828
SLITRK4,0.935239139901221
ZNRF2,0.935216813186018
CASC10,0.935212439036229
SIN3A,0.934947754612154
ABCA8,0.934769211481294
RPF2,0.934698465421083
RP11-111M22.2,0.93465492255772
CHUK,0.934606240471331
C12orf77,0.934527864922583
RPL7L1,0.934508104516341
ARID4A,0.934161419137344
EIF4E3,0.934138365341694
NBEA,0.934032038306855
ADAMTS1,0.933853850042895
NAAA,0.933804329235664
SIRT1,0.933748822410385
ONECUT2,0.933514655907117
ZNF93,0.933399539167367
ZCCHC6,0.933311384232558
DIS3,0.933300492470994
XIAP,0.932996482963373
SMARCE1,0.932896181778871
TM9SF3,0.932835917328327
PDE4D,0.932719053191559
ASAP2,0.932637925808947
CDC42BPB,0.932570646955295
ATXN1,0.932340120056714
CERS6,0.932293831899158
SLC30A5,0.932278310684583
PDE4B,0.932007525123985
LDLRAD4,0.931971675325851
CD109,0.931947111659073
AMOT,0.931856260848598
CFLAR,0.931249819279977
PLAGL2,0.931130921715503
CRIPT,0.930949916748061
PAN3,0.930740382697181
TMEM161B,0.930661790125636
FOXP1,0.930646221597311
RPGRIP1L,0.93062061920658
MARCKS,0.930431923381708
SORD,0.930392333030252
ZNF654,0.930385666578243
PCDH11Y,0.930239492507122
NRCAM,0.929935902192197
TMEM170A,0.929929873261629
CAMK4,0.929844928770924
DCK,0.929641203517222
MAB21L2,0.929552468690269
PLEKHA3,0.929449677793619
ACSL6,0.929381888454213
DCC,0.929378984339432
TRIM2,0.929343165854065
ANKRD20A4,0.929197467843109
FBXO32,0.929110796118104
CALD1,0.928872983740913
HERPUD1,0.928566289166063
MLLT4,0.928183754607372
SOS1,0.928147154384162
SCAMP1,0.927887383771699
CAMTA1,0.927783969519465
SIK2,0.927756790729301
SMAD4,0.927492078389004
UBE2K,0.927467521283287
INSIG1,0.927351417402951
TTBK2,0.927266485702216
PARD6B,0.927136286744751
ARRDC4,0.926661523858534
PAG1,0.926539140822723
IRF2BP2,0.926356412546941
FAM120C,0.926335524768506
MAPK8,0.926207404501816
FST,0.926144381071417
CLOCK,0.926025689326566
MDFIC,0.926019931311456
MARCH7,0.925832536224307
KLHL23,0.925823720024036
LPGAT1,0.925785102801309
LYPD3,0.925321211952643
PITPNC1,0.924952962309872
SLC9A2,0.924926254473324
MAP3K2,0.924857095091442
KAT6A,0.924763990063539
PLSCR5,0.924723417424043
CRIM1,0.924609807534125
GTF2I,0.924602516574356
FAM179A,0.924589443813505
TRUB1,0.924554345834361
STOML3,0.924426688785935
RGS7BP,0.924383922636522
IKBIP,0.924249674117257
TAF4,0.924236158607898
CCDC171,0.92420412991875
AKAP11,0.924124947351218
DPP8,0.923937649455939
GNAQ,0.923727188528697
CCNY,0.923566923789062
BAX,0.923527821842889
JAZF1,0.923341546226198
BRD3,0.923322306032013
KCNC2,0.923316491667765
KPNA5,0.923169817982412
PPM1A,0.923166132969047
SMC6,0.923111469942918
ZNF322,0.923101104213232
PURB,0.923092307227063
LSAMP,0.922848410837665
CSNK1G1,0.922643979756694
SLC6A14,0.92245797797573
MICU3,0.922443564022408
SNX9,0.922394202337737
CHN1,0.922159432145637
HDAC9,0.922131475180644
DNAJC10,0.922103125708609
DCUN1D1,0.922001384560352
ETV1,0.921989052528483
MTX2,0.921672008732761
ACSL4,0.921231007221163
ARL6IP1,0.920980069164434
SLC30A1,0.920978183527705
LRIG2,0.920789992520676
