Gene,Score
CELF2,0.995250633604738
MTAP,0.99064039349213
SOX6,0.989957632926685
ZNF280C,0.986475625655269
SMIM13,0.978783428065398
ORC5,0.97876257246465
NCR3LG1,0.978449296291049
ARMH4,0.977448740887993
MKLN1,0.977336427437431
ZRANB2,0.976743048565231
RAVER2,0.976068015458733
KIF2B,0.975657450129935
SLC16A12,0.974448418819477
SLK,0.973857947434505
TNPO1,0.97312793746848
SCAI,0.973026296158913
ENPEP,0.972969501748814
FLRT2,0.972109097910547
WDR3,0.971872298245676
ANP32B,0.969810287746121
ASXL2,0.969240931195802
SOS2,0.967304167772861
MICU3,0.966362043677383
ANLN,0.963985498888255
MMP16,0.963469301976347
RAB10,0.96317148827436
LSAMP,0.962305449706987
NUFIP2,0.961721906583161
ZDBF2,0.960826568049573
GTDC1,0.958973414753353
ZNF675,0.958671465123474
TMCC1,0.957839803282085
BLOC1S2,0.95567354541521
FOXN2,0.954671976066338
LRRTM1,0.95300153459024
RAP1B,0.952833121530912
ENST00000558190,0.95278612831972
RCOR3,0.95128698056143
BRWD3,0.951059858328404
POU2F1,0.950781057068735
ZNF711,0.950568362378994
SPAG9,0.9498687366525
EPHA3,0.949187022532837
MTDH,0.948823783605374
SMAD5,0.947408049611888
RABL3,0.947407042445786
ZBTB37,0.944311438747838
ZNF430,0.943071938491132
EEA1,0.941953552250359
P4HA1,0.940771540634599
PABPC4L,0.940069074243954
EIF1AX,0.939971478040027
AAK1,0.937358249512613
MEF2A,0.935521134639316
GNAI3,0.935368730693531
KLHL15,0.935289104887474
ARHGAP5,0.935065535544505
DNAJC24,0.933876530925348
CASC3,0.93381731378676
MECOM,0.933694167336618
CDH11,0.933426071669719
SREK1,0.932605962286448
SPRED1,0.932060591108342
UBE2K,0.93113159201058
TMEM161B,0.931083924188864
DNM1L,0.930003326573979
PANK3,0.929306985572201
SSBP2,0.92923110027616
SEC22A,0.929185110219307
PRKAA2,0.928713551564152
CMPK2,0.92603229440609
VCPIP1,0.925524558653222
FCHSD2,0.925509278219659
ATRX,0.925415543862349
HACD4,0.925170024696172
MPP6,0.925106984712976
COL5A2,0.924597912756559
FNBP1L,0.922807411396662
SREK1IP1,0.922061068609815
CCP110,0.921734153384345
RTN4,0.92153046808849
TNFAIP8,0.921091002219136
NFIB,0.921088892746451
BHLHE41,0.919557112978131
EPS8,0.91950984640799
FBXO34,0.91918546385662
SPTSSA,0.919109648275708
PCDH9,0.918291910279102
CD47,0.917997501923211
PTBP2,0.91780507763141
KIF11,0.917508014965534
XKR3,0.915625120022364
MBNL2,0.915328160397934
UHMK1,0.914901151772803
PPM1E,0.914781529187223
PURA,0.914301817868286
MAMDC2,0.913756811686567
NDUFS1,0.913393260932153
FAM126A,0.913210750869593
PTGDR,0.91144045219505
PIKFYVE,0.911171055438494
RNF217,0.911143365138577
TET3,0.909352572095508
SPAST,0.908791735472187
FUT9,0.908544212164527
CEP135,0.907974375032546
EIF1AY,0.907482550453946
RC3H1,0.907227304722859
RAB3C,0.905895380082583
WAC,0.90512270673667
SMAD2,0.90495011099016
HDAC9,0.90472568859083
NIPAL1,0.904696899781544
MYBL1,0.904443719258649
ZNF618,0.904402080621145
SESTD1,0.904174507066984
PCNX4,0.903880777657896
SECISBP2L,0.903757044221937
SUGT1,0.903418729399553
ABI2,0.902453505885272
IPO7,0.902246419661127
SAMD8,0.901809475485378
LRP2BP,0.901729462155067
GPSM2,0.901323444248293
MED13,0.901314268161033
ZDHHC2,0.900681724736474
ZFC3H1,0.900202014891206
FRK,0.899582641009065
LPP,0.899032746728391
FBXO28,0.898814499782893
FZD3,0.898140345115079
ARPP19,0.897710967477618
USO1,0.897703495996907
LHX9,0.896957161103193
LSM14A,0.896726680597246
PPP1CB,0.896620636634148
PHC3,0.896449897652849
SLC28A2,0.895304505572494
CD14,0.895222294148157
TXNL4A,0.894947952656267
SLC8A1,0.894161132629833
BBX,0.894021016459616
SYT1,0.893238437586993
ARL5B,0.893185520801191
SCPEP1,0.892936306317168
MDM2,0.892610769665296
TOP1,0.89242243912776
SLAIN2,0.891972647292335
TCFL5,0.891872393198973
PPP2R5E,0.890942737061761
MCU,0.89080964405829
RPS6KB1,0.890541586022062
RSBN1,0.890504575710579
CABCOCO1,0.890348644928106
TMEM65,0.889963561594832
PLCB1,0.889366820174194
ARIH1,0.889358027313625
FBXO25,0.889072655767641
PCDH10,0.888470740469075
FGGY,0.888419504356718
REEP1,0.888365344122239
GPR85,0.888320518699756
GALR1,0.888236693956605
CCNC,0.88806399427854
PAFAH2,0.887506085536385
CUL5,0.886770558576845
NRIP1,0.886727470551647
INTS6,0.886654487488507
HHIP,0.886161906141918
AP5M1,0.885405586558105
THAP9,0.885230727301989
PGGT1B,0.885061399593297
IL6ST,0.884643958187723
ENST00000611208,0.883994122405745
RBMS3,0.883785175499143
G3BP2,0.883218083483729
TMEM170B,0.882864078609142
TMEM202,0.882830992920883
PLPPR4,0.881950943697643
KBTBD2,0.881855322826957
ABCD2,0.881805465523387
TCF4,0.880181599233819
LRRC58,0.880141442992454
NLGN4X,0.879955763129878
DRD1,0.879261077024467
VPS26B,0.879173123273265
PEAK1,0.878972487721846
AC093155.3,0.878762336536283
CCNG2,0.878515422738153
STX7,0.878385574047173
YY1,0.877793066027918
NTRK3,0.877507466562398
PYROXD1,0.877385040772966
INTU,0.87720231993401
SPOPL,0.876404759899454
CFAP97,0.876326126957003
GCC2,0.876228545059839
ENST00000546136,0.875784935412349
JADE3,0.875368662924228
PAPSS2,0.874398787624565
TMEM126A,0.87438395913156
KCNQ3,0.874327954422526
STS,0.87407221085998
ABRA,0.873580744575011
RPS6KA3,0.873510414157557
SOX9,0.8734313562886
VPS13A,0.8734113302539
TFEC,0.872923195573213
TM9SF3,0.872850428359245
GALK2,0.871977867035186
FAM122C,0.871626535868055
ECD,0.871063364021354
KRTAP4-4,0.870880646101245
PTEN,0.870527904048319
XPNPEP3,0.870013114859622
MGAT4C,0.869925122694837
DIPK2A,0.86979754071748
SPIN1,0.86881982538862
BBS7,0.868337040455909
ACSS3,0.868294141349499
G3BP1,0.868053574608801
SLC30A4,0.867915341540102
CDON,0.867813999767081
CBLL1,0.867615703890711
KDF1,0.867595601092792
PCDHB4,0.867290591424899
MAP2K4,0.866956790577817
TSLP,0.866463832100441
CACNB4,0.866462120321037
EPM2AIP1,0.866054918685438
ABHD13,0.865019444648938
TOB1,0.864769887946173
TMEM178B,0.864119792469731
DGKE,0.863300853406731
WDHD1,0.863226474851313
TANK,0.862361212186449
LRP6,0.862142794258477
SOX4,0.861968094218968
C2orf49,0.861129260124193
CPSF6,0.861126184671891
CD226,0.860816121700541
PCGF5,0.860745905053633
STXBP5L,0.860579161375857
UBN2,0.859960432067977
BMPR2,0.859488466447129
GPHN,0.85932663722595
SLC12A6,0.858955475340614
ZMYM6,0.858326003975297
GSK3B,0.858248859938508
NEDD1,0.857649056637944
STXBP5,0.857625284808627
VAPB,0.8573322734943
ODF2L,0.857254556327591
CCDC82,0.857107726255096
TLCD4,0.857007898863773
DNM3,0.85658782693693
LRRC7,0.856385810283284
DYRK2,0.855738253386884
TET1,0.855608142492199
RLIM,0.855212643455682
HSPA4L,0.855040281190722
TMED5,0.853684774784453
STC1,0.853480960424546
SCAF8,0.852834007567396
EEF1E1,0.852755793842251
SNX5,0.852314936790216
MAP3K20,0.852227044521153
BRI3BP,0.85097255474295
KIAA0408,0.850961265763436
C1orf21,0.850585967703236
KIR3DX1,0.85029520000131
EPM2A,0.849645332213366
HERPUD2,0.848849179554034
GPR180,0.848728158611456
PCYOX1,0.848468762632323
FGF14,0.848306260903628
ZNF555,0.848197596581601
PABPC4,0.848008182480468
CNKSR3,0.84754155098454
NCBP1,0.84713779479257
N4BP2L2,0.846899972111854
C18orf25,0.846845636958792
PLCG2,0.846785138285884
RPS6KA5,0.846541391109606
BTRC,0.8465247641356
NF1,0.846510590120329
CLEC7A,0.846496405407867
FAXC,0.846461407406138
PPP6C,0.846323195884489
KLRC1,0.846162279786153
ENST00000378565,0.845604931865055
TOMM5,0.845569272303382
