Gene,Score
STMN4,0.999461129187966
FGFR1OP2,0.997712666059543
ISL1,0.995698405958289
GNG13,0.995558593555215
PPP3CA,0.994377589151017
OAZ3,0.992280367002698
ENST00000619629,0.991385543710231
AC073082.1,0.98899171543651
LPP,0.987632740901442
RNFT1,0.986374514535177
TFDP2,0.986341154140486
STAC,0.986000643554009
LMCD1,0.985483124980746
GPC4,0.984662316865993
BHMT,0.982167905307874
CNOT10,0.980574626814945
DCUN1D1,0.979693095669247
CLIC4,0.978938502254427
SIGLEC1,0.976127583038531
MTCP1,0.97568469262461
MUC1,0.972739411978377
B3GALT5,0.971779490279655
MBNL3,0.969866489953495
R3HDM2,0.96944709225335
ZGRF1,0.969116667662869
AC006030.1,0.96772238447051
EIF4B,0.964835525930741
GPATCH8,0.964356102315898
RNF144A,0.964116807045352
ATP6V1A,0.963894978442847
KDELR2,0.962829940668056
ADO,0.962260688680935
KLHL3,0.962023500928879
RBM26,0.960795455377732
RPS6KA5,0.957904794824175
PCNX4,0.956732400083467
MBD6,0.95503139335988
TLDC2,0.953468108551082
DGKK,0.952126300136544
SRPK1,0.950490502474163
NDUFS5,0.949164126380863
MFAP3L,0.949020179799263
FAM110D,0.946993075879562
RNF157,0.943730155024988
RAD54L,0.943601192044572
VWA2,0.943474093638765
SLC2A1,0.940602767358889
CLSTN2,0.94041942748911
CBFB,0.9394861789113
CCSAP,0.935300304280951
ENST00000558084,0.932302888227141
C4orf47,0.932219770657059
KLRK1,0.931882600481801
CYP4F3,0.931202622921709
CNTN1,0.929583250577476
RSL1D1,0.928542362089831
C1orf21,0.928190937490951
SLC12A5,0.928133648216186
SMUG1,0.928055930045821
LPGAT1,0.927398146902809
INMT-MINDY4,0.925658665623002
HID1,0.924541006174223
DERL3,0.92451676836496
FLRT2,0.923125338623301
SETD3,0.923101160241368
PRMT5,0.920805775474429
MSI2,0.920782234435461
GRIK5,0.919185444228251
TPSD1,0.918541061028492
GABRP,0.916558464607919
ITPRIPL2,0.91528748694168
SEC22B,0.914876135363123
BHLHE40,0.914251833984625
FAM169B,0.913271083787464
CDK2,0.91316086761308
ZBTB2,0.910814130751062
SYT16,0.910064829223204
HDAC11,0.909096128834901
FXR2,0.908461789268456
SELL,0.907937548460313
ZNF638,0.907118329454846
FRG2B,0.90661718432958
SLC6A6,0.906129297262174
TAOK1,0.905925473038863
UBE2L6,0.905350955378942
FRMPD4,0.905336944790882
VWDE,0.904485879785599
BPTF,0.903731919732188
MED1,0.903532880564864
SMYD1,0.899922384144614
GOT2,0.898596971033579
AMOTL1,0.896977917207181
TRABD2A,0.896838372552062
ASB14,0.895883767271841
LRRTM3,0.89376213348916
RORA,0.893753346988582
RHOT1,0.89314782818979
NPNT,0.892957436723903
IGF2,0.890946166480904
KLRC4-KLRK1,0.888352554391204
KLF15,0.887774918266551
INPP4A,0.886453661917832
HNRNPC,0.886353963290123
HPSE2,0.885714689059508
BMPR1A,0.885441780887165
CYP4F2,0.883626190099354
FLG2,0.88352344454649
RBM5,0.882401618855714
VCPIP1,0.881575462003602
LEFTY2,0.881462117926737
SEM1,0.877275953569867
ELAVL2,0.876944754742758
MELK,0.875556665896461
IGSF5,0.87470081962179
BCAM,0.874134427263573
BRCC3,0.874103776582804
HDAC6,0.873684005696714
TRIM27,0.872998036002791
DMXL1,0.872455477096523
YEATS4,0.871371632566185
YWHAE,0.871362641554567
CDH8,0.870557527614889
ACTN1,0.869820895921519
RNF34,0.869209990473348
SOGA1,0.868655212417069
TMCO1,0.868077047878269
VAPA,0.867314795488076
SLAMF8,0.86682717584086
SHISA6,0.866779115514878
LRRC27,0.866288701819576
KIT,0.864974935748267
PON3,0.864823351888213
GATM,0.86418949440906
POLDIP3,0.863606471130751
JMY,0.863287161415788
C6orf62,0.862504763043229
DCX,0.862042182961536
SOX4,0.860991330138332
ENTPD5,0.860906903581671
ENST00000589997,0.860837640211395
BDNF,0.860714919397925
ENST00000622765,0.859585678651202
C22orf42,0.859326615167633
DOCK9,0.85910316233151
DYRK1B,0.8585440079097
TXLNG,0.858125463187535
NKAIN3,0.858113079866833
TBC1D31,0.857541728349881
RICTOR,0.85729966579725
ATF7IP,0.857213898884444
DNAH10,0.856317438713427
SNX29,0.854882236208759
EXOC5,0.85485359819695
ENST00000355257,0.854024524338497
SEMA5A,0.853252056990965
TMCO5A,0.85299653495998
PARP6,0.852945658942455
TBX2,0.852545309137788
TNFRSF9,0.852244962301792
MEGF10,0.852161885227256
GRIK4,0.852072551796513
VEZT,0.851807420029389
EFNB3,0.851711091033732
NEMP2,0.850593990145081
ABCA2,0.850203362787752
MRPL32,0.848803571575068
FMN1,0.848691212892629
KLF14,0.848348322223489
TMX4,0.846817102165379
LARP1,0.845701426308579
CBWD1,0.845413292486928
ASCC2,0.845131138705072
KCNH6,0.844822967950826
SLC26A3,0.843996483325171
KIF2A,0.842382857783799
ACSBG1,0.842094956034182
ZDHHC22,0.841370757045443
PTH1R,0.841361539569868
TGM2,0.841051862321443
KLHL25,0.840479865143011
ZFYVE26,0.840217270595353
SNX4,0.839898858480388
H2AZ2,0.83965435314229
ARHGAP25,0.83937429841793
ZNF442,0.839049261907107
DIS3L,0.838446931691724
RTN3,0.837388944950725
ATXN7L3,0.837300785906658
PPM1A,0.837182560825758
GNAI3,0.836751134705257
AAR2,0.836718188825968
RNF150,0.835995829196115
TNRC6B,0.835976435171382
ATP10B,0.835583034446232
H3C6,0.835533332829726
SLC22A25,0.835201384746868
ONECUT2,0.834777997522777
BACH2,0.83415098617979
PMFBP1,0.834115736105506
GBP3,0.83293409159037
ENST00000558190,0.832530538369015
PDGFC,0.832448584506404
GOLT1B,0.83213436629799
MGAT4C,0.831995434694524
TUBG1,0.831581734900428
GPR139,0.830643307912883
ZBTB11,0.830145595133298
ACTB,0.829955863376832
SKIDA1,0.829537270753757
PDE1A,0.828641729208346
AL049844.1,0.828536644432885
FBXO34,0.828387727034031
ITGA7,0.828359714270348
COL4A3,0.827090764874793
APH1A,0.82695572567059
SPDYE16,0.826674683045561
TTC23L,0.82664174904899
LHX4,0.826273324283833
PNMA8B,0.825894333836445
THADA,0.825576233712929
SMAD2,0.82531287027291
ETFBKMT,0.8251902646816
FRG2,0.825047762640162
ZNF445,0.824937121133816
CAMK4,0.824129455556697
HYDIN,0.823569282648489
NDUFA9,0.82316735853923
RABL2A,0.822920364992578
CFAP299,0.822501758078015
ZNF264,0.822346145441255
PNLDC1,0.822286388177392
ERBB4,0.82207650075819
MYO5C,0.82143141842602
NTRK3,0.820716965651603
FAM126A,0.819504971479906
DUOX1,0.819284834458352
H2BC15,0.819276612099469
BEND3,0.819046133722107
CDH17,0.817758198753026
APCDD1L,0.817730335263049
DDX20,0.817229898884019
CD93,0.817193533701824
FBXO10,0.816850046219207
SPDYE1,0.815427135110846
SLC44A1,0.815019829116635
YTHDC1,0.813786168750417
CCBE1,0.813302265984758
ENST00000619943,0.81288266302047
TENM4,0.812693611881163
SPRED2,0.812592659996946
SMARCC1,0.812011557594972
GALNT2,0.811044763871648
POU2F2,0.810414298488317
MAPK6,0.810381974180303
PRPF40A,0.810101744886323
NDRG1,0.809991937764034
SRRM4,0.808397180155293
LETMD1,0.806233340238515
RIN3,0.805257823820534
RALGPS2,0.805167023381086
C15orf40,0.804957699802253
CFAP161,0.804757848927036
ENST00000611585,0.804744228555832
XKR4,0.804284556570929
AAK1,0.803594165151874
NOVA1,0.803364416672764
RAP1GAP2,0.80255103839033
MRPL43,0.802267385185947
SERINC4,0.801740210045345
PLPP6,0.801576213725536
CNOT3,0.801193365906971
CYP8B1,0.800866996338084
SEPTIN7,0.800825264835625
